frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-70.04089,-19.073486,2.7679443,0.9194946,2.6268005,9.273346,0.012435913,0.1987915,0.0029754639,42.265625,-14.609375,0.59375,1.0,173.0,20190721_102151_456
2,-69.566345,-19.876099,2.6565552,0.028839111,2.533432,9.340378,-0.061065674,0.057113647,0.07861328,42.25,-14.75,-0.234375,1.0,174.0,20190721_102151_518
3,-69.56482,-19.871521,1.58844,-0.014251709,2.5118866,9.457687,-0.088760376,0.04006958,0.09140015,41.859375,-14.609375,4.203125,1.0,174.0,20190721_102151_525
4,-68.95294,-19.075012,2.6672363,-0.11001587,2.3035889,9.895828,-0.119659424,-4.119873E-4,0.16064453,41.859375,-14.609375,4.203125,1.0,174.0,20190721_102151_545
5,-69.45038,-18.554688,0.79956055,0.028839111,2.030655,9.948502,-0.02911377,-0.012130737,0.18940735,41.859375,-14.609375,4.203125,1.0,174.0,20190721_102151_568
6,-69.026184,-18.362427,2.4932861,0.1844635,2.0904999,9.642044,0.10191345,-0.027038574,0.10205078,41.859375,-14.609375,4.203125,1.0,174.0,20190721_102151_587
7,-69.651794,-19.306946,1.7242432,0.01927185,2.3011932,9.07222,0.21270752,-0.062194824,-0.023651123,41.71875,-14.46875,4.21875,1.0,174.0,20190721_102151_606
8,-68.19,-18.115234,3.7475586,-0.2823944,2.6004639,8.421005,0.20417786,-0.06326294,-0.074783325,41.5,-14.375,4.28125,1.0,174.0,20190721_102151_626
9,-68.86597,-19.638062,2.0736694,-0.4835205,2.8279114,8.112152,0.08381653,-0.045150757,-0.041763306,41.34375,-14.421875,4.34375,1.0,174.0,20190721_102151_647
10,-68.33954,-18.273926,2.5238037,-0.6223755,2.9548187,8.24144,-0.06213379,0.023025513,0.032806396,41.3125,-14.625,4.40625,1.0,174.0,20190721_102151_667
11,-68.33801,-18.270874,2.06604,-0.6941986,2.940445,8.583817,-0.17718506,0.1199646,0.1308136,41.390625,-14.875,4.453125,1.0,174.0,20190721_102151_686
12,-68.826294,-19.198608,1.7593384,-0.5840759,2.8231354,8.983643,-0.2347107,0.16363525,0.2011261,41.453125,-15.03125,4.5,1.0,174.0,20190721_102151_705
13,-67.214966,-19.422913,2.1469116,-0.34225464,2.7010193,9.199112,-0.25920105,0.20092773,0.22242737,41.453125,-15.03125,4.515625,1.0,174.0,20190721_102151_726
14,-68.826294,-19.192505,0.69122314,-0.1411438,2.6699066,9.302063,-0.26985168,0.15405273,0.16703796,41.34375,-14.859375,4.453125,1.0,174.0,20190721_102151_746
15,-68.99109,-19.511414,2.3712158,-0.15310669,2.6387787,9.297287,-0.22618103,0.064575195,0.06263733,41.140625,-14.609375,4.34375,1.0,174.0,20190721_102151_766
16,-69.26422,-19.541931,1.1367798,-0.40690613,2.746521,9.115326,-0.13563538,0.032608032,-0.056671143,40.875,-14.296875,4.1875,1.0,174.0,20190721_102151_786
