frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-68.40515,-22.17102,1.5472412,-0.014251709,2.5789185,9.474457,0.08381653,-0.06645203,0.15637207,47.5,-13.625,-1.28125,1.0,84.0,20190721_101959_877
2,-66.22925,-22.175598,1.651001,-0.21536255,2.6651154,8.741821,-0.24855042,0.045394897,-0.09075928,46.796875,-12.890625,1.203125,1.0,85.0,20190721_101959_931
3,-67.21649,-22.58606,0.0869751,-0.25367737,2.6699066,9.000397,-0.30288696,-0.021713257,-0.060928345,47.609375,-15.328125,-0.203125,1.0,85.0,20190721_101959_946
4,-67.19208,-22.294617,0.38604736,-0.260849,2.6052551,9.24939,-0.2986145,-0.052612305,0.0019226074,47.609375,-15.328125,-0.203125,1.0,85.0,20190721_101959_966
5,-67.51709,-22.917175,0.84381104,-0.20100403,2.461609,9.3906555,-0.24961853,0.026229858,0.05305481,47.609375,-15.328125,-0.203125,1.0,85.0,20190721_101959_987
6,-67.55371,-21.765137,0.20446777,-0.04058838,2.4352722,9.376297,-0.19316101,0.11782837,0.09140015,47.640625,-15.171875,-0.203125,1.0,85.0,20190721_102000_008
7,-67.440796,-22.039795,0.36773682,0.18925476,2.3658447,9.263763,-0.17185974,0.15725708,0.10205078,47.671875,-14.8125,-0.15625,1.0,85.0,20190721_102000_026
8,-67.64221,-22.78595,0.2243042,0.31854248,2.2533112,9.278122,-0.17504883,0.107177734,0.06689453,47.640625,-14.515625,-0.140625,1.0,85.0,20190721_102000_047
9,-67.51251,-19.73877,0.0045776367,0.32572937,2.2533112,9.3116455,-0.17823792,0.057113647,0.014694214,47.53125,-14.265625,-0.203125,1.0,85.0,20190721_102000_068
10,-68.22662,-20.118713,-0.3265381,0.03842163,2.2078247,9.364319,-0.16119385,0.0496521,-0.013000488,47.390625,-14.0625,-0.34375,1.0,85.0,20190721_102000_087
11,-67.13867,-20.126343,0.64086914,0.031234741,2.217392,9.522339,-0.13563538,0.08161926,0.011505127,47.28125,-13.875,-0.46875,1.0,85.0,20190721_102000_107
12,-67.889404,-20.941162,-0.1373291,0.09588623,2.181488,9.56543,-0.08024597,0.10185242,0.018966675,47.234375,-13.671875,-0.546875,1.0,85.0,20190721_102000_127
13,-68.013,-20.80841,-1.0620117,0.13179016,2.1288147,9.378677,-0.06852722,0.08908081,0.010437012,47.234375,-13.46875,-0.59375,1.0,85.0,20190721_102000_148
14,-67.52777,-21.470642,-0.10681152,0.0647583,2.07135,9.476852,-0.09301758,0.0017242432,-0.022583008,47.21875,-13.296875,-0.671875,1.0,85.0,20190721_102000_167
15,-67.01355,-20.25299,0.34484863,0.05996704,2.1120453,9.64444,-0.05041504,-0.052612305,-0.04283142,47.1875,-13.1875,-0.78125,1.0,85.0,20190721_102000_188
16,-67.65289,-21.34552,0.34179688,0.009689331,2.2078247,9.361923,0.026290894,-0.04196167,-0.06838989,47.171875,-13.140625,-0.828125,1.0,85.0,20190721_102000_208
17,-67.0517,-20.687866,0.048828125,-0.25128174,2.339508,9.0147705,0.03161621,-0.013198853,-0.07904053,47.1875,-12.96875,-0.90625,1.0,85.0,20190721_102000_227
18,-67.8009,-19.9234,0.6057739,-0.54096985,2.3945618,8.97406,-0.016326904,-0.01638794,-0.03643799,47.25,-12.921875,-0.859375,1.0,85.0,20190721_102000_247
19,-66.26434,-21.022034,0.70495605,-0.55055237,2.339508,9.096161,-0.049346924,0.0027923584,0.05091858,47.28125,-12.9375,-0.84375,1.0,85.0,20190721_102000_268
20,-67.55371,-21.76361,-0.10223389,-0.36380005,2.2341614,9.218277,-0.047210693,0.045394897,0.098861694,47.375,-12.96875,-0.84375,1.0,85.0,20190721_102000_287
21,-68.16406,-20.974731,-0.6072998,-0.45718384,2.126419,9.182358,-0.030166626,0.10185242,0.087142944,47.4375,-12.96875,-0.84375,1.0,85.0,20190721_102000_310
22,-67.51251,-19.734192,-1.0650635,-0.85461426,2.0641632,9.1536255,-0.031234741,0.121032715,0.08181763,47.421875,-12.9375,-0.828125,1.0,85.0,20190721_102000_328
23,-67.05017,-20.683289,-1.0192871,-1.1060028,2.0904999,9.148834,-0.051483154,0.10292053,0.14785767,47.328125,-12.875,-0.84375,1.0,85.0,20190721_102000_347
24,-67.50183,-21.177673,-0.5706787,-0.99108887,2.0665588,9.065048,-0.088760376,0.072021484,0.24160767,47.203125,-12.828125,-0.90625,1.0,85.0,20190721_102000_367
25,-66.8869,-20.37201,-1.3244629,-0.715744,2.0426178,9.077011,-0.13882446,-0.0057373047,0.28527832,47.09375,-12.796875,-1.015625,1.0,85.0,20190721_102000_387
26,-68.12744,-20.539856,-0.1586914,-0.5242157,2.0569916,9.0698395,-0.17504883,-0.06858826,0.2980652,46.953125,-12.75,-1.109375,1.0,85.0,20190721_102000_407
27,-68.56537,-20.884705,-0.32348633,-0.36140442,2.0090942,9.13208,-0.21446228,-0.127182,0.29379272,46.703125,-12.671875,-1.15625,1.0,85.0,20190721_102000_427
28,-67.06238,-19.248962,0.1663208,-0.2273407,2.0522003,9.19194,-0.20381165,-0.14208984,0.2511902,46.375,-12.546875,-1.109375,1.0,85.0,20190721_102000_447
29,-68.574524,-19.442749,-0.6637573,-0.3111267,2.2006378,9.041107,-0.15693665,-0.10479736,0.19366455,46.0625,-12.375,-0.984375,1.0,85.0,20190721_102000_467
30,-67.68646,-18.605042,-0.642395,-0.57928467,2.3873901,8.739426,-0.16333008,-0.11332703,0.19047546,45.71875,-12.140625,-0.796875,1.0,85.0,20190721_102000_486
31,-69.02161,-18.336487,-2.696228,-0.4380188,2.5142822,8.825623,-0.27412415,-0.13995361,0.24693298,45.3125,-11.796875,-0.484375,1.0,85.0,20190721_102000_509
32,-67.4881,-19.448853,0.3036499,-0.42126465,2.4280853,9.381073,-0.33802795,-0.08137512,0.26930237,45.1875,-11.703125,-0.390625,1.0,85.0,20190721_102000_528
33,-68.41278,-19.136047,-0.05340576,-0.46914673,2.351471,9.788086,-0.31033325,0.041137695,0.2756958,45.0,-11.53125,-0.234375,1.0,85.0,20190721_102000_549
34,-67.160034,-17.245483,0.8758545,-0.46914673,2.3227386,9.88147,-0.24961853,0.16470337,0.25437927,44.765625,-11.296875,-0.03125,1.0,85.0,20190721_102000_568
35,-67.248535,-18.257141,-0.93536377,-0.54096985,2.3323212,9.728241,-0.2112732,0.175354,0.20645142,44.484375,-10.9375,0.15625,1.0,85.0,20190721_102000_588
36,-67.93823,-18.35785,1.171875,-0.5720978,2.4352722,9.551071,-0.2197876,0.085876465,0.16490173,44.171875,-10.5625,0.265625,1.0,85.0,20190721_102000_609
37,-67.596436,-17.578125,-1.7318726,-0.631958,2.4999084,9.359528,-0.24961853,-0.019577026,0.12335205,43.859375,-10.234375,0.21875,1.0,85.0,20190721_102000_629
38,-68.12286,-17.36145,-0.9979248,-0.7588501,2.5741272,9.316437,-0.28477478,-0.08030701,0.10418701,43.5625,-9.96875,0.0625,1.0,85.0,20190721_102000_647
39,-69.38629,-17.819214,-0.28381348,-0.84503174,2.6076508,9.491211,-0.25494385,-0.120788574,0.12335205,43.34375,-9.71875,-0.0625,1.0,85.0,20190721_102000_667
40,-68.774414,-18.60199,-0.8468628,-0.65589905,2.6076508,9.431351,-0.12924194,-0.10800171,0.15531921,43.171875,-9.453125,-0.078125,1.0,85.0,20190721_102000_690
41,-67.6712,-16.867065,-1.5991211,-0.47154236,2.660324,8.916595,-0.014190674,-0.056869507,0.1542511,43.03125,-9.15625,-0.015625,1.0,85.0,20190721_102000_708
42,-68.46161,-18.130493,-0.23345947,-0.47633362,2.7369385,8.5048065,-0.0056762695,0.0059814453,0.1499939,42.921875,-8.859375,0.109375,1.0,85.0,20190721_102000_729
43,-67.134094,-16.941833,-1.4190674,-0.631958,2.7632751,8.523956,-0.05680847,0.056045532,0.18087769,42.78125,-8.609375,0.28125,1.0,85.0,20190721_102000_749
44,-66.79535,-16.175842,-1.4221191,-0.5744934,2.830307,8.835205,-0.07385254,0.10292053,0.2607727,42.609375,-8.515625,0.40625,1.0,85.0,20190721_102000_769
45,-67.6712,-16.871643,-0.83618164,-0.31591797,2.758484,8.9357605,-0.058929443,0.095458984,0.3161621,42.4375,-8.515625,0.46875,1.0,85.0,20190721_102000_789
46,-67.28363,-17.106628,-1.1169434,-0.1698761,2.7249603,8.878296,-0.06852722,-0.012130737,0.30551147,42.15625,-8.453125,0.4375,1.0,85.0,20190721_102000_809
47,-69.244385,-16.203308,-2.6062012,-0.06932068,2.7297516,8.981247,-0.09729004,-0.13143921,0.28207397,42.015625,-8.40625,0.40625,1.0,85.0,20190721_102000_826
48,-68.49518,-15.388489,-1.6738892,0.0647583,2.698639,9.077011,-0.084503174,-0.18896484,0.26397705,41.671875,-8.328125,0.34375,1.0,85.0,20190721_102000_847
49,-68.10913,-15.635681,0.18157959,0.25390625,2.7441254,9.160812,-0.06213379,-0.18682861,0.23094177,40.984375,-8.15625,0.4375,1.0,85.0,20190721_102000_868
50,-69.34662,-15.791321,-0.9414673,0.2634735,2.830307,9.38826,-0.012069702,-0.13250732,0.16596985,40.828125,-8.109375,0.546875,1.0,85.0,20190721_102000_888
51,-66.770935,-15.896606,0.8621216,0.23953247,2.9500275,9.5247345,0.059310913,-0.07284546,0.100982666,40.53125,-8.0,0.78125,1.0,85.0,20190721_102000_909
52,-67.83295,-15.597534,-0.11138916,0.12461853,3.0721283,9.474457,0.09446716,-0.08988953,0.046661377,40.28125,-7.921875,1.046875,1.0,85.0,20190721_102000_928
53,-68.03436,-16.342163,-0.7141113,0.0025024414,3.232544,9.46727,0.065704346,-0.16339111,0.020019531,40.09375,-7.90625,1.21875,1.0,85.0,20190721_102000_949
54,-66.99524,-15.34729,0.53253174,-0.04298401,3.2205658,9.699509,-0.0024719238,-0.22091675,0.03173828,39.984375,-7.953125,1.328125,1.0,85.0,20190721_102000_969
55,-68.28461,-16.091919,0.48980713,0.10545349,3.0146637,10.21666,-0.018447876,-0.20173645,0.013641357,39.9375,-8.0,1.375,1.0,85.0,20190721_102000_988
56,-67.759705,-16.316223,1.1306763,0.30895996,2.916504,10.640427,0.04333496,-0.16445923,-0.04815674,39.90625,-8.140625,1.609375,1.0,85.0,20190721_102001_009
57,-68.13507,-15.92865,0.6454468,0.40473938,2.878189,10.834366,0.1370697,-0.16764832,-0.13656616,39.90625,-8.140625,1.734375,1.0,85.0,20190721_102001_029
58,-68.52112,-15.686035,-0.44708252,0.30178833,2.825531,10.743378,0.2073822,-0.1772461,-0.2132721,39.890625,-8.125,2.09375,1.0,85.0,20190721_102001_049
59,-68.99719,-16.473389,0.46539307,0.11743164,2.8159485,10.638031,0.22442627,-0.13676453,-0.2686615,39.9375,-8.15625,2.28125,1.0,85.0,20190721_102001_068
60,-69.236755,-17.65747,0.17700195,-0.25367737,2.64357,10.566208,0.20631409,-0.031295776,-0.2654724,40.09375,-8.3125,2.453125,1.0,85.0,20190721_102001_088
61,-68.99719,-16.471863,0.0076293945,-0.51942444,2.2892303,10.676346,0.14346313,0.09866333,-0.18769836,40.328125,-8.53125,2.609375,1.0,85.0,20190721_102001_109
62,-68.68591,-17.582703,-0.40893555,-0.37817383,1.9564362,10.93013,0.14453125,0.15937805,-0.10461426,40.640625,-8.8125,2.71875,1.0,85.0,20190721_102001_127
63,-68.22052,-16.938782,-1.6235352,0.04560852,1.786438,10.688309,0.25637817,0.11677551,-0.07585144,40.9375,-9.0625,2.734375,1.0,85.0,20190721_102001_150
64,-68.096924,-17.071533,-0.69885254,0.29460144,1.6380005,9.962875,0.3235016,0.07096863,-0.084365845,41.15625,-9.25,2.59375,1.0,85.0,20190721_102001_169
65,-67.222595,-17.965698,-0.9414673,0.5651398,1.3746338,9.555862,0.24893188,0.026229858,-0.08969116,41.265625,-9.421875,2.40625,1.0,85.0,20190721_102001_189
66,-68.41278,-19.13147,-0.8163452,0.9099121,1.137619,9.649231,0.20417786,-0.015319824,-0.13124084,41.34375,-9.6875,2.25,1.0,85.0,20190721_102001_209
67,-68.42346,-17.697144,0.5218506,1.1636963,1.0155029,9.80246,0.31604004,0.035812378,-0.22285461,41.375,-9.875,2.1875,1.0,85.0,20190721_102001_228
68,-68.08624,-18.51654,-0.05340576,1.0918732,1.0298767,9.170395,0.5418701,0.15618896,-0.3187256,41.46875,-10.21875,2.109375,1.0,85.0,20190721_102001_247
69,-68.1015,-20.245361,-0.6225586,0.9793396,1.300415,7.9876556,0.587677,0.19134521,-0.3421631,41.5625,-10.484375,2.09375,1.0,85.0,20190721_102001_268
70,-67.836,-18.763733,-1.5609741,1.0032806,1.4440765,7.6045837,0.37249756,0.1242218,-0.29742432,41.75,-10.75,2.0625,1.0,85.0,20190721_102001_288
71,-68.30139,-19.410706,0.11138916,1.1804504,1.3770294,8.253403,0.16583252,0.08055115,-0.25268555,42.03125,-11.21875,1.90625,1.0,85.0,20190721_102001_308
72,-68.22357,-20.108032,-2.6153564,1.1732788,1.2908478,8.993225,0.16264343,0.15086365,-0.25694275,42.390625,-11.90625,1.640625,1.0,85.0,20190721_102001_327
73,-67.137146,-20.115662,-1.3427734,0.8500519,1.2357788,9.127289,0.29473877,0.2733612,-0.22817993,42.734375,-12.5,1.359375,1.0,85.0,20190721_102001_347
74,-68.40057,-20.56427,-2.4597168,0.7949829,1.3626709,8.701126,0.34054565,0.2499237,-0.15574646,43.03125,-12.828125,1.1875,1.0,85.0,20190721_102001_366
75,-68.24036,-21.850586,-0.59051514,0.91470337,1.4536438,8.3467865,0.23400879,0.035812378,-0.13230896,43.3125,-13.015625,1.015625,1.0,85.0,20190721_102001_388
76,-68.489075,-21.58966,-1.6769409,1.1062317,1.5589905,8.258194,0.096588135,-0.25820923,-0.1472168,43.4375,-13.109375,0.875,1.0,85.0,20190721_102001_408
77,-67.22565,-21.138,-1.322937,1.2211609,1.7122192,8.169617,0.009246826,-0.44781494,-0.19728088,43.671875,-13.4375,0.53125,1.0,85.0,20190721_102001_428
78,-67.552185,-21.76056,-0.55999756,1.2187653,1.8869934,8.150452,-0.026977539,-0.41479492,-0.24629211,43.828125,-13.828125,0.203125,1.0,85.0,20190721_102001_447
79,-68.01453,-20.812988,-0.29907227,1.1086273,2.0952911,8.078629,-0.019515991,-0.25074768,-0.292099,43.96875,-14.109375,0.09375,1.0,85.0,20190721_102001_467
80,-68.21442,-21.557617,-0.90179443,0.917099,2.344284,7.918228,-0.055740356,-0.08882141,-0.30274963,44.171875,-14.234375,0.296875,1.0,85.0,20190721_102001_488
81,-68.4021,-22.154236,-1.8112183,0.7878113,2.4328766,7.9277954,-0.1643982,0.033676147,-0.28144836,44.4375,-14.25,0.71875,1.0,85.0,20190721_102001_506
82,-68.36548,-21.722412,-0.7522583,0.6848602,2.4113312,8.3467865,-0.28796387,0.12742615,-0.25268555,44.78125,-14.234375,1.125,1.0,85.0,20190721_102001_528
83,-67.440796,-22.033691,-0.7003784,0.5483856,2.3802032,8.933365,-0.3412323,0.15618896,-0.25587463,45.484375,-14.171875,1.359375,1.0,85.0,20190721_102001_547
84,-68.16406,-20.977783,-0.14953613,0.46697998,2.442459,9.529526,-0.3369751,0.14553833,-0.2686615,45.8125,-14.0,1.265625,1.0,85.0,20190721_102001_566
85,-66.589355,-21.629333,-1.5853882,0.2993927,2.4951172,9.967651,-0.26026917,0.1157074,-0.27398682,45.953125,-13.875,1.171875,1.0,85.0,20190721_102001_590
86,-67.3645,-22.737122,-2.3590088,0.29460144,2.5932922,10.089767,-0.12072754,0.06669617,-0.2494812,46.359375,-13.328125,0.828125,1.0,85.0,20190721_102001_607
87,-68.02826,-22.54486,-0.5630493,0.31375122,2.6746826,9.936539,0.018829346,0.08480835,-0.21006775,46.65625,-12.9375,0.59375,1.0,85.0,20190721_102001_629
