frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-69.0918,-22.257996,0.7537842,0.21559143,1.9396667,9.263763,-0.07810974,0.060317993,-0.065200806,0.0,0.0,0.0,0,0.0,20190721_101808_786
2,-68.19,-21.269226,-0.14343262,0.14376831,1.9348755,9.2326355,-0.077041626,0.06669617,-0.07159424,48.3125,-12.25,1.03125,0,0.0,20190721_101808_790
3,-67.60254,-20.762634,0.32958984,0.11743164,1.9971313,9.321228,-0.08024597,0.076293945,-0.060928345,48.3125,-12.25,1.03125,0,0.0,20190721_101808_807
4,-68.19,-21.269226,-0.14343262,0.10784912,1.9923401,9.299683,-0.06852722,0.08268738,-0.035369873,48.3125,-12.25,1.03125,0,0.0,20190721_101808_829
5,-67.915344,-21.237183,0.63171387,0.0025024414,1.8965759,9.27095,-0.07385254,0.0730896,-0.025787354,48.3125,-12.25,1.03125,0,0.0,20190721_101808_849
6,-68.06488,-21.398926,0.32348633,0.05757141,1.9181213,9.337982,-0.061065674,0.039001465,-0.018325806,48.390625,-12.15625,0.9375,0,0.0,20190721_101808_868
7,-68.56537,-20.890808,0.7446289,0.11024475,1.8965759,9.218277,-0.028045654,0.00491333,-0.0055389404,48.4375,-12.078125,0.84375,0,0.0,20190721_101808_888
8,-68.19,-21.273804,0.61950684,0.13418579,1.8750305,9.062653,-0.046157837,0.00491333,0.004043579,48.46875,-12.0,0.75,0,0.0,20190721_101808_908
9,-68.01453,-20.81604,0.3112793,0.14855957,1.8630524,9.302063,-0.084503174,0.029418945,0.0093688965,48.484375,-11.921875,0.671875,0,0.0,20190721_101808_928
10,-66.13922,-21.142578,-0.66070557,0.20602417,1.8391113,9.517548,-0.072784424,0.056045532,0.02961731,48.5,-11.859375,0.640625,0,0.0,20190721_101808_949
11,-68.01453,-20.809937,-0.75683594,0.23953247,1.6763,9.464874,-0.04508972,0.0059814453,0.023223877,48.5,-11.828125,0.640625,0,0.0,20190721_101808_969
12,-69.16351,-19.950867,-0.8331299,0.39276123,1.750534,9.378677,-0.03869629,-0.06858826,-0.016189575,48.5,-11.765625,0.625,0,0.0,20190721_101808_989
13,-68.10303,-20.259094,1.9729614,0.34248352,1.8055878,9.302063,-0.03337097,-0.064331055,-0.05987549,48.46875,-11.65625,0.578125,0,0.0,20190721_101809_008
14,-67.62848,-21.055603,0.79345703,0.18206787,1.8295288,9.30925,-0.035491943,-0.024917603,-0.07797241,48.453125,-11.625,0.5625,0,0.0,20190721_101809_029
15,-68.36548,-21.723938,-0.29296875,0.11024475,1.8630524,9.34996,-0.011001587,-0.01638794,-0.074783325,48.421875,-11.5625,0.546875,0,0.0,20190721_101809_050
16,-68.099976,-20.24231,-1.385498,0.1796875,1.8989716,9.167999,0.012435913,-0.021713257,-0.065200806,48.4375,-11.515625,0.609375,0,0.0,20190721_101809_068
17,-68.403625,-22.16034,-0.743103,0.15335083,1.9109344,9.100952,-0.013122559,-0.0046691895,-0.07585144,48.515625,-11.484375,0.671875,0,0.0,20190721_101809_089
18,-68.44025,-21.011353,-0.61950684,0.036026,1.9636078,9.146454,-0.037628174,6.5612793E-4,-0.074783325,48.59375,-11.453125,0.6875,0,0.0,20190721_101809_109
19,-68.16406,-20.973206,-0.9124756,-0.06932068,1.9348755,9.254181,-0.05253601,0.015563965,-0.055603027,48.765625,-11.4375,0.703125,0,0.0,20190721_101809_128
20,-68.09082,-21.69342,0.7873535,-0.1411438,1.8726349,9.326004,-0.041885376,0.04220581,-0.033233643,48.84375,-11.4375,0.6875,0,0.0,20190721_101809_149
21,-67.41333,-20.158386,-0.13427734,-0.15310669,1.8750305,9.469666,-0.026977539,0.08908081,0.0061798096,48.9375,-11.390625,0.671875,0,0.0,20190721_101809_168
22,-67.741394,-22.363281,-0.24871826,-0.08128357,1.889389,9.460083,0.0028533936,0.05392456,0.030685425,49.0,-11.34375,0.640625,0,0.0,20190721_101809_188
23,-68.29071,-20.854187,0.75683594,-0.009460449,1.8630524,9.244614,0.010299683,-4.119873E-4,0.054107666,49.046875,-11.296875,0.59375,0,0.0,20190721_101809_209
24,-68.52722,-20.448303,-0.02746582,0.08869934,1.8582611,9.048279,-0.012069702,-0.06752014,0.0605011,49.03125,-11.265625,0.5,0,0.0,20190721_101809_228
25,-67.47742,-20.895386,1.2542725,0.18685913,1.8989716,8.933365,-0.05041504,-0.08456421,0.07115173,49.0,-11.25,0.4375,0,0.0,20190721_101809_250
26,-68.33954,-21.432495,-0.29907227,0.12461853,1.9277039,9.0147705,-0.09941101,-0.071777344,0.07221985,48.9375,-11.265625,0.453125,0,0.0,20190721_101809_271
27,-67.60101,-20.759583,-0.28076172,0.07434082,1.9396667,9.251785,-0.13563538,-0.050476074,0.096725464,48.875,-11.25,0.53125,0,0.0,20190721_101809_292
