frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-73.594666,-28.652954,8.326721,0.07911682,3.3426666,9.201508,-0.08236694,0.23501587,0.06477356,36.453125,-26.375,0.59375,1.0,1372.0,20190721_110616_576
2,-73.594666,-28.649902,7.5637817,0.1509552,3.3498535,9.278122,-0.09301758,0.20092773,0.07115173,36.59375,-26.25,0.6875,1.0,1372.0,20190721_110616_583
3,-73.309326,-30.058289,8.221436,0.32333374,3.3139343,9.560638,-0.08769226,0.06137085,0.04559326,44.96875,-21.4375,3.125,1.0,1372.0,20190721_110616_600
4,-73.67096,-29.527283,8.03833,0.24671936,3.3067627,9.409805,-0.030166626,-0.07498169,-0.00340271,44.96875,-21.4375,3.125,1.0,1372.0,20190721_110616_621
5,-72.77069,-28.546143,8.363342,0.1509552,3.359436,9.077011,-0.009933472,-0.19854736,-0.025787354,44.96875,-21.4375,3.125,1.0,1372.0,20190721_110616_641
6,-72.795105,-28.840637,8.827209,0.16291809,3.438446,8.952515,-0.016326904,-0.21772766,-0.0140686035,44.921875,-21.375,3.0625,1.0,1372.0,20190721_110616_660
7,-73.19641,-28.75061,9.263611,0.21080017,3.4791412,8.823227,-0.0024719238,-0.17831421,-0.004470825,44.875,-21.265625,3.0625,1.0,1372.0,20190721_110616_680
8,-73.52142,-29.368591,8.958435,0.20602417,3.4647827,8.674789,0.0028533936,-0.109069824,0.008300781,44.9375,-21.25,3.21875,1.0,1372.0,20190721_110616_701
9,-73.04535,-28.581238,8.351135,0.22038269,3.3498535,8.749008,-0.003540039,-0.05154419,0.021087646,45.0,-21.234375,3.453125,1.0,1372.0,20190721_110616_722
10,-71.858215,-29.003906,8.416748,0.1844635,3.364212,8.7226715,-0.0024719238,-0.056869507,0.012573242,45.046875,-21.21875,3.65625,1.0,1372.0,20190721_110616_740
11,-73.158264,-29.893494,8.071899,0.08630371,3.4528046,8.672394,-0.03869629,-0.060058594,0.0029754639,45.078125,-21.21875,3.796875,1.0,1372.0,20190721_110616_763
12,-72.846985,-29.423523,8.8394165,-0.04298401,3.4887238,8.708313,-0.07064819,-0.106933594,8.544922E-4,45.0625,-21.21875,3.875,1.0,1372.0,20190721_110616_782
13,-74.00818,-28.710938,9.07135,-0.09326172,3.498291,8.81366,-0.08557129,-0.099472046,0.011505127,45.0625,-21.21875,3.90625,1.0,1372.0,20190721_110616_803
14,-73.532104,-27.923584,8.311462,-0.17706299,3.5030823,8.830414,-0.08769226,-0.06326294,0.02748108,45.0625,-21.203125,3.96875,1.0,1372.0,20190721_110616_821
15,-73.49548,-29.07257,8.189392,-0.17227173,3.5725098,8.97406,-0.10687256,-0.011062622,0.05305481,45.09375,-21.125,4.109375,1.0,1372.0,20190721_110616_840
16,-73.70758,-26.800537,9.649658,-0.1124115,3.546173,9.115326,-0.06958008,-0.027038574,0.087142944,45.09375,-21.078125,4.15625,1.0,1372.0,20190721_110616_862
17,-73.9212,-27.694702,9.814453,0.0647583,3.5150604,8.909424,-0.003540039,-0.07498169,0.110580444,45.09375,-20.875,4.34375,1.0,1372.0,20190721_110616_881
18,-73.194885,-28.741455,7.432556,0.24911499,3.4791412,8.799286,0.008178711,-0.07284546,0.12123108,45.03125,-20.75,4.375,1.0,1372.0,20190721_110616_902
19,-74.1333,-28.58429,9.214783,0.37600708,3.4456177,8.81604,-0.015258789,-0.052612305,0.11483765,44.984375,-20.703125,4.40625,1.0,1372.0,20190721_110616_920
20,-74.409485,-28.623962,9.965515,0.51486206,3.4408417,8.9357605,-0.01739502,-0.03024292,0.112701416,44.890625,-20.671875,4.5,1.0,1372.0,20190721_110616_941
21,-72.77985,-27.102661,7.8689575,0.73513794,3.47435,9.062653,-0.020584106,0.010238647,0.10951233,44.765625,-20.671875,4.640625,1.0,1372.0,20190721_110616_961
22,-74.36981,-28.175354,7.8201294,0.84288025,3.383377,9.187149,-0.011001587,-4.119873E-4,0.098861694,44.640625,-20.640625,4.75,1.0,1372.0,20190721_110616_982
23,-72.169495,-27.893066,8.985901,1.0104675,3.2947845,9.326004,0.023086548,-0.06326294,0.08074951,44.53125,-20.625,4.828125,1.0,1372.0,20190721_110617_001
24,-73.820496,-28.109741,8.912659,1.09906,3.2181702,9.134476,0.0901947,-0.14741516,0.034942627,44.40625,-20.578125,4.890625,1.0,1372.0,20190721_110617_020
