frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-74.298096,-30.480957,9.25293,0.9530029,3.4863281,9.029129,-0.04508972,0.1434021,0.12974548,30.609375,-24.609375,2.59375,1.0,1264.0,20190721_110332_216
2,-73.909,-29.133606,9.69696,0.77822876,3.4839325,8.622116,0.07421875,-0.009994507,-0.057739258,41.625,-21.4375,6.515625,1.0,1265.0,20190721_110332_278
3,-73.220825,-29.042053,9.269714,0.7949829,3.5150604,8.444946,0.047592163,-0.02810669,-0.049209595,41.625,-21.4375,6.515625,1.0,1265.0,20190721_110332_290
4,-72.15881,-29.335022,9.17511,0.8213196,3.5030823,8.413818,-0.05467224,-0.01852417,-0.027908325,41.625,-21.4375,6.515625,1.0,1265.0,20190721_110332_310
5,-72.821045,-29.133606,9.138489,0.8309021,3.5030823,8.772949,-0.10687256,0.026229858,-0.022583008,41.625,-21.4375,6.515625,1.0,1265.0,20190721_110332_331
6,-73.08655,-30.615234,10.076904,0.73753357,3.4719543,8.97406,-0.063201904,0.06990051,-0.030044556,41.625,-21.4375,6.515625,1.0,1265.0,20190721_110332_352
7,-73.08502,-30.607605,8.551025,0.66571045,3.4528046,8.825623,-0.019515991,0.044326782,-0.024719238,41.6875,-21.46875,6.515625,1.0,1265.0,20190721_110332_371
8,-72.247314,-30.358887,9.500122,0.6537323,3.4719543,8.662811,-0.032302856,6.5612793E-4,-0.010864258,41.734375,-21.3125,6.5,1.0,1265.0,20190721_110332_392
9,-71.98334,-28.883362,9.78241,0.6321869,3.529419,8.650848,-0.074920654,0.02835083,0.013641357,41.75,-21.265625,6.453125,1.0,1265.0,20190721_110332_411
10,-72.77069,-28.553772,9.889221,0.60105896,3.5509644,8.835205,-0.13031006,0.050720215,0.047729492,41.765625,-21.21875,6.375,1.0,1265.0,20190721_110332_431
11,-72.88513,-29.862976,9.152222,0.7231598,3.4719543,9.136871,-0.119659424,0.025161743,0.08287048,41.78125,-21.203125,6.34375,1.0,1265.0,20190721_110332_451
12,-73.55957,-29.808044,9.272766,0.80696106,3.3785858,9.062653,-0.07171631,-0.0036010742,0.073287964,41.78125,-21.15625,6.328125,1.0,1265.0,20190721_110332_472
13,-71.04797,-29.055786,11.204529,0.6537323,3.4336548,8.8567505,-0.03656006,-0.020645142,0.028549194,41.734375,-20.953125,6.28125,1.0,1265.0,20190721_110332_493
14,-73.583984,-30.093384,8.2092285,0.4885254,3.517456,8.885483,-0.031234741,0.056045532,0.028549194,41.6875,-20.875,6.28125,1.0,1265.0,20190721_110332_511
15,-73.00873,-29.73175,8.532715,0.41430664,3.47435,8.998001,-0.015258789,0.15086365,0.047729492,41.59375,-20.75,6.296875,1.0,1265.0,20190721_110332_533
