frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-74.2218,-28.022766,10.113525,1.0535583,3.2780304,8.942932,0.032684326,-0.048339844,0.12123108,39.109375,-19.96875,2.375,1.0,1316.0,20190721_110455_583
2,-72.70813,-27.824402,9.875488,0.68006897,3.371399,8.358749,-0.12710571,0.06776428,-0.07585144,39.09375,-20.734375,-2.515625,1.0,1316.0,20190721_110455_648
3,-74.046326,-27.571106,10.720825,0.8452759,3.4408417,8.672394,-0.2709198,-0.0036010742,-0.01512146,43.140625,-19.21875,6.4375,1.0,1316.0,20190721_110455_666
4,-73.905945,-25.961304,9.925842,1.0320129,3.3737946,9.170395,-0.29328918,0.019836426,0.02961731,43.140625,-19.21875,6.4375,1.0,1316.0,20190721_110455_687
5,-73.86932,-27.108765,9.344482,1.1972198,3.2445068,9.227844,-0.19955444,0.047531128,0.040267944,43.140625,-19.21875,6.4375,1.0,1316.0,20190721_110455_709
6,-73.77014,-27.529907,9.664917,1.2355194,3.0888824,8.916595,-0.09301758,-0.03236389,-0.011932373,43.171875,-19.09375,6.421875,1.0,1316.0,20190721_110455_726
7,-75.30975,-28.02124,10.214233,1.2786255,3.2684479,8.725067,-0.031234741,-0.16552734,-0.09182739,43.203125,-18.765625,6.421875,1.0,1316.0,20190721_110455_746
8,-73.20709,-27.311707,9.838867,1.1756744,3.541397,8.571838,0.01776123,-0.16552734,-0.13230896,43.15625,-18.46875,6.40625,1.0,1316.0,20190721_110455_767
9,-74.435425,-28.921509,11.04126,1.0511627,3.7089844,8.315659,0.03161621,-0.050476074,-0.08117676,43.140625,-18.28125,6.375,1.0,1316.0,20190721_110455_786
10,-74.25995,-28.460693,10.122681,1.0942688,3.7640533,8.183975,-0.05253601,0.03793335,0.016830444,43.21875,-18.21875,6.46875,1.0,1316.0,20190721_110455_806
11,-72.984314,-27.870178,11.999512,1.2020111,3.6706848,8.363541,-0.14202881,0.057113647,0.085006714,43.375,-18.21875,6.609375,1.0,1316.0,20190721_110455_827
12,-73.98529,-28.427124,10.592651,1.2546844,3.6347656,8.792099,-0.2858429,0.111450195,0.14678955,43.53125,-18.265625,6.703125,1.0,1316.0,20190721_110455_846
13,-74.020386,-27.275085,9.951782,1.3025665,3.5605469,9.488815,-0.31565857,0.15830994,0.16809082,43.578125,-18.28125,6.703125,1.0,1316.0,20190721_110455_868
14,-73.41919,-26.61438,9.048462,1.3576355,3.5006866,9.752182,-0.23150635,0.13700867,0.1819458,43.515625,-18.15625,6.671875,1.0,1316.0,20190721_110455_886
15,-74.842834,-25.790405,8.808899,1.5036774,3.407318,9.517548,-0.13563538,0.011306763,0.1819458,43.375,-17.890625,6.625,1.0,1316.0,20190721_110455_906
16,-74.77112,-26.512146,10.813904,1.6593018,3.364212,9.129684,-0.058929443,-0.17510986,0.13400269,43.203125,-17.53125,6.546875,1.0,1316.0,20190721_110455_926
17,-75.20447,-25.260925,8.930969,1.7526703,3.4647827,8.631699,0.008178711,-0.28269958,0.061569214,43.0,-17.171875,6.421875,1.0,1316.0,20190721_110455_947
18,-74.2569,-26.872253,9.625244,1.6976013,3.6203918,8.215103,0.018829346,-0.18896484,0.012573242,42.78125,-16.9375,6.375,1.0,1316.0,20190721_110455_967
19,-74.14398,-27.14386,9.332275,1.6616974,3.7784119,8.116943,-0.030166626,-4.119873E-4,0.0093688965,42.546875,-16.75,6.625,1.0,1316.0,20190721_110455_986
20,-75.04425,-26.539612,9.274292,1.6042328,3.7712402,8.4305725,-0.08343506,0.16790771,0.024291992,42.515625,-16.75,6.9375,1.0,1316.0,20190721_110456_007
21,-74.25842,-26.876831,10.694885,1.6593018,3.6754608,8.746613,-0.07171631,0.20732117,0.061569214,42.53125,-16.765625,7.15625,1.0,1316.0,20190721_110456_027
22,-74.53308,-26.913452,10.682678,1.858017,3.5557556,8.818436,-0.044021606,0.19667053,0.06903076,42.515625,-16.734375,7.1875,1.0,1316.0,20190721_110456_047
23,-75.41809,-26.15509,9.095764,2.016037,3.5820923,8.780136,-0.055740356,0.175354,0.032806396,42.484375,-16.640625,7.046875,1.0,1316.0,20190721_110456_067
24,-74.05548,-26.123047,9.312439,1.9418182,3.6036377,8.930969,-0.09408569,0.18388367,-0.018325806,42.390625,-16.546875,6.828125,1.0,1316.0,20190721_110456_087
25,-75.009155,-27.693176,9.915161,1.8460388,3.6419525,9.251785,-0.07917786,0.19134521,-0.046020508,42.28125,-16.484375,6.640625,1.0,1316.0,20190721_110456_106
26,-75.982666,-26.38092,10.447693,1.7694244,3.6299744,9.385864,-0.009933472,0.19667053,-0.041763306,42.203125,-16.421875,6.453125,1.0,1316.0,20190721_110456_126
27,-74.2569,-26.869202,9.16748,1.8604126,3.6132202,9.304459,0.053985596,0.15830994,-0.04069519,42.203125,-16.328125,6.25,1.0,1316.0,20190721_110456_146
28,-75.9079,-27.082825,8.7890625,1.8867493,3.6180115,9.184753,0.07849121,0.09440613,-0.076919556,42.21875,-16.234375,6.03125,1.0,1316.0,20190721_110456_166
29,-74.5697,-27.339172,8.401489,1.7814026,3.663498,9.187149,0.089141846,0.06669617,-0.109939575,42.25,-16.21875,5.796875,1.0,1316.0,20190721_110456_185
30,-73.86932,-27.104187,8.734131,1.664093,3.6946259,9.280518,0.12962341,0.076293945,-0.119522095,42.25,-16.28125,5.609375,1.0,1316.0,20190721_110456_205
31,-74.220276,-28.012085,7.975769,1.4701538,3.6826477,9.30925,0.1796875,0.14021301,-0.12059021,42.3125,-16.375,5.46875,1.0,1316.0,20190721_110456_225
32,-73.20709,-27.307129,8.770752,1.2187653,3.7760162,9.419388,0.21484375,0.18495178,-0.11419678,42.421875,-16.484375,5.359375,1.0,1316.0,20190721_110456_245
33,-74.09668,-28.149414,9.664917,0.88597107,3.7401123,9.460083,0.24360657,0.19560242,-0.055603027,42.53125,-16.640625,5.234375,1.0,1316.0,20190721_110456_268
34,-74.31946,-27.597046,8.877563,0.838089,3.6515198,9.503189,0.22761536,0.17749023,0.07221985,42.65625,-16.84375,5.0625,1.0,1316.0,20190721_110456_285
35,-74.043274,-27.555847,7.8201294,0.7734375,3.1631012,9.64444,0.16796875,0.12954712,0.2053833,42.734375,-17.109375,4.828125,1.0,1316.0,20190721_110456_305
