frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-75.04425,-26.53656,8.66394,0.14855957,3.3618317,9.196732,-0.22724915,-0.14422607,0.07861328,45.28125,-14.109375,1.5,1.0,260.0,20190721_102432_637
2,-75.320435,-26.583862,10.78949,-0.0022735596,3.1271973,8.808868,-0.107940674,0.02835083,0.075424194,45.078125,-13.53125,1.21875,1.0,260.0,20190721_102432_687
3,-75.56915,-26.322937,9.703064,0.009689331,3.1128235,8.799286,-0.11752319,0.015563965,0.09033203,48.046875,-19.609375,1.90625,1.0,260.0,20190721_102432_688
4,-76.945496,-26.504517,9.947205,0.16531372,3.0793152,8.760986,-0.15054321,-0.022781372,0.122283936,48.046875,-19.609375,1.90625,1.0,260.0,20190721_102432_696
5,-76.41907,-25.143433,11.160278,0.28263855,2.9979095,8.789703,-0.20806885,-0.064331055,0.12123108,48.046875,-19.609375,1.90625,1.0,260.0,20190721_102432_716
6,-75.894165,-25.360107,10.733032,0.23234558,2.8590393,9.321228,-0.21659851,-0.07817078,0.08181763,48.046875,-19.609375,1.90625,1.0,260.0,20190721_102432_736
7,-76.07117,-27.40326,10.774231,0.14376831,2.8350983,9.553467,-0.10900879,0.023025513,0.0796814,47.984375,-19.53125,1.921875,1.0,260.0,20190721_102432_756
8,-76.85852,-25.489807,11.453247,0.15335083,2.8901672,9.134476,-0.026977539,0.10185242,0.09565735,47.796875,-19.203125,2.078125,1.0,260.0,20190721_102432_778
9,-75.930786,-24.21112,10.549927,0.05757141,2.988327,8.775345,-0.05467224,0.072021484,0.100982666,47.75,-19.0625,2.140625,1.0,260.0,20190721_102432_797
10,-75.868225,-25.065613,9.963989,-0.014251709,3.1080475,8.669998,-0.15161133,0.00491333,0.11695862,47.671875,-18.859375,2.21875,1.0,260.0,20190721_102432_818
11,-77.07062,-26.374817,9.785461,-0.22254944,2.9667816,9.227844,-0.23364258,0.039001465,0.14039612,47.5625,-18.78125,2.1875,1.0,260.0,20190721_102432_836
12,-75.78125,-24.050903,11.468506,-0.24169922,3.0170593,9.637253,-0.14414978,0.12849426,0.16490173,47.375,-18.703125,2.09375,1.0,260.0,20190721_102432_857
13,-77.15759,-25.810242,9.919739,-0.3877411,2.9428406,9.345169,-0.007797241,0.24353027,0.19473267,47.25,-18.546875,2.125,1.0,260.0,20190721_102432_877
14,-76.01929,-25.231934,10.571289,-0.48590088,2.933258,8.729858,-0.003540039,0.20518494,0.22988892,47.09375,-18.28125,2.140625,1.0,260.0,20190721_102432_897
15,-76.80664,-24.902344,10.678101,-0.44760132,3.0003052,8.492828,-0.13563538,0.021957397,0.24160767,46.875,-18.09375,2.078125,1.0,260.0,20190721_102432_917
16,-77.319336,-24.537659,10.644531,-0.45718384,2.9715729,8.69873,-0.29328918,-0.16871643,0.21070862,46.625,-18.046875,1.890625,1.0,260.0,20190721_102432_937
17,-75.50659,-25.596619,10.450745,-0.5960388,3.0338135,9.029129,-0.33377075,-0.24967957,0.18087769,46.34375,-18.046875,1.75,1.0,260.0,20190721_102432_962
18,-76.76849,-24.46289,10.36377,-0.770813,3.1990204,9.041107,-0.26985168,-0.20707703,0.19898987,46.0625,-17.90625,1.78125,1.0,260.0,20190721_102432_980
19,-77.0813,-24.937439,10.360718,-0.7397003,3.2756348,8.586197,-0.25175476,-0.16127014,0.27035522,45.84375,-17.578125,2.015625,1.0,260.0,20190721_102432_997
20,-76.59302,-24.014282,11.582947,-0.44041443,3.1631012,8.737045,-0.35934448,-0.11439514,0.29273987,45.6875,-17.1875,2.34375,1.0,260.0,20190721_102433_016
21,-76.15509,-23.660278,10.067749,-0.4452057,2.9691772,9.6085205,-0.3678589,-0.013198853,0.24798584,45.5,-16.859375,2.640625,1.0,260.0,20190721_102433_038
22,-77.215576,-23.358154,8.483887,-0.4667511,2.9619904,9.922165,-0.18357849,0.15086365,0.22242737,45.234375,-16.5625,2.90625,1.0,260.0,20190721_102433_059
23,-76.04065,-22.348022,10.041809,-0.5242157,3.0266418,9.364319,-0.026977539,0.2414093,0.18940735,44.9375,-16.140625,3.125,1.0,260.0,20190721_102433_076
24,-77.267456,-23.951721,10.327148,-0.76364136,3.1822662,8.938156,-0.030166626,0.16896057,0.12548828,44.65625,-15.703125,3.234375,1.0,260.0,20190721_102433_097
25,-75.97809,-23.197937,8.843994,-1.0820618,3.3785858,8.825623,-0.07917786,0.02835083,0.09779358,44.390625,-15.453125,3.171875,1.0,260.0,20190721_102433_119
26,-77.54059,-22.401428,10.276794,-1.3190918,3.39534,8.689148,-0.11433411,-0.09414673,0.16171265,44.140625,-15.390625,2.96875,1.0,260.0,20190721_102433_137
27,-77.0401,-21.32721,10.580444,-1.244873,3.414505,8.720276,-0.12710571,-0.16871643,0.27142334,43.953125,-15.34375,2.8125,1.0,260.0,20190721_102433_156
28,-76.70288,-22.143555,9.700012,-1.086853,3.3139343,8.847168,-0.100479126,-0.15913391,0.3768921,43.890625,-15.3125,2.78125,1.0,260.0,20190721_102433_176
29,-77.40173,-20.79773,10.549927,-0.86180115,3.23732,8.880692,-0.034439087,-0.099472046,0.45465088,43.78125,-15.203125,2.84375,1.0,260.0,20190721_102433_197
