frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-75.16937,-23.26355,14.225769,0.98413086,3.5940704,8.358749,-0.25494385,-0.12397766,-0.33576965,43.203125,-27.328125,-7.65625,1.0,452.0,20190721_102931_707
2,-75.24414,-24.130249,12.413025,0.5675354,3.505478,8.749008,-0.09301758,0.1668396,0.056243896,38.375,-23.390625,6.3125,1.0,452.0,20190721_102931_756
3,-75.01984,-23.106384,15.45105,0.4550171,3.5030823,8.763367,-0.121780396,0.12742615,0.058380127,38.375,-23.390625,6.3125,1.0,452.0,20190721_102931_773
4,-76.08185,-24.38507,12.532043,0.35925293,3.5126648,8.883087,-0.12710571,0.107177734,0.06689453,38.375,-23.390625,6.3125,1.0,452.0,20190721_102931_792
5,-76.057434,-24.098206,13.594055,0.29460144,3.6060333,8.940552,-0.08024597,0.12528992,0.05091858,38.375,-23.390625,6.3125,1.0,452.0,20190721_102931_812
6,-75.24414,-24.1333,13.175964,0.08630371,3.6778564,8.792099,-0.0024719238,0.11463928,0.034942627,38.296875,-23.25,6.21875,1.0,452.0,20190721_102931_833
7,-74.20654,-23.13385,13.505554,-0.06213379,3.7137756,8.413818,0.009246826,0.10185242,0.075424194,38.203125,-23.109375,6.125,1.0,452.0,20190721_102931_854
8,-76.2558,-23.25592,12.953186,0.03842163,3.6922302,8.409027,-0.09941101,0.11357117,0.13613892,38.171875,-23.0625,6.078125,1.0,452.0,20190721_102931_873
9,-74.64447,-23.478699,13.188171,0.22038269,3.6587067,8.746613,-0.18357849,0.1007843,0.14678955,38.046875,-23.015625,5.921875,1.0,452.0,20190721_102931_894
10,-75.668335,-22.749329,13.580322,0.24911499,3.6443481,8.959702,-0.20062256,0.088012695,0.1031189,37.9375,-23.0,5.84375,1.0,452.0,20190721_102931_913
11,-74.668884,-23.765564,12.12616,0.23713684,3.7496796,9.117722,-0.19422913,0.00491333,0.047729492,37.84375,-22.953125,5.8125,1.0,452.0,20190721_102931_933
12,-75.23041,-22.399902,12.982178,0.11982727,3.6898346,9.100952,-0.16651917,0.015563965,0.023223877,37.65625,-22.75,5.765625,1.0,452.0,20190721_102931_953
13,-74.81537,-20.75653,12.503052,0.08869934,3.663498,9.060257,-0.15267944,0.099731445,-0.007675171,37.515625,-22.515625,5.71875,1.0,452.0,20190721_102931_973
14,-75.8667,-21.903992,12.481689,0.0048980713,3.7544708,9.024338,-0.14628601,0.15512085,-0.049209595,37.421875,-22.171875,5.734375,1.0,452.0,20190721_102931_993
15,-75.81787,-22.911072,13.117981,-0.1124115,3.802353,8.909424,-0.14202881,0.121032715,-0.07371521,37.421875,-22.078125,5.734375,1.0,452.0,20190721_102932_013
16,-75.09308,-23.962402,11.804199,-0.24409485,3.8622131,8.653244,-0.12072754,0.0496521,-0.10247803,37.40625,-21.890625,5.65625,1.0,452.0,20190721_102932_033
17,-75.16785,-23.252869,12.089539,-0.38534546,4.0058594,8.337204,-0.086639404,0.014511108,-0.12805176,37.421875,-21.734375,5.5,1.0,452.0,20190721_102932_052
18,-75.579834,-23.306274,12.071228,-0.4667511,4.1159973,8.006805,-0.100479126,0.0496521,-0.072647095,37.46875,-21.578125,5.3125,1.0,452.0,20190721_102932_074
19,-73.83118,-23.51532,13.075256,-0.32310486,4.075302,8.071457,-0.17823792,0.09120178,0.02961731,37.5625,-21.4375,5.203125,1.0,452.0,20190721_102932_095
20,-73.95325,-23.376465,10.928345,-0.06213379,3.8717957,8.47847,-0.21766663,0.121032715,0.08181763,37.703125,-21.328125,5.125,1.0,452.0,20190721_102932_113
21,-75.10376,-22.517395,10.853577,0.031234741,3.742508,8.782532,-0.17185974,0.13061523,0.049850464,37.8125,-21.25,5.046875,1.0,452.0,20190721_102932_133
22,-75.94299,-22.779846,12.498474,-0.07411194,3.8095398,8.789703,-0.088760376,0.076293945,-0.021514893,37.8125,-21.078125,4.96875,1.0,452.0,20190721_102932_152
23,-74.853516,-22.775269,11.329651,-0.3973236,3.8622131,8.653244,-0.061065674,-0.019577026,-0.043884277,37.734375,-20.828125,4.875,1.0,452.0,20190721_102932_173
