frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-74.72687,-19.741821,13.551331,-0.4667511,4.331482,8.526352,-0.15161133,-0.035568237,0.01576233,41.15625,-18.421875,0.34375,1.0,356.0,20190721_102726_862
2,-75.26398,-19.659424,11.997986,-0.1124115,4.02742,8.849564,-0.28796387,0.010238647,0.11376953,41.265625,-18.140625,0.1875,1.0,356.0,20190721_102726_911
3,-74.97406,-19.468689,10.327148,-0.14353943,4.020233,8.878296,-0.27412415,0.0059814453,0.09246826,43.6875,-27.125,-2.734375,1.0,356.0,20190721_102726_920
4,-75.41351,-19.818115,11.079407,-0.19621277,4.099243,9.146454,-0.22085571,-0.04408264,0.06689453,43.6875,-27.125,-2.734375,1.0,356.0,20190721_102726_940
5,-74.33777,-18.389893,13.232422,-0.20578003,4.183029,9.045883,-0.119659424,-0.11546326,0.0796814,43.6875,-27.125,-2.734375,1.0,356.0,20190721_102726_961
6,-75.72479,-18.713379,12.564087,-0.10522461,4.178253,8.758591,-0.08129883,-0.18682861,0.07647705,43.6875,-27.125,-2.734375,1.0,356.0,20190721_102726_981
7,-74.435425,-17.962646,11.53717,-0.03100586,4.281204,8.794495,-0.096221924,-0.17510986,0.05517578,43.59375,-26.84375,-2.6875,1.0,356.0,20190721_102727_000
8,-75.45929,-17.230225,11.31897,-0.06452942,4.2716217,8.971664,-0.09301758,-0.118652344,0.047729492,43.53125,-26.640625,-2.578125,1.0,356.0,20190721_102727_020
9,-74.80011,-19.021606,12.004089,-0.14353943,4.202194,9.156021,-0.05999756,-0.13356018,0.046661377,43.46875,-26.53125,-2.40625,1.0,356.0,20190721_102727_041
10,-74.850464,-19.607544,12.321472,-0.13874817,4.044174,9.19194,-0.026977539,-0.1580658,0.063705444,43.4375,-26.390625,-2.0625,1.0,356.0,20190721_102727_061
11,-74.8764,-19.900513,12.632751,0.04321289,3.881363,9.237427,-0.044021606,-0.12930298,0.07009888,43.40625,-26.28125,-1.921875,1.0,356.0,20190721_102727_081
12,-76.786804,-18.417358,12.04834,0.08390808,3.6706848,9.675568,-0.06639099,-0.120788574,8.544922E-4,43.390625,-26.203125,-1.765625,1.0,356.0,20190721_102727_101
13,-74.16077,-17.926025,11.549377,0.14376831,3.759262,9.977234,0.015640259,-0.16020203,-0.1003418,43.359375,-26.171875,-1.578125,1.0,356.0,20190721_102727_121
14,-74.31183,-18.09845,13.226318,0.10307312,3.8670044,9.792877,0.1285553,-0.17510986,-0.19090271,43.3125,-26.125,-1.40625,1.0,356.0,20190721_102727_143
15,-74.70245,-19.45343,14.3081665,0.08390808,4.063324,9.44812,0.16903687,-0.17298889,-0.24308777,43.34375,-26.0625,-1.265625,1.0,356.0,20190721_102727_162
16,-73.71521,-19.041443,15.414429,-0.011856079,4.1519165,9.330795,0.10618591,-0.10054016,-0.23243713,43.484375,-26.0625,-1.15625,1.0,356.0,20190721_102727_181
17,-75.149536,-18.351746,13.040161,-0.09805298,4.075302,9.575012,-3.5095215E-4,0.026229858,-0.17385864,43.734375,-26.1875,-1.078125,1.0,356.0,20190721_102727_200
18,-75.02899,-20.072937,14.3081665,-0.13874817,3.7329254,9.953293,-0.08236694,0.1476593,-0.088638306,44.0625,-26.375,-1.015625,1.0,356.0,20190721_102727_221
19,-75.70038,-18.423462,13.015747,0.1844635,3.340271,10.135254,-0.11859131,0.17962646,-0.025787354,44.34375,-26.5,-1.015625,1.0,356.0,20190721_102727_240
20,-75.93994,-19.60907,13.18512,0.625,2.9619904,10.051453,-0.10368347,0.1007843,-0.030044556,44.5625,-26.515625,-1.125,1.0,356.0,20190721_102727_262
21,-76.20239,-19.50531,14.39209,1.0128632,2.6411743,9.735413,-0.100479126,-0.046218872,-0.07797241,44.640625,-26.421875,-1.296875,1.0,356.0,20190721_102727_282
22,-76.37787,-19.953918,12.867737,1.1876373,2.4113312,9.567825,-0.13670349,-0.10800171,-0.18663025,44.625,-26.296875,-1.5,1.0,356.0,20190721_102727_301
23,-75.12512,-18.057251,12.576294,1.2115784,2.4161224,9.505569,-0.07385254,-0.14848328,-0.33044434,44.625,-26.171875,-1.640625,1.0,356.0,20190721_102727_321
24,-75.41504,-19.8349,14.283752,1.1660919,2.6172333,8.918991,0.1051178,-0.19747925,-0.43377686,44.703125,-26.046875,-1.640625,1.0,356.0,20190721_102727_341
25,-75.72632,-18.719482,13.78479,1.0703278,2.8398895,8.006805,0.2350769,-0.162323,-0.45614624,44.9375,-25.890625,-1.625,1.0,356.0,20190721_102727_361
26,-75.06714,-20.51239,14.775085,0.97454834,3.0146637,7.4609222,0.23188782,-0.01638794,-0.40501404,45.328125,-25.78125,-1.625,1.0,356.0,20190721_102727_382
27,-73.739624,-19.329834,14.808655,1.0679321,3.1248016,7.609375,0.14027405,0.19667053,-0.26759338,45.859375,-25.859375,-1.640625,1.0,356.0,20190721_102727_403
28,-75.14343,-21.38977,15.098572,1.2163696,2.9811401,8.109756,0.065704346,0.33728027,-0.11633301,46.421875,-26.09375,-1.703125,1.0,356.0,20190721_102727_421
29,-74.66583,-20.59784,13.423157,1.3791809,2.7608795,8.349182,0.025222778,0.27549744,-0.013000488,46.90625,-26.359375,-1.875,1.0,356.0,20190721_102727_441
30,-75.40436,-21.270752,13.40332,1.3815765,2.4664001,8.409027,-0.07810974,0.1242218,0.06263733,47.1875,-26.515625,-2.171875,1.0,356.0,20190721_102727_460
31,-75.40283,-21.2677,12.640381,1.565918,2.1910553,8.751404,-0.24536133,-0.033432007,0.139328,47.265625,-26.578125,-2.578125,1.0,356.0,20190721_102727_482
32,-75.54016,-19.700623,13.053894,2.0040588,2.1048737,9.117722,-0.29328918,-0.21133423,0.1116333,47.203125,-26.609375,-2.875,1.0,356.0,20190721_102727_501
33,-75.26398,-19.664001,13.066101,2.233902,2.109665,8.79689,-0.19528198,-0.38923645,-0.02684021,47.109375,-26.546875,-3.0,1.0,356.0,20190721_102727_521
34,-76.867676,-20.887756,13.783264,2.2362976,2.430481,8.006805,-0.10687256,-0.4872284,-0.198349,46.953125,-26.296875,-2.921875,1.0,356.0,20190721_102727_541
35,-75.4776,-20.55664,12.92572,2.0303955,2.8758087,7.4226227,-0.15267944,-0.3775177,-0.31233215,46.859375,-25.984375,-2.65625,1.0,356.0,20190721_102727_561
36,-76.02997,-20.640564,15.037537,1.7885895,3.311554,7.4609222,-0.27198792,-0.20387268,-0.33044434,46.96875,-25.734375,-2.28125,1.0,356.0,20190721_102727_582
37,-76.44348,-20.695496,15.324402,1.664093,3.522232,7.84639,-0.34335327,-0.060058594,-0.3006134,47.09375,-25.65625,-2.078125,1.0,356.0,20190721_102727_602
