frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-42.547607,-48.55194,12.113953,0.7135925,3.639557,8.907028,-0.4008789,0.01876831,-0.16426086,20.375,-22.984375,4.640625,1.0,619.0,20190721_103654_935
2,-42.04712,-47.4823,13.026428,0.5364227,3.735321,8.502411,-0.04827881,0.20838928,0.1073761,25.140625,-22.265625,4.328125,1.0,620.0,20190721_103654_999
3,-42.42401,-48.68927,13.801575,0.45980835,3.7808075,8.5048065,-0.08129883,0.18707275,0.09779358,25.140625,-22.265625,4.328125,1.0,620.0,20190721_103655_008
4,-42.66205,-49.865723,12.139893,0.2706604,3.8310852,8.672394,-0.1377716,0.123168945,0.0796814,25.140625,-22.265625,4.328125,1.0,620.0,20190721_103655_028
5,-42.347717,-47.805786,12.257385,0.20602417,3.9100952,8.897446,-0.14309692,0.0965271,0.07647705,25.140625,-22.265625,4.328125,1.0,620.0,20190721_103655_048
6,-42.674255,-48.432922,13.783264,0.18206787,3.953186,8.904633,-0.10154724,0.109313965,0.07435608,25.140625,-22.265625,4.328125,1.0,620.0,20190721_103655_069
7,-41.43524,-48.268127,13.075256,0.05757141,3.996292,8.729858,-0.08982849,0.109313965,0.0605011,25.015625,-22.140625,4.203125,1.0,620.0,20190721_103655_088
8,-41.586304,-48.42987,12.919617,-0.02381897,4.068115,8.57663,-0.11112976,0.03793335,0.054107666,24.90625,-21.96875,4.125,1.0,620.0,20190721_103655_108
9,-42.23633,-49.664307,12.002563,-0.07649231,4.101639,8.442551,-0.13670349,-0.0057373047,0.05305481,24.8125,-21.8125,4.046875,1.0,620.0,20190721_103655_129
10,-42.533875,-46.817017,11.613464,-0.1124115,4.1375427,8.351578,-0.16226196,0.04220581,0.06477356,24.703125,-21.703125,3.953125,1.0,620.0,20190721_103655_150
