frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-43.02368,-49.33014,11.04126,1.134964,4.0010834,9.282913,-0.39450073,0.01663208,-0.034301758,6.40625,-26.640625,7.34375,1.0,595.0,20190721_103547_054
2,-40.499878,-50.019836,13.009644,0.6058502,3.9795227,8.200729,-0.05680847,0.0059814453,-0.05987549,6.34375,-26.484375,7.34375,1.0,595.0,20190721_103547_120
3,-41.42151,-49.690247,9.599304,0.61543274,3.9819183,8.22229,-0.07917786,-0.017456055,-0.05027771,6.34375,-26.484375,-7.34375,1.0,595.0,20190721_103547_126
4,-42.521667,-48.249817,9.970093,0.6896515,3.9795227,8.444946,-0.12817383,-0.06326294,-0.016189575,25.453125,-22.0625,4.546875,1.0,595.0,20190721_103547_146
5,-42.396545,-48.37799,10.131836,0.8404846,4.0106506,8.55748,-0.121780396,-0.031295776,0.03919983,25.453125,-22.0625,4.546875,1.0,595.0,20190721_103547_167
6,-41.33606,-50.265503,11.296082,1.0320129,3.929245,8.543106,-0.14309692,0.036880493,0.10630798,25.453125,-22.0625,4.546875,1.0,595.0,20190721_103547_186
7,-41.496277,-48.983765,10.494995,1.2331238,3.7951813,8.6436615,-0.17398071,0.060317993,0.12974548,25.515625,-21.9375,4.59375,1.0,595.0,20190721_103547_206
8,-41.223145,-48.95172,11.270142,1.3791809,3.6347656,8.79689,-0.15907288,-0.011062622,0.0839386,25.5,-21.796875,4.640625,1.0,595.0,20190721_103547_227
9,-42.111206,-49.78943,11.401367,1.5180359,3.704193,8.71788,-0.123916626,-0.06752014,0.01789856,25.421875,-21.640625,4.671875,1.0,595.0,20190721_103547_248
10,-42.63611,-49.565125,10.302734,1.4845276,3.7808075,8.523956,-0.10368347,-0.10479736,-0.041763306,25.265625,-21.4375,4.65625,1.0,595.0,20190721_103547_267
11,-42.060852,-49.206543,11.38916,1.427063,3.9579773,8.313263,-0.10580444,-0.11013794,-0.06945801,25.15625,-21.234375,4.6875,1.0,595.0,20190721_103547_287
12,-41.122437,-49.36676,10.369873,1.3672028,4.0896606,8.344391,-0.13031006,-0.071777344,-0.06199646,25.125,-21.078125,4.75,1.0,595.0,20190721_103547_307
13,-42.585754,-48.983765,10.748291,1.2594604,4.159088,8.624512,-0.13989258,0.031555176,-0.02684021,25.171875,-20.953125,4.84375,1.0,595.0,20190721_103547_329
14,-41.28418,-48.094177,11.09314,1.213974,4.0776978,8.760986,-0.12924194,0.08694458,0.03387451,25.265625,-20.84375,4.9375,1.0,595.0,20190721_103547_347
15,-42.199707,-50.80414,10.047913,1.2905884,3.9699554,8.832809,-0.14202881,0.062438965,0.06689453,25.375,-20.71875,5.0,1.0,595.0,20190721_103547_367
16,-41.407776,-47.961426,10.168457,1.3025665,3.821518,8.8567505,-0.14735413,-0.059005737,0.056243896,25.4375,-20.5625,4.984375,1.0,595.0,20190721_103547_387
17,-42.619324,-47.82715,9.344482,1.3241119,3.8334808,8.8016815,-0.12710571,-0.13890076,0.0370636,25.40625,-20.40625,4.921875,1.0,595.0,20190721_103547_406
18,-43.08319,-48.464966,9.338379,1.3097382,3.917282,8.696335,-0.084503174,-0.10267639,0.028549194,25.375,-20.34375,4.875,1.0,595.0,20190721_103547_427
