frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-37.64496,-46.90857,13.679504,1.1684875,3.936432,9.043503,-0.25813293,0.2414093,0.19152832,21.921875,-22.640625,2.953125,1.0,570.0,20190721_103457_796
2,-39.108276,-48.101807,11.959839,0.70880127,4.1638794,7.937378,-0.06639099,0.047531128,-0.033233643,6.921875,-24.4375,6.734375,1.0,570.0,20190721_103457_857
3,-39.92157,-48.06366,12.07428,0.74949646,4.12558,8.306076,-0.15907288,0.109313965,-0.04069519,6.921875,-24.4375,6.734375,1.0,570.0,20190721_103457_873
4,-39.172363,-48.832703,12.280273,0.6848602,4.051361,8.598175,-0.16014099,0.15618896,-0.046020508,6.921875,-24.4375,6.734375,1.0,570.0,20190721_103457_895
5,-39.260864,-49.856567,12.759399,0.5124817,4.008255,8.607758,-0.12284851,0.14447021,-0.043884277,6.921875,-24.4375,6.734375,1.0,570.0,20190721_103457_913
6,-38.121033,-47.691345,13.523865,0.37600708,4.020233,8.689148,-0.10473633,0.111450195,-0.024719238,6.953125,-24.25,6.59375,1.0,570.0,20190721_103457_935
7,-38.383484,-49.157715,11.410522,0.3568573,3.9555817,8.878296,-0.07810974,0.10612488,0.0029754639,6.96875,-24.09375,6.40625,1.0,570.0,20190721_103457_953
8,-39.38446,-48.1369,11.947632,0.4406433,3.960373,8.849564,-0.03869629,0.08694458,0.011505127,6.984375,-23.953125,6.234375,1.0,570.0,20190721_103457_972
9,-39.598083,-49.032593,12.417603,0.4765625,3.984314,8.648453,-0.03656006,0.06564331,0.01576233,7.0,-23.84375,6.125,1.0,570.0,20190721_103457_993
10,-40.91034,-48.483276,12.342834,0.4358673,3.9795227,8.679581,-0.08236694,0.0496521,0.02748108,6.96875,-23.765625,6.015625,1.0,570.0,20190721_103458_015
11,-39.88495,-49.21112,11.49292,0.38079834,3.9771423,8.81366,-0.06213379,0.048599243,0.024291992,6.953125,-23.734375,5.96875,1.0,570.0,20190721_103458_036
12,-39.497375,-49.450684,11.975098,0.1509552,4.0106506,8.710709,-0.0056762695,0.0688324,0.012573242,6.921875,-23.703125,5.890625,1.0,570.0,20190721_103458_055
13,-39.07318,-49.25537,12.905884,-0.05255127,4.0130463,8.38269,0.023086548,0.04006958,0.022155762,6.875,-23.578125,5.828125,1.0,570.0,20190721_103458_074
14,-38.98468,-48.23761,13.648987,-0.03100586,4.063324,8.193558,-0.028045654,0.0059814453,0.061569214,6.828125,-23.5,5.796875,1.0,570.0,20190721_103458_095
15,-38.835144,-48.072815,13.499451,0.04800415,4.0896606,8.392273,-0.10580444,0.025161743,0.08287048,6.8125,-23.484375,5.734375,1.0,570.0,20190721_103458_115
16,-39.297485,-48.706055,12.423706,-0.04058838,4.070511,8.646057,-0.13456726,0.06350708,0.09033203,6.765625,-23.5,5.6875,1.0,570.0,20190721_103458_135
17,-38.146973,-47.979736,12.765503,-0.27522278,3.9220734,8.792099,-0.12710571,0.076293945,0.09140015,6.703125,-23.484375,5.703125,1.0,570.0,20190721_103458_153
