frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-41.671753,-54.093933,18.39447,0.78541565,3.1990204,9.048279,-0.022720337,0.111450195,0.036010742,35.28125,-19.1875,0.53125,1.0,673.0,20190721_103845_250
2,-43.00995,-53.833008,17.713928,0.60105896,3.0649414,8.904633,-0.018447876,0.19134521,0.16596985,34.984375,-19.171875,0.21875,1.0,673.0,20190721_103845_307
3,-43.637085,-54.789734,19.386292,0.6058502,3.0410004,8.871109,-0.021652222,0.19772339,0.16596985,36.15625,-19.46875,4.90625,1.0,673.0,20190721_103845_310
4,-41.77246,-53.67737,18.991089,0.56993103,2.9907227,8.835205,-0.03656006,0.16577148,0.1499939,36.15625,-19.46875,4.90625,1.0,673.0,20190721_103845_327
5,-41.11023,-53.88031,19.026184,0.52923584,2.988327,8.885483,-0.05680847,0.043273926,0.11376953,36.15625,-19.46875,4.90625,1.0,673.0,20190721_103845_347
6,-42.959595,-53.25775,19.229126,0.4837494,2.9811401,8.854355,-0.063201904,-0.02810669,0.12123108,36.15625,-19.46875,4.90625,1.0,673.0,20190721_103845_369
7,-43.884277,-52.94037,18.10913,0.48614502,3.019455,8.725067,-0.11859131,-0.036621094,0.16064453,36.046875,-19.4375,4.84375,1.0,673.0,20190721_103845_389
8,-42.73529,-53.805542,19.25354,0.50289917,2.9548187,8.916595,-0.18676758,0.009185791,0.18833923,35.875,-19.375,4.765625,1.0,673.0,20190721_103845_407
9,-42.871094,-52.23236,18.444824,0.5531769,2.8686218,9.165604,-0.1963501,0.08055115,0.19366455,35.75,-19.296875,4.796875,1.0,673.0,20190721_103845_427
10,-42.770386,-52.651978,18.61267,0.5531769,2.854248,9.323624,-0.14842224,0.09440613,0.13827515,35.59375,-19.1875,4.875,1.0,673.0,20190721_103845_448
11,-43.30902,-52.57721,18.432617,0.35206604,2.940445,9.199112,-0.065322876,0.04220581,0.0605011,35.421875,-19.0,4.96875,1.0,673.0,20190721_103845_468
12,-41.845703,-52.964783,18.66455,0.07434082,3.1487427,8.7777405,-0.014190674,-0.04940796,0.022155762,35.203125,-18.765625,5.0,1.0,673.0,20190721_103845_488
