frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-37.928772,-50.14496,18.782043,0.5962677,3.2038116,10.228622,-0.18037415,0.083740234,0.14253235,30.03125,-21.765625,3.390625,1.0,646.0,20190721_103800_831
2,-37.239075,-50.04425,16.674805,0.62979126,3.4360504,8.377914,0.012435913,-0.07070923,0.0019226074,29.5,-21.65625,-3.078125,1.0,647.0,20190721_103800_881
3,-38.389587,-49.19281,18.125916,0.6130371,3.414505,8.473679,-0.016326904,-0.01638794,0.016830444,38.546875,-17.421875,2.46875,1.0,647.0,20190721_103800_891
4,-37.379456,-51.654053,17.77649,0.56993103,3.371399,8.662811,-0.037628174,0.06990051,0.044525146,38.546875,-17.421875,2.46875,1.0,647.0,20190721_103800_911
5,-38.528442,-50.78888,16.63208,0.5268402,3.304367,8.677185,-0.037628174,0.062438965,0.06263733,38.546875,-17.421875,2.46875,1.0,647.0,20190721_103800_932
6,-38.22937,-50.471497,18.470764,0.48135376,3.292389,8.713089,-0.06852722,0.03048706,0.073287964,38.546875,-17.421875,2.46875,1.0,647.0,20190721_103800_952
7,-38.95111,-49.40338,16.731262,0.50050354,3.2732391,8.978851,-0.100479126,0.03048706,0.087142944,38.515625,-17.390625,2.453125,1.0,647.0,20190721_103800_973
8,-38.017273,-51.164246,18.496704,0.5483856,3.2229614,9.077011,-0.07385254,0.039001465,0.09140015,38.453125,-17.34375,2.390625,1.0,647.0,20190721_103800_993
9,-37.416077,-50.50659,17.89856,0.62020874,3.23732,9.065048,-0.032302856,0.034744263,0.0839386,38.3125,-17.25,2.359375,1.0,647.0,20190721_103801_013
10,-38.352966,-50.338745,17.544556,0.70401,3.2277527,8.897446,-0.003540039,0.01663208,0.075424194,38.21875,-17.140625,2.359375,1.0,647.0,20190721_103801_033
11,-38.217163,-51.90735,17.590332,0.7806244,3.3330994,8.765762,-0.030166626,0.11250305,0.06689453,38.109375,-17.046875,2.34375,1.0,647.0,20190721_103801_052
12,-39.31732,-50.471497,19.029236,0.6633148,3.3426666,9.000397,-0.08982849,0.16896057,0.07009888,38.015625,-17.0,2.34375,1.0,647.0,20190721_103801_073
13,-38.916016,-50.55542,17.370605,0.67767334,3.2349396,9.1536255,-0.06958008,0.07948303,0.077545166,37.921875,-16.984375,2.34375,1.0,647.0,20190721_103801_093
14,-38.40332,-50.920105,17.251587,0.91230774,3.2947845,9.187149,-0.011001587,0.06564331,0.05091858,37.828125,-16.953125,2.265625,1.0,647.0,20190721_103801_112
15,-39.36615,-51.046753,17.208862,0.87638855,3.359436,8.971664,0.045455933,0.109313965,0.008300781,37.71875,-16.859375,2.109375,1.0,647.0,20190721_103801_132
16,-38.378906,-50.631714,17.855835,0.74949646,3.3690033,8.765762,0.024154663,0.11463928,-0.00340271,37.625,-16.765625,2.03125,1.0,647.0,20190721_103801_153
17,-38.479614,-50.21515,18.452454,0.7614746,3.383377,8.765762,-0.03337097,0.10505676,-0.00340271,37.546875,-16.75,1.984375,1.0,647.0,20190721_103801_174
18,-38.302612,-49.754333,17.533875,0.6728821,3.4025269,8.830414,-0.065322876,0.13700867,-0.020462036,37.515625,-16.796875,1.859375,1.0,647.0,20190721_103801_192
19,-38.941956,-50.846863,17.376709,0.44303894,3.3426666,8.837601,-0.09515381,0.16151428,-0.022583008,37.5,-16.828125,1.734375,1.0,647.0,20190721_103801_212
20,-38.49182,-51.942444,17.27295,0.19404602,3.2109833,9.007584,-0.12072754,0.1242218,-0.009796143,37.484375,-16.796875,1.625,1.0,647.0,20190721_103801_232
21,-37.47711,-51.220703,15.013123,0.14376831,3.1583252,9.000397,-0.08982849,0.008117676,0.0051116943,37.484375,-16.71875,1.46875,1.0,647.0,20190721_103801_253
22,-38.442993,-51.364136,18.328857,0.0647583,3.0697327,8.806473,-0.072784424,-0.060058594,0.025344849,37.484375,-16.625,1.296875,1.0,647.0,20190721_103801_272
23,-39.26544,-49.88098,17.49115,0.05996704,2.9763641,8.710709,-0.08024597,-0.06858826,0.051986694,37.484375,-16.484375,1.140625,1.0,647.0,20190721_103801_292
24,-38.378906,-50.631714,17.855835,0.20840454,3.0601501,8.679581,-0.077041626,-0.09414673,0.06689453,37.46875,-16.375,1.125,1.0,647.0,20190721_103801_311
25,-37.64038,-49.9588,17.875671,0.4837494,3.2995758,8.464096,-0.065322876,-0.19747925,0.07435608,37.453125,-16.296875,1.1875,1.0,647.0,20190721_103801_333
26,-38.20343,-50.17395,17.39502,0.7399292,3.4408417,8.308472,-0.12284851,-0.2326355,0.098861694,37.421875,-16.203125,1.28125,1.0,647.0,20190721_103801_352
27,-38.86566,-49.972534,17.6651,0.96258545,3.4288635,8.679581,-0.23150635,-0.14527893,0.13294983,37.359375,-16.109375,1.390625,1.0,647.0,20190721_103801_372
28,-39.015198,-50.128174,15.982056,1.1158142,3.2971802,9.2326355,-0.22724915,-0.03768921,0.12123108,37.28125,-15.984375,1.765625,1.0,647.0,20190721_103801_392
29,-39.05487,-52.157593,16.944885,1.2067871,3.2038116,9.337982,-0.14309692,0.019836426,0.08074951,37.234375,-15.90625,1.90625,1.0,647.0,20190721_103801_415
30,-37.9776,-50.715637,16.351318,1.2091827,3.1583252,9.373901,-0.11538696,0.035812378,0.032806396,37.046875,-15.5,2.171875,1.0,647.0,20190721_103801_433
31,-39.263916,-49.871826,15.658569,1.1469421,3.050583,9.443329,-0.107940674,0.032608032,-0.011932373,36.984375,-15.375,2.203125,1.0,647.0,20190721_103801_454
32,-39.067078,-50.720215,17.520142,1.0846863,2.9931183,9.419388,-0.084503174,-0.015319824,-0.06945801,36.890625,-15.203125,2.21875,1.0,647.0,20190721_103801_473
33,-38.990784,-49.848938,18.266296,1.0344086,3.0266418,9.261368,-0.07385254,-0.07923889,-0.11419678,36.84375,-15.0625,2.1875,1.0,647.0,20190721_103801_493
34,-39.015198,-50.13275,16.744995,0.9506073,3.0817108,9.189545,-0.09408569,-0.07817078,-0.1429596,36.859375,-14.9375,2.15625,1.0,647.0,20190721_103801_515
35,-39.590454,-50.498962,17.184448,0.86442566,3.115219,9.134476,-0.08769226,-0.054733276,-0.15361023,36.9375,-14.84375,2.140625,1.0,647.0,20190721_103801_533
36,-36.875916,-48.98987,17.430115,0.84288025,3.1367645,9.167999,-0.06852722,-0.013198853,-0.14082336,37.0625,-14.765625,2.1875,1.0,647.0,20190721_103801_553
37,-39.06555,-50.71411,16.452026,0.8955536,3.1248016,9.077011,-0.04295349,-0.03236389,-0.11419678,37.234375,-14.671875,2.25,1.0,647.0,20190721_103801_572
38,-38.82599,-49.526978,15.82489,0.97216797,3.031433,8.842377,-0.058929443,-0.08242798,-0.09075928,37.328125,-14.625,2.25,1.0,647.0,20190721_103801_594
39,-38.139343,-49.44153,16.923523,1.1206055,3.0936737,8.780136,-0.12710571,-0.11439514,-0.09289551,37.515625,-14.53125,2.25,1.0,647.0,20190721_103801_613
40,-37.71515,-50.823975,16.061401,1.111023,3.153534,8.933365,-0.16546631,-0.14102173,-0.107803345,37.65625,-14.46875,2.234375,1.0,647.0,20190721_103801_632
41,-38.37738,-50.619507,15.414429,0.99131775,3.134369,9.160812,-0.17398071,-0.11332703,-0.1003418,37.796875,-14.421875,2.265625,1.0,647.0,20190721_103801_652
42,-37.487793,-49.78485,15.893555,0.89793396,3.0386047,9.383469,-0.1452179,-0.054733276,-0.06732178,37.90625,-14.328125,2.34375,1.0,647.0,20190721_103801_672
43,-38.327026,-50.03662,15.707397,0.96258545,2.964386,9.507965,-0.10261536,6.5612793E-4,-0.030044556,38.046875,-14.171875,2.453125,1.0,647.0,20190721_103801_693
