frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-40.270996,-52.046204,20.549011,0.9075165,3.766449,9.3116455,-0.24961853,0.047531128,0.20751953,44.5,-28.1875,2.65625,1.0,699.0,20190721_103931_522
2,-39.67285,-52.981567,21.362305,1.0415955,3.5581512,8.710709,-0.014190674,0.07841492,0.030685425,44.125,-27.921875,2.453125,1.0,699.0,20190721_103931_580
3,-40.560913,-53.819275,21.188354,1.0727234,3.5581512,8.758591,-0.026977539,0.08055115,0.028549194,44.125,-27.921875,-2.453125,1.0,699.0,20190721_103931_583
4,-39.645386,-51.101685,21.165466,1.134964,3.5796967,8.911819,-0.034439087,0.062438965,-2.1362305E-4,27.34375,-21.984375,4.578125,1.0,699.0,20190721_103931_603
5,-40.8844,-52.845764,20.233154,1.0128632,3.5796967,8.947723,-0.007797241,0.05392456,-0.044952393,27.34375,-21.984375,4.578125,1.0,699.0,20190721_103931_623
6,-40.670776,-51.957703,21.138,0.85723877,3.5820923,8.851959,0.023086548,0.027282715,-0.06199646,27.34375,-21.984375,4.578125,1.0,699.0,20190721_103931_643
7,-40.234375,-53.196716,20.883179,0.8117523,3.5988464,8.648453,0.01776123,0.025161743,-0.05241394,27.3125,-21.96875,4.53125,1.0,699.0,20190721_103931_663
8,-40.211487,-52.912903,22.251892,0.8093567,3.6156158,8.607758,0.008178711,0.0496521,-0.053482056,27.34375,-21.9375,4.4375,1.0,699.0,20190721_103931_688
9,-40.33661,-52.786255,22.395325,0.7878113,3.6060333,8.519165,0.011367798,0.06776428,-0.05987549,27.421875,-21.96875,4.375,1.0,699.0,20190721_103931_704
10,-37.2818,-52.085876,20.233154,0.7423248,3.5988464,8.368332,-3.5095215E-4,0.08055115,-0.057739258,27.46875,-22.0,4.328125,1.0,699.0,20190721_103931_724
11,-38.52234,-52.2583,22.010803,0.74710083,3.6467285,8.375519,-0.057876587,0.10292053,-0.04283142,27.5,-22.015625,4.296875,1.0,699.0,20190721_103931_744
12,-39.39514,-52.93579,19.238281,0.73753357,3.625183,8.588593,-0.110061646,0.076293945,-0.02897644,27.5625,-22.03125,4.171875,1.0,699.0,20190721_103931_765
13,-38.91754,-50.564575,19.203186,0.7255554,3.6371613,8.784927,-0.12072754,0.052856445,-0.027908325,27.625,-22.046875,4.0625,1.0,699.0,20190721_103931_785
