frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-34.80835,-54.933167,19.503784,0.03842163,3.1846619,8.885483,-0.12284851,0.047531128,0.122283936,26.921875,-18.796875,2.640625,1.0,739.0,20190721_104116_506
2,-34.44519,-53.875732,19.494629,0.028839111,3.177475,8.969269,-0.13563538,0.056045532,0.122283936,26.921875,-18.796875,-2.640625,1.0,739.0,20190721_104116_511
3,-35.12268,-55.410767,20.41626,-0.08128357,3.1176147,9.239822,-0.1409607,0.07736206,0.11376953,44.46875,-19.703125,0.09375,1.0,739.0,20190721_104116_526
4,-35.221863,-54.98352,19.02771,-0.19142151,3.1248016,9.373901,-0.08557129,0.08055115,0.09458923,44.46875,-19.703125,0.09375,1.0,739.0,20190721_104116_545
5,-34.983826,-53.805542,20.384216,-0.25128174,3.2756348,9.0698395,-0.011001587,0.012374878,0.07221985,44.46875,-19.703125,0.09375,1.0,739.0,20190721_104116_565
6,-35.798645,-55.360413,21.603394,-0.35183716,3.4121094,8.650848,0.009246826,-0.09841919,0.04345703,44.40625,-19.625,0.078125,1.0,739.0,20190721_104116_586
7,-35.072327,-54.823303,19.641113,-0.3542328,3.5198364,8.3396,-0.019515991,-0.11972046,0.06796265,44.15625,-19.421875,0.0,1.0,739.0,20190721_104116_605
8,-35.072327,-54.823303,19.641113,-0.20578003,3.601242,8.38269,-0.08557129,-0.03024292,0.13294983,44.09375,-19.421875,0.0625,1.0,739.0,20190721_104116_625
9,-36.14807,-54.67987,20.503235,-0.08847046,3.5342102,8.607758,-0.11433411,0.046463013,0.16383362,44.0625,-19.421875,0.203125,1.0,739.0,20190721_104116_645
10,-35.647583,-55.18799,19.927979,-0.05734253,3.4240723,8.715485,-0.121780396,0.076293945,0.16171265,44.0625,-19.421875,0.203125,1.0,739.0,20190721_104116_665
11,-35.124207,-55.415344,21.1792,0.0048980713,3.443222,8.940552,-0.15267944,0.07948303,0.14678955,43.96875,-19.375,0.328125,1.0,739.0,20190721_104116_685
12,-35.183716,-54.544067,18.713379,0.05757141,3.4480133,9.23024,-0.17611694,0.06669617,0.11909485,43.8125,-19.265625,0.390625,1.0,739.0,20190721_104116_712
13,-36.45935,-55.148315,19.430542,0.02645874,3.4719543,9.359528,-0.16333008,0.036880493,0.06796265,43.609375,-19.125,0.375,1.0,739.0,20190721_104116_725
14,-35.432434,-54.29077,19.000244,-0.16268921,3.5605469,9.383469,-0.12924194,-0.007858276,0.016830444,43.40625,-18.96875,0.359375,1.0,739.0,20190721_104116_746
15,-35.346985,-54.8584,19.32373,-0.35183716,3.6467285,9.3116455,-0.086639404,-0.04196167,0.007247925,43.234375,-18.78125,0.328125,1.0,739.0,20190721_104116_767
16,-35.92224,-55.218506,18.847656,-0.43562317,3.7137756,9.029129,-0.035491943,-0.10160828,0.008300781,43.109375,-18.59375,0.296875,1.0,739.0,20190721_104116_787
17,-35.069275,-53.23639,19.755554,-0.48112488,3.7401123,8.705917,-0.0056762695,-0.1346283,0.010437012,43.0625,-18.40625,0.296875,1.0,739.0,20190721_104116_805
18,-36.07025,-53.79944,19.41681,-0.55055237,3.7879944,8.519165,-0.011001587,-0.106933594,0.04133606,43.046875,-18.28125,0.328125,1.0,739.0,20190721_104116_826
19,-34.80835,-54.933167,19.503784,-0.5242157,3.7736206,8.550293,-0.018447876,-0.06326294,0.09565735,43.046875,-18.203125,0.390625,1.0,739.0,20190721_104116_845
20,-35.557556,-54.16107,18.838501,-0.3757782,3.6706848,8.653244,-0.021652222,-0.002532959,0.14146423,43.0625,-18.1875,0.53125,1.0,739.0,20190721_104116_867
21,-35.39734,-55.441284,19.335938,-0.25605774,3.5437775,8.837601,-0.011001587,0.029418945,0.14253235,43.046875,-18.171875,0.734375,1.0,739.0,20190721_104116_886
22,-35.272217,-55.570984,19.802856,-0.27282715,3.5749054,8.885483,0.008178711,-0.021713257,0.10630798,42.96875,-18.140625,0.84375,1.0,739.0,20190721_104116_906
23,-35.8963,-54.92401,18.078613,-0.35183716,3.6946259,8.952515,0.009246826,-0.10160828,0.07861328,42.8125,-18.125,0.890625,1.0,739.0,20190721_104116_925
24,-35.733032,-54.615784,18.38379,-0.36380005,3.7401123,8.964493,0.003921509,-0.12504578,0.08181763,42.65625,-18.109375,0.921875,1.0,739.0,20190721_104116_945
25,-34.344482,-54.28772,18.136597,-0.3111267,3.7401123,9.000397,0.018829346,-0.13676453,0.0839386,42.53125,-18.109375,0.96875,1.0,739.0,20190721_104116_967
26,-36.860657,-55.056763,19.561768,-0.2033844,3.7784119,8.916595,0.053985596,-0.13569641,0.063705444,42.453125,-18.109375,1.109375,1.0,739.0,20190721_104116_986
27,-35.157776,-54.257202,19.470215,-0.13156128,3.7544708,8.907028,0.07102966,-0.10800171,0.036010742,42.375,-18.125,1.265625,1.0,739.0,20190721_104117_006
28,-36.44867,-56.588745,19.31305,-0.03819275,3.7089844,8.998001,0.07421875,-0.076049805,0.01576233,42.3125,-18.140625,1.4375,1.0,739.0,20190721_104117_024
29,-37.335205,-54.26178,21.199036,0.07911682,3.6850433,9.15123,0.098724365,-0.076049805,-0.03855896,42.265625,-18.1875,1.609375,1.0,739.0,20190721_104117_045
30,-35.282898,-54.130554,19.92035,0.04800415,3.7209625,9.100952,0.15518188,-0.12504578,-0.12059021,42.234375,-18.265625,1.75,1.0,739.0,20190721_104117_065
31,-37.384033,-54.83551,19.378662,-0.0070648193,3.8741913,9.002792,0.17755127,-0.15594482,-0.17918396,42.21875,-18.34375,1.84375,1.0,739.0,20190721_104117_086
32,-37.062073,-55.80902,20.48645,-0.10762024,3.9555817,9.055466,0.15304565,-0.08988953,-0.17811584,42.265625,-18.453125,1.90625,1.0,739.0,20190721_104117_104
33,-35.398865,-55.451965,21.472168,-0.09805298,4.015442,9.285309,0.12641907,0.0059814453,-0.13549805,42.421875,-18.625,2.0,1.0,739.0,20190721_104117_125
34,-34.384155,-54.73938,20.739746,0.07673645,3.984314,9.498398,0.109375,0.08908081,-0.08117676,42.640625,-18.84375,2.09375,1.0,739.0,20190721_104117_145
35,-35.0708,-53.242493,20.82367,0.28741455,3.7927856,9.804855,0.09553528,0.17323303,-0.03111267,42.859375,-19.03125,2.140625,1.0,739.0,20190721_104117_165
36,-34.321594,-54.01001,20.726013,0.45262146,3.584488,10.123276,0.108306885,0.2371521,-0.030044556,43.015625,-19.1875,2.09375,1.0,739.0,20190721_104117_185
37,-33.69751,-54.65393,21.839905,0.5819092,3.3785858,10.231018,0.14666748,0.23394775,-0.072647095,43.109375,-19.3125,1.96875,1.0,739.0,20190721_104117_205
38,-34.49707,-54.463196,20.269775,0.6680908,3.2205658,9.967651,0.14453125,0.14979553,-0.13124084,43.109375,-19.421875,1.78125,1.0,739.0,20190721_104117_226
39,-35.150146,-55.70984,21.795654,0.7949829,3.0577545,9.795273,0.028411865,0.072021484,-0.15254211,43.109375,-19.484375,1.671875,1.0,739.0,20190721_104117_246
40,-34.422302,-53.598022,22.389221,1.0894775,2.7752533,9.986816,-0.11433411,0.072021484,-0.14935303,43.171875,-19.796875,1.125,1.0,739.0,20190721_104117_265
41,-33.78601,-54.09546,23.194885,1.4222717,2.4328766,10.262146,-0.13137817,0.118896484,-0.19195557,43.171875,-19.796875,1.125,1.0,739.0,20190721_104117_285
42,-34.111023,-54.714966,23.042297,1.4150848,2.2221832,10.152008,0.008178711,0.16577148,-0.3240509,43.3125,-19.921875,0.953125,1.0,739.0,20190721_104117_305
43,-34.222412,-54.43268,21.351624,1.0080719,2.2533112,9.416992,0.18501282,0.118896484,-0.49449158,43.46875,-19.890625,0.8125,1.0,739.0,20190721_104117_325
44,-31.93512,-54.71649,22.686768,0.5340271,2.4400635,8.535919,0.24786377,-0.025970459,-0.5893097,43.625,-19.75,0.65625,1.0,739.0,20190721_104117_345
