frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-36.68976,-57.78351,21.315002,1.103836,3.419281,9.148834,-0.024841309,0.10292053,-0.04283142,26.84375,-21.5,0.421875,1.0,726.0,20190721_104029_361
2,-36.235046,-55.69763,19.760132,0.6058502,3.3857727,8.744217,0.01776123,0.0027923584,-0.020462036,26.59375,-21.234375,0.140625,1.0,726.0,20190721_104029_420
3,-35.72235,-56.059265,18.876648,0.67048645,3.3737946,8.823227,-0.0014038086,0.01663208,-0.011932373,23.71875,-20.359375,5.484375,1.0,726.0,20190721_104029_429
4,-34.43451,-55.319214,19.989014,0.7327423,3.3259125,8.921387,-0.003540039,0.017700195,-0.011932373,23.71875,-20.359375,5.484375,1.0,726.0,20190721_104029_450
5,-34.709167,-55.352783,19.67163,0.6848602,3.2852173,8.868713,0.011367798,0.0017242432,-0.030044556,23.71875,-20.359375,5.484375,1.0,726.0,20190721_104029_470
6,-33.83484,-56.248474,19.734192,0.6058502,3.3067627,8.775345,0.009246826,-0.009994507,-0.04069519,23.71875,-20.359375,5.484375,1.0,726.0,20190721_104029_490
7,-35.360718,-56.593323,19.822693,0.49092102,3.3211212,8.823227,-0.009933472,0.036880493,-0.03111267,23.734375,-20.359375,5.4375,1.0,726.0,20190721_104029_513
8,-34.609985,-55.77545,20.297241,0.50289917,3.359436,8.868713,-0.0046081543,0.047531128,-0.007675171,23.734375,-20.359375,5.4375,1.0,726.0,20190721_104029_531
9,-35.21118,-56.42395,18.910217,0.46458435,3.39534,8.866318,-0.0067443848,0.029418945,0.011505127,23.78125,-20.375,5.4375,1.0,726.0,20190721_104029_550
10,-36.57379,-56.45752,18.693542,0.38319397,3.3761902,8.902237,-0.035491943,0.034744263,0.05091858,23.828125,-20.390625,5.40625,1.0,726.0,20190721_104029_573
11,-36.660767,-55.89447,19.28711,0.39994812,3.311554,8.959702,-0.046157837,0.034744263,0.09033203,23.84375,-20.375,5.34375,1.0,726.0,20190721_104029_593
12,-35.221863,-54.986572,19.485474,0.50050354,3.2516937,8.95491,-0.047210693,0.029418945,0.1031189,23.828125,-20.375,5.3125,1.0,726.0,20190721_104029_611
13,-34.30786,-55.438232,18.470764,0.58670044,3.2349396,8.986038,-0.04508972,0.008117676,0.096725464,23.796875,-20.359375,5.28125,1.0,726.0,20190721_104029_631
14,-35.697937,-55.773926,20.39795,0.6944275,3.2684479,9.160812,-0.026977539,0.01876831,0.08287048,23.71875,-20.296875,5.28125,1.0,726.0,20190721_104029_652
15,-35.51178,-56.75659,19.667053,0.7686615,3.2947845,9.165604,0.028411865,0.0070495605,0.0605011,23.609375,-20.234375,5.28125,1.0,726.0,20190721_104029_672
16,-35.121155,-55.39856,18.125916,0.78541565,3.2636566,8.97406,0.063568115,0.03048706,0.04559326,23.484375,-20.171875,5.296875,1.0,726.0,20190721_104029_693
17,-35.17456,-55.99823,21.191406,0.6896515,3.3307037,8.835205,0.051849365,0.035812378,0.026412964,23.375,-20.109375,5.328125,1.0,726.0,20190721_104029_713
18,-35.972595,-55.80139,18.553162,0.58909607,3.4288635,8.81366,0.009246826,0.008117676,0.021087646,23.296875,-20.09375,5.34375,1.0,726.0,20190721_104029_730
19,-36.460876,-55.152893,20.498657,0.55796814,3.4767456,8.899841,-0.02911377,0.0038452148,0.054107666,23.1875,-20.171875,5.34375,1.0,726.0,20190721_104029_750
20,-34.484863,-55.9021,20.00122,0.6752777,3.4839325,8.911819,-0.031234741,0.015563965,0.09458923,23.15625,-20.234375,5.3125,1.0,726.0,20190721_104029_772
21,-36.47461,-56.878662,18.86139,0.81414795,3.4168854,8.890274,-0.024841309,0.06350708,0.11483765,23.125,-20.25,5.3125,1.0,726.0,20190721_104029_792
