frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-31.907654,-54.408264,19.476318,0.7902069,3.5318146,8.909424,-0.084503174,0.13807678,-0.009796143,43.859375,-23.703125,-0.5,1.0,758.0,20190721_104202_007
2,-31.985474,-55.293274,21.325684,0.6848602,3.498291,8.55748,0.098724365,-0.00680542,0.018966675,43.875,-23.640625,-1.25,1.0,759.0,20190721_104202_068
3,-31.396484,-54.785156,21.798706,0.63697815,3.55336,8.614929,0.038009644,-0.04408264,0.007247925,20.734375,-20.234375,2.84375,1.0,759.0,20190721_104202_081
4,-33.135986,-56.019592,20.983887,0.48614502,3.5940704,8.782532,-0.021652222,-0.10054016,0.007247925,20.734375,-20.234375,2.84375,1.0,759.0,20190721_104202_100
5,-33.71277,-56.391907,22.79663,0.4262848,3.5940704,8.804077,-0.0014038086,-0.09414673,0.023223877,20.734375,-20.234375,2.84375,1.0,759.0,20190721_104202_120
6,-32.460022,-54.49524,22.3526,0.5076904,3.541397,8.63887,0.026290894,-0.020645142,0.049850464,20.734375,-20.234375,2.84375,1.0,759.0,20190721_104202_139
7,-32.685852,-55.529785,21.450806,0.62020874,3.4887238,8.535919,0.028411865,0.029418945,0.04345703,20.75,-20.234375,2.90625,1.0,759.0,20190721_104202_160
8,-32.810974,-55.40619,22.357178,0.6848602,3.5246277,8.55986,0.009246826,0.047531128,0.036010742,20.75,-20.21875,3.03125,1.0,759.0,20190721_104202_179
9,-32.409668,-55.490112,20.700073,0.6848602,3.5485687,8.605362,-0.016326904,0.056045532,0.02961731,20.71875,-20.234375,3.109375,1.0,759.0,20190721_104202_200
10,-31.608582,-54.092407,21.772766,0.5771179,3.5916748,8.763367,-0.037628174,0.06350708,0.01789856,20.671875,-20.25,3.125,1.0,759.0,20190721_104202_220
11,-32.347107,-56.344604,20.11261,0.4550171,3.6515198,8.923782,-0.034439087,0.06564331,0.036010742,20.609375,-20.28125,3.109375,1.0,759.0,20190721_104202_240
12,-32.800293,-56.843567,21.476746,0.4550171,3.6611023,8.964493,-0.032302856,0.01876831,0.07009888,20.5625,-20.28125,3.0625,1.0,759.0,20190721_104202_260
13,-32.510376,-55.073547,21.295166,0.58670044,3.6587067,8.952515,-0.03656006,-0.033432007,0.098861694,20.546875,-20.265625,3.046875,1.0,759.0,20190721_104202_280
14,-32.447815,-55.929565,21.012878,0.6752777,3.6060333,8.911819,-0.057876587,-0.05154419,0.10951233,20.515625,-20.21875,2.984375,1.0,759.0,20190721_104202_300
15,-31.959534,-55.00183,21.31958,0.6633148,3.5246277,9.041107,-0.05253601,-0.060058594,0.10205078,20.46875,-20.1875,2.921875,1.0,759.0,20190721_104202_320
16,-33.8974,-55.393982,20.321655,0.6561279,3.522232,9.024338,-0.009933472,-0.021713257,0.085006714,20.28125,-20.09375,2.984375,1.0,759.0,20190721_104202_340
17,-33.42285,-54.62036,22.309875,0.5771179,3.498291,8.890274,0.025222778,0.014511108,0.07009888,20.171875,-20.03125,3.078125,1.0,759.0,20190721_104202_359
18,-32.232666,-55.029297,19.781494,0.5052948,3.517456,8.792099,0.015640259,0.03793335,0.07221985,20.0625,-19.953125,3.1875,1.0,759.0,20190721_104202_380
19,-31.484985,-55.802917,21.055603,0.3568573,3.4863281,8.880692,-0.007797241,0.01876831,0.065826416,19.96875,-19.9375,3.25,1.0,759.0,20190721_104202_401
20,-33.35724,-53.87726,19.39392,0.25630188,3.5270233,8.883087,0.0028533936,-0.011062622,0.061569214,19.890625,-19.953125,3.265625,1.0,759.0,20190721_104202_419
21,-33.572388,-54.777527,20.932007,0.08630371,3.608429,8.828018,0.015640259,0.0059814453,0.05091858,19.796875,-19.96875,3.265625,1.0,759.0,20190721_104202_439
22,-32.53479,-55.36194,20.53833,-0.07888794,3.6994019,8.751404,0.0017852783,0.04006958,0.07861328,19.71875,-19.953125,3.265625,1.0,759.0,20190721_104202_460
23,-32.209778,-54.753113,22.67456,-0.10044861,3.6515198,8.792099,-0.031234741,0.08480835,0.13188171,19.640625,-19.953125,3.296875,1.0,759.0,20190721_104202_480
24,-32.53479,-55.366516,21.606445,-0.02861023,3.625183,8.825623,-0.05253601,0.123168945,0.15957642,19.578125,-19.96875,3.3125,1.0,759.0,20190721_104202_500
25,-33.29773,-54.745483,21.707153,-0.07411194,3.5940704,8.885483,-0.065322876,0.10824585,0.16171265,19.5,-19.96875,3.296875,1.0,759.0,20190721_104202_519
26,-32.684326,-55.525208,20.687866,-0.019042969,3.577301,8.770554,-0.061065674,0.057113647,0.16171265,19.34375,-19.921875,3.265625,1.0,759.0,20190721_104202_541
27,-33.462524,-56.6391,20.98236,0.11743164,3.6180115,8.528748,-0.086639404,0.057113647,0.15211487,19.140625,-19.859375,3.203125,1.0,759.0,20190721_104202_559
28,-32.670593,-53.79181,20.49408,0.13658142,3.6539154,8.452133,-0.17611694,0.11463928,0.1308136,18.9375,-19.78125,3.140625,1.0,759.0,20190721_104202_581
29,-34.86023,-55.52063,20.27893,0.21080017,3.7472992,8.631699,-0.2240448,0.13487244,0.1116333,18.734375,-19.703125,3.140625,1.0,759.0,20190721_104202_600
30,-33.8974,-55.393982,20.321655,0.18685913,3.8765717,8.9357605,-0.23257446,0.17002869,0.07115173,18.5625,-19.59375,3.140625,1.0,759.0,20190721_104202_620
