frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-36.372375,-54.13208,20.47882,0.8404846,4.2955627,8.574234,-0.13137817,0.034744263,0.17236328,37.734375,-26.25,-0.015625,1.0,809.0,20190721_104410_383
2,-36.586,-55.030823,21.406555,0.70880127,4.2788086,8.665207,-0.10261536,0.0017242432,0.03387451,37.28125,-26.328125,-0.03125,1.0,809.0,20190721_104410_445
3,-35.284424,-54.13513,20.683289,0.7399292,4.264435,8.679581,-0.09941101,-0.0046691895,0.032806396,12.609375,-26.53125,5.15625,1.0,809.0,20190721_104410_450
4,-36.03363,-53.372192,21.54541,0.8093567,4.183029,8.729858,-0.065322876,-0.031295776,0.014694214,12.609375,-26.53125,5.15625,1.0,809.0,20190721_104410_469
5,-36.14807,-54.681396,20.80841,0.9314575,4.221344,8.54071,-0.007797241,-0.09628296,-0.016189575,12.609375,-26.53125,5.15625,1.0,809.0,20190721_104410_489
6,-35.072327,-54.82483,19.94629,0.96977234,4.317108,8.219894,0.014572144,-0.12397766,-0.02684021,12.609375,-26.53125,5.15625,1.0,809.0,20190721_104410_510
7,-36.497498,-54.005432,20.622253,1.0056763,4.3578186,8.04512,-0.03337097,-0.07498169,8.544922E-4,12.59375,-26.4375,5.1875,1.0,809.0,20190721_104410_529
8,-35.70862,-54.32892,19.4458,1.0320129,4.3338776,8.140884,-0.121780396,0.020889282,0.04345703,12.625,-26.40625,5.25,1.0,809.0,20190721_104410_550
9,-35.77423,-55.067444,21.29364,1.1086273,4.300354,8.437759,-0.2155304,0.06990051,0.07861328,12.6875,-26.421875,5.359375,1.0,809.0,20190721_104410_570
10,-35.70862,-54.32892,19.4458,1.3193207,4.185425,8.756195,-0.2347107,0.036880493,0.089263916,12.734375,-26.40625,5.453125,1.0,809.0,20190721_104410_590
11,-35.43396,-54.293823,19.763184,1.4390259,4.12558,8.758591,-0.17718506,-0.07284546,0.042388916,12.703125,-26.3125,5.484375,1.0,809.0,20190721_104410_611
12,-36.146545,-54.670715,18.670654,1.395935,4.264435,8.49762,-0.08024597,-0.22091675,-0.06199646,12.625,-26.09375,5.453125,1.0,809.0,20190721_104410_630
