frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-36.705017,-53.285217,15.557861,0.328125,3.225357,8.720276,-0.063201904,0.083740234,0.004043579,12.9375,-22.53125,0.609375,1.0,782.0,20190721_104311_651
2,-35.954285,-52.471924,16.79535,0.23713684,3.201416,8.760986,-0.07597351,0.07522583,-0.0012817383,36.265625,-20.0,1.203125,1.0,782.0,20190721_104311_663
3,-36.805725,-52.871704,16.764832,0.19165039,3.201416,8.799286,-0.09196472,0.052856445,-0.013000488,36.265625,-20.0,1.203125,1.0,782.0,20190721_104311_680
4,-36.52954,-52.83661,16.777039,0.009689331,3.201416,8.890274,-0.13243103,0.07948303,-0.02897644,36.265625,-20.0,1.203125,1.0,782.0,20190721_104311_701
5,-36.43036,-53.253174,16.18042,-0.2273407,3.2229614,9.189545,-0.17823792,0.1434021,-0.03855896,36.265625,-20.0,1.203125,1.0,782.0,20190721_104311_722
6,-35.690308,-52.574158,15.130615,-0.39971924,3.2445068,9.457687,-0.16119385,0.175354,-0.030044556,36.265625,-19.90625,1.125,1.0,782.0,20190721_104311_741
7,-34.98993,-52.3407,15.768433,-0.42845154,3.2157745,9.299683,-0.10473633,0.121032715,-0.008743286,36.265625,-19.78125,1.0625,1.0,782.0,20190721_104311_762
8,-34.654236,-53.164673,16.11023,-0.41407776,3.2397156,8.880692,-0.098342896,0.009185791,-0.011932373,36.28125,-19.609375,0.9375,1.0,782.0,20190721_104311_782
9,-35.716248,-52.868652,15.594482,-0.51223755,3.340271,8.847168,-0.13137817,-0.035568237,-0.021514893,36.296875,-19.40625,0.75,1.0,782.0,20190721_104311_802
10,-35.74066,-53.155518,14.8376465,-0.5098419,3.438446,8.933365,-0.11645508,0.045394897,0.023223877,36.28125,-19.140625,0.484375,1.0,782.0,20190721_104311_824
11,-35.77881,-53.593445,14.846802,-0.40211487,3.4240723,8.806473,-0.065322876,0.1242218,0.06903076,36.3125,-19.015625,0.5,1.0,782.0,20190721_104311_848
12,-35.266113,-52.37732,15.756226,-0.27999878,3.3570404,8.552689,-0.07171631,0.11782837,0.09458923,36.3125,-19.015625,0.5,1.0,782.0,20190721_104311_863
13,-35.62622,-51.84021,14.352417,-0.17944336,3.347458,8.581421,-0.13989258,0.07096863,0.09991455,36.328125,-18.875,0.5,1.0,782.0,20190721_104311_881
14,-36.502075,-52.53296,14.633179,-0.18423462,3.3737946,8.859146,-0.16972351,0.041137695,0.08607483,36.265625,-18.75,0.4375,1.0,782.0,20190721_104311_902
15,-34.95331,-53.48053,13.813782,-0.23451233,3.4240723,9.05307,-0.10900879,0.064575195,0.075424194,36.015625,-18.578125,0.25,1.0,782.0,20190721_104311_924
16,-36.128235,-52.91748,14.813232,-0.34225464,3.4815369,8.887878,-0.047210693,0.05178833,0.059432983,36.015625,-18.578125,0.25,1.0,782.0,20190721_104311_944
17,-36.74164,-53.71399,13.734436,-0.54096985,3.5749054,8.665207,-0.05041504,0.009185791,0.054107666,35.796875,-18.21875,0.203125,1.0,782.0,20190721_104311_962
18,-35.377502,-53.68042,13.951111,-0.65589905,3.6658936,8.653244,-0.07597351,-0.04408264,0.08607483,35.703125,-18.109375,0.15625,1.0,782.0,20190721_104311_982
19,-37.34131,-52.786255,14.294434,-0.5720978,3.7017975,8.660431,-0.08343506,-0.07923889,0.14892578,35.625,-18.0625,0.125,1.0,782.0,20190721_104312_003
20,-36.47766,-52.241516,14.627075,-0.35661316,3.6778564,8.581421,-0.07917786,-0.08030701,0.21603394,35.5625,-17.984375,0.140625,1.0,782.0,20190721_104312_023
21,-37.615967,-52.819824,13.977051,-0.0549469,3.5940704,8.55986,-0.09089661,-0.059005737,0.23947144,35.46875,-17.90625,0.234375,1.0,782.0,20190721_104312_042
22,-36.528015,-52.822876,14.181519,0.13418579,3.5868835,8.751404,-0.08557129,-0.035568237,0.2138977,35.46875,-17.90625,0.234375,1.0,782.0,20190721_104312_062
23,-37.091064,-53.04413,14.770508,0.19644165,3.625183,8.847168,-0.05467224,-0.04408264,0.18301392,35.1875,-17.765625,0.453125,1.0,782.0,20190721_104312_082
24,-37.376404,-51.638794,14.570618,0.22996521,3.6443481,8.811264,-0.03869629,-0.06326294,0.16064453,34.9375,-17.65625,0.609375,1.0,782.0,20190721_104312_102
25,-37.11548,-53.334045,14.318848,0.25868225,3.6587067,8.957306,-0.05041504,-0.06645203,0.139328,34.671875,-17.5625,0.734375,1.0,782.0,20190721_104312_123
26,-36.950684,-51.435852,13.975525,0.23474121,3.6706848,9.215881,-0.037628174,-0.05154419,0.110580444,34.46875,-17.484375,0.84375,1.0,782.0,20190721_104312_143
27,-38.127136,-52.453613,13.790894,0.2131958,3.723343,9.280518,0.011367798,-0.08242798,0.07647705,34.28125,-17.421875,0.953125,1.0,782.0,20190721_104312_162
28,-37.190247,-52.62451,14.907837,0.16531372,3.7377167,9.218277,0.042266846,-0.14527893,0.054107666,34.125,-17.375,1.078125,1.0,782.0,20190721_104312_183
29,-37.94098,-53.437805,13.671875,0.20840454,3.7927856,9.220673,0.06996155,-0.20280457,0.030685425,34.0,-17.3125,1.1875,1.0,782.0,20190721_104312_203
30,-37.8006,-51.831055,13.180542,0.2634735,3.8478546,9.218277,0.1136322,-0.20812988,0.004043579,33.90625,-17.3125,1.28125,1.0,782.0,20190721_104312_223
31,-37.667847,-53.411865,15.515137,0.28501892,3.8478546,9.30925,0.15518188,-0.1346283,-0.0140686035,33.859375,-17.34375,1.4375,1.0,782.0,20190721_104312_242
32,-37.490845,-52.949524,14.138794,0.31854248,3.8789673,9.3906555,0.20205688,-0.059005737,-0.021514893,33.84375,-17.40625,1.65625,1.0,782.0,20190721_104312_262
33,-38.179016,-53.042603,14.871216,0.28024292,3.838272,9.426575,0.20845032,-0.021713257,-0.021514893,33.875,-17.515625,1.890625,1.0,782.0,20190721_104312_282
34,-36.854553,-53.445435,14.639282,0.33769226,3.8047485,9.680359,0.17222595,0.015563965,-0.008743286,33.90625,-17.6875,2.0625,1.0,782.0,20190721_104312_303
35,-37.467957,-52.668762,16.423035,0.3784027,3.6946259,9.905411,0.16157532,0.06776428,0.0093688965,33.9375,-17.890625,2.15625,1.0,782.0,20190721_104312_323
36,-37.36725,-53.085327,15.826416,0.36402893,3.467163,10.096939,0.15731812,0.12742615,0.036010742,33.953125,-18.140625,2.1875,1.0,782.0,20190721_104312_342
37,-36.679077,-52.99225,15.093994,0.4190979,3.1391602,10.312424,0.15411377,0.1710968,0.03387451,33.96875,-18.34375,2.171875,1.0,782.0,20190721_104312_363
38,-38.230896,-53.630066,15.646362,0.47416687,2.9356537,10.448898,0.15731812,0.17642212,-0.01725769,33.953125,-18.53125,2.125,1.0,782.0,20190721_104312_383
39,-37.516785,-53.242493,14.602661,0.28741455,2.8686218,10.487198,0.13494873,0.17002869,-0.08543396,33.875,-18.796875,1.953125,1.0,782.0,20190721_104312_402
40,-37.76703,-52.993774,15.9591675,0.03363037,2.7680664,10.537476,0.06037903,0.21157837,-0.09289551,33.796875,-18.96875,1.78125,1.0,782.0,20190721_104312_422
41,-37.704468,-53.845215,14.761353,-0.04537964,2.6842651,10.59494,0.0390625,0.1987915,-0.08224487,33.796875,-19.140625,1.578125,1.0,782.0,20190721_104312_442
42,-37.590027,-52.529907,14.276123,0.07434082,2.5980682,10.185532,0.10298157,0.09866333,-0.086502075,33.859375,-19.296875,1.359375,1.0,782.0,20190721_104312_464
43,-37.716675,-52.40631,15.184021,0.2634735,2.4951172,9.531906,0.16157532,-0.019577026,-0.1003418,33.921875,-19.359375,1.09375,1.0,782.0,20190721_104312_483
44,-37.27722,-52.056885,14.280701,0.49092102,2.4592133,8.883087,0.21696472,-0.097351074,-0.1237793,33.984375,-19.40625,0.859375,1.0,782.0,20190721_104312_503
45,-37.002563,-52.023315,14.750671,0.7303467,2.5549774,8.318054,0.29153442,-0.12185669,-0.1663971,34.0625,-19.546875,0.75,1.0,782.0,20190721_104312_523
46,-36.628723,-52.407837,15.081787,0.6609192,2.648346,7.705139,0.37675476,-0.07710266,-0.21006775,34.1875,-19.734375,0.734375,1.0,782.0,20190721_104312_543
47,-36.85608,-53.459167,17.539978,0.55796814,2.7991943,7.001236,0.3746338,-0.033432007,-0.16532898,34.34375,-20.0,0.796875,1.0,782.0,20190721_104312_563
48,-36.079407,-52.345276,16.938782,0.7423248,2.9117126,6.7977295,0.22549438,0.07736206,-0.025787354,34.34375,-20.0,0.796875,1.0,782.0,20190721_104312_584
49,-36.317444,-51.948547,17.985535,1.1804504,2.8566437,7.1448975,0.06037903,0.21476746,0.1350708,34.5625,-20.34375,0.84375,1.0,782.0,20190721_104312_604
50,-35.928345,-52.17743,16.026306,1.6545105,2.6459656,7.5255737,-0.061065674,0.2925415,0.24905396,34.8125,-20.78125,0.84375,1.0,782.0,20190721_104312_623
51,-37.43286,-53.82538,17.979431,1.9082947,2.3778076,7.9517365,-0.1878357,0.28189087,0.2756958,34.96875,-21.421875,0.703125,1.0,782.0,20190721_104312_643
52,-37.591553,-52.537537,15.803528,1.9513855,2.2078247,8.588593,-0.28370667,0.2371521,0.22561646,34.75,-21.46875,0.515625,1.0,782.0,20190721_104312_662
53,-36.04126,-51.9104,17.38739,1.8771667,2.2269745,9.079407,-0.30393982,0.12954712,0.1499939,34.578125,-21.453125,0.421875,1.0,782.0,20190721_104312_682
54,-36.779785,-52.58484,17.521667,1.7861938,2.4400635,9.225449,-0.27624512,-0.022781372,0.05517578,34.03125,-21.15625,0.140625,1.0,782.0,20190721_104312_702
55,-38.156128,-52.76184,17.002869,1.6497192,2.6028595,8.89505,-0.22511292,-0.24328613,-0.043884277,33.859375,-21.0,0.046875,1.0,782.0,20190721_104312_724
56,-36.203003,-52.207947,14.944458,1.5970459,2.849472,8.471283,-0.22192383,-0.35301208,-0.12591553,33.625,-20.65625,-0.0625,1.0,782.0,20190721_104312_742
57,-35.88867,-51.730347,14.186096,1.4797363,3.1846619,8.315659,-0.23789978,-0.28590393,-0.19515991,33.515625,-20.328125,-0.0625,1.0,782.0,20190721_104312_763
58,-36.7157,-51.849365,16.438293,1.2905884,3.5390015,8.373123,-0.2197876,-0.1538086,-0.23138428,33.546875,-20.046875,0.09375,1.0,782.0,20190721_104312_783
59,-35.549927,-50.964355,14.030457,1.075119,3.7137756,8.39946,-0.20062256,-0.043014526,-0.2217865,33.71875,-19.796875,0.40625,1.0,782.0,20190721_104312_804
60,-37.16736,-52.3407,16.429138,0.8907623,3.7089844,8.492828,-0.22724915,0.05178833,-0.15467834,33.984375,-19.546875,0.6875,1.0,782.0,20190721_104312_822
61,-34.77478,-51.438904,14.077759,0.9362488,3.5892792,8.942932,-0.28796387,0.11250305,-0.08329773,34.28125,-19.28125,0.828125,1.0,782.0,20190721_104312_842
62,-37.001038,-52.017212,13.68103,1.0774994,3.3737946,9.414597,-0.27944946,0.14233398,-0.057739258,34.5625,-19.046875,0.828125,1.0,782.0,20190721_104312_862
63,-35.476685,-51.678467,14.66217,1.134964,3.1559296,9.721054,-0.2155304,0.17216492,-0.072647095,34.765625,-18.8125,0.734375,1.0,782.0,20190721_104312_883
64,-36.164856,-51.77002,14.936829,1.1134186,3.0840912,9.756973,-0.119659424,0.14126587,-0.11845398,34.875,-18.515625,0.59375,1.0,782.0,20190721_104312_902
65,-35.476685,-51.68152,15.272522,0.97454834,3.1487427,9.618103,-0.025909424,0.050720215,-0.1749115,34.921875,-18.171875,0.4375,1.0,782.0,20190721_104312_921
66,-35.450745,-51.38855,14.961243,0.79977417,3.4001312,9.416992,0.045455933,-0.013198853,-0.20581055,34.96875,-17.90625,0.234375,1.0,782.0,20190721_104312_943
67,-35.240173,-52.085876,15.751648,0.6058502,3.6587067,9.292496,0.09446716,-0.009994507,-0.17704773,35.0625,-17.71875,0.015625,1.0,782.0,20190721_104312_962
68,-33.763123,-50.74005,15.940857,0.59866333,3.7808075,9.297287,0.12962341,0.039001465,-0.084365845,35.21875,-17.65625,-0.125,1.0,782.0,20190721_104312_983
69,-35.07538,-51.768494,14.376831,0.6537323,3.6491241,9.373901,0.15518188,0.10612488,0.008300781,35.4375,-17.671875,-0.203125,1.0,782.0,20190721_104313_002
70,-36.013794,-51.602173,14.329529,0.79977417,3.5030823,9.419388,0.16690063,0.10505676,0.0605011,35.671875,-17.765625,-0.25,1.0,782.0,20190721_104313_023
71,-34.61151,-49.549866,15.567017,0.8907623,3.462387,9.443329,0.17008972,0.046463013,0.05517578,35.796875,-17.890625,-0.3125,1.0,782.0,20190721_104313_043
72,-34.840393,-52.174377,15.161133,0.8045654,3.4887238,9.436142,0.16690063,0.019836426,0.03919983,35.8125,-18.0625,-0.40625,1.0,782.0,20190721_104313_062
73,-35.17456,-51.34735,13.905334,0.6752777,3.5030823,9.48642,0.13813782,0.0017242432,0.04559326,35.703125,-18.34375,-0.546875,1.0,782.0,20190721_104313_082
74,-35.125732,-50.767517,14.656067,0.69921875,3.55336,9.531906,0.09765625,-0.002532959,0.056243896,35.640625,-18.546875,-0.578125,1.0,782.0,20190721_104313_103
75,-35.325623,-51.515198,14.81781,0.6321869,3.6539154,9.493607,0.03694153,-0.0057373047,0.06263733,35.59375,-18.734375,-0.578125,1.0,782.0,20190721_104313_123
76,-34.962463,-50.457764,14.808655,0.40953064,3.498291,9.589371,-0.12498474,-0.03982544,0.11909485,35.53125,-18.890625,-0.5625,1.0,782.0,20190721_104313_142
77,-34.751892,-51.15509,15.59906,0.35925293,3.2062073,10.401001,-0.28903198,-0.057937622,0.16809082,35.46875,-18.984375,-0.546875,1.0,782.0,20190721_104313_162
78,-36.325073,-50.494385,15.202332,0.23234558,2.9452362,11.258133,-0.2666626,-0.01638794,0.15531921,35.34375,-18.953125,-0.46875,1.0,782.0,20190721_104313_182
79,-35.00061,-50.89264,14.360046,-0.05015564,2.818344,11.387421,-0.096221924,-0.0014801025,0.11376953,35.265625,-18.84375,-0.40625,1.0,782.0,20190721_104313_202
80,-35.025024,-51.179504,13.296509,-0.23451233,2.8470764,10.956467,0.06463623,-0.00680542,0.1073761,35.078125,-18.515625,-0.296875,1.0,782.0,20190721_104313_223
81,-36.264038,-51.34735,14.311218,-0.28718567,2.7632751,10.319611,0.16583252,-0.05580139,0.14678955,34.90625,-18.234375,-0.234375,1.0,782.0,20190721_104313_243
82,-36.088562,-50.89569,15.223694,-0.31352234,2.5477905,9.665985,0.22549438,-0.16764832,0.19473267,34.78125,-18.140625,-0.1875,1.0,782.0,20190721_104313_262
83,-36.976624,-51.731873,15.049744,-0.3542328,2.2628937,8.976456,0.27555847,-0.29441833,0.2245636,34.65625,-18.234375,-0.140625,1.0,782.0,20190721_104313_282
84,-36.17401,-50.32196,13.679504,-0.38534546,2.0498047,8.318054,0.29153442,-0.37005615,0.26397705,34.5,-18.4375,0.0,1.0,782.0,20190721_104313_303
85,-35.899353,-50.291443,14.759827,-0.22494507,1.8295288,7.8056946,0.24572754,-0.37005615,0.30871582,34.296875,-18.703125,0.265625,1.0,782.0,20190721_104313_322
86,-36.83777,-50.125122,14.712524,0.10545349,1.6810913,7.523178,0.1839447,-0.37644958,0.29699707,34.09375,-19.015625,0.6875,1.0,782.0,20190721_104313_342
87,-37.475586,-51.216125,14.250183,0.35925293,1.7170105,7.2837524,0.110443115,-0.2805786,0.20857239,33.859375,-19.34375,1.1875,1.0,782.0,20190721_104313_361
88,-37.475586,-51.2146,13.945007,0.10784912,1.8439026,7.2646027,-0.031234741,-0.062194824,0.085006714,33.578125,-19.59375,1.703125,1.0,782.0,20190721_104313_381
89,-36.924744,-51.141357,13.664246,-0.339859,2.0737457,7.8727264,-0.20381165,0.19239807,0.0370636,33.328125,-19.78125,2.203125,1.0,782.0,20190721_104313_401
90,-36.210632,-49.176025,14.108276,-0.6606903,2.2557068,8.624512,-0.26026917,0.3234253,0.05731201,33.15625,-19.890625,2.5625,1.0,782.0,20190721_104313_422
91,-37.16278,-50.737,13.18512,-0.6008301,2.4664001,8.6436615,-0.22511292,0.1860199,0.07647705,33.09375,-19.875,2.625,1.0,782.0,20190721_104313_443
92,-38.165283,-51.312256,15.440369,-0.4595642,2.7776337,8.387482,-0.23257446,-0.050476074,0.06263733,33.03125,-19.71875,2.53125,1.0,782.0,20190721_104313_462
93,-37.625122,-51.376343,13.331604,-0.4380188,2.9308624,8.306076,-0.25280762,-0.15167236,0.087142944,32.9375,-19.421875,2.234375,1.0,782.0,20190721_104313_481
94,-37.161255,-50.735474,12.879944,-0.1698761,3.0577545,8.397064,-0.21871948,-0.071777344,0.14785767,32.796875,-19.140625,1.984375,1.0,782.0,20190721_104313_502
95,-37.01172,-50.576782,13.798523,0.26107788,3.0649414,8.387482,-0.119659424,0.05178833,0.16703796,32.71875,-18.890625,1.96875,1.0,782.0,20190721_104313_523
96,-37.361145,-49.900818,13.613892,0.38796997,3.1128235,8.018784,-0.051483154,0.085876465,0.12335205,32.671875,-18.609375,2.140625,1.0,782.0,20190721_104313_543
97,-36.523438,-49.642944,13.0355835,0.39994812,3.3211212,7.889496,-0.09089661,0.044326782,0.07221985,32.546875,-18.328125,2.3125,1.0,782.0,20190721_104313_563
98,-36.297607,-50.187683,12.297058,0.35446167,3.55336,8.069061,-0.16333008,-0.024917603,0.059432983,32.359375,-18.140625,2.359375,1.0,782.0,20190721_104313_582
99,-36.888123,-50.71106,15.028381,0.38557434,3.7161713,8.495224,-0.19316101,-0.06326294,0.06263733,32.28125,-18.09375,2.34375,1.0,782.0,20190721_104313_603
100,-37.35962,-49.88861,11.323547,0.44543457,3.7951813,8.765762,-0.1452179,-0.07817078,0.05305481,32.140625,-18.015625,2.296875,1.0,782.0,20190721_104313_621
