frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-38.705444,-52.827454,15.910339,1.2881927,3.2062073,8.983643,-0.12710571,0.07736206,0.28102112,9.640625,-27.15625,-1.15625,1.0,833.0,20190721_104525_560
2,-38.33008,-53.208923,15.478516,1.0176544,3.0577545,8.844772,-0.07171631,0.076293945,0.008300781,8.890625,-27.28125,-1.421875,1.0,833.0,20190721_104525_623
3,-40.405273,-53.623962,15.084839,1.0344086,3.0601501,8.897446,-0.07810974,0.06776428,-0.00340271,8.890625,-27.28125,1.421875,1.0,833.0,20190721_104525_627
4,-38.22937,-53.62091,13.815308,0.9601898,3.0817108,9.045883,-0.065322876,0.06776428,-0.047088623,17.109375,-19.4375,6.5625,1.0,833.0,20190721_104525_648
5,-38.39264,-53.93524,14.730835,0.85723877,3.177475,8.940552,-0.014190674,0.08268738,-0.076919556,17.109375,-19.4375,6.5625,1.0,833.0,20190721_104525_667
6,-38.516235,-52.22473,15.446472,0.71836853,3.2852173,8.624512,0.013504028,0.034744263,-0.1003418,17.125,-19.390625,6.53125,1.0,833.0,20190721_104525_688
7,-37.617493,-52.82898,15.809631,0.59147644,3.4288635,8.322845,-0.021652222,-0.046218872,-0.12059021,17.171875,-19.328125,6.4375,1.0,833.0,20190721_104525_708
8,-37.49237,-52.95868,15.9713745,0.57232666,3.5701141,8.411423,-0.112197876,0.011306763,-0.109939575,17.25,-19.34375,6.328125,1.0,833.0,20190721_104525_728
9,-38.2782,-52.622986,15.010071,0.5555725,3.6132202,8.772949,-0.18037415,0.17002869,-0.08969116,17.296875,-19.34375,6.28125,1.0,833.0,20190721_104525_747
10,-37.156677,-53.782654,16.616821,0.5747223,3.5820923,9.189545,-0.18676758,0.23287964,-0.098220825,17.4375,-19.359375,6.25,1.0,833.0,20190721_104525_767
11,-36.52954,-52.835083,16.471863,0.55796814,3.5366058,9.381073,-0.13882446,0.18281555,-0.13444519,17.578125,-19.296875,6.234375,1.0,833.0,20190721_104525_787
12,-38.630676,-53.54309,16.542053,0.42868042,3.5270233,9.326004,-0.086639404,0.0730896,-0.18344116,17.671875,-19.125,6.078125,1.0,833.0,20190721_104525_809
13,-36.579895,-53.411865,15.261841,0.27305603,3.6467285,9.117722,-0.063201904,-0.020645142,-0.2260437,17.75,-18.921875,5.8125,1.0,833.0,20190721_104525_828
14,-37.091064,-53.04718,15.533447,0.11264038,3.7999573,8.89505,-0.06425476,-0.064331055,-0.21859741,17.859375,-18.75,5.53125,1.0,833.0,20190721_104525_848
