frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-37.242126,-50.057983,19.270325,0.54359436,3.5796967,9.177567,0.08274841,-0.302948,0.11483765,8.6875,-21.078125,2.984375,1.0,907.0,20190721_104756_284
2,-39.2807,-51.618958,18.753052,0.9458313,3.4934998,8.890274,-0.08557129,-0.060058594,-0.065200806,8.578125,-21.25,2.890625,1.0,907.0,20190721_104756_346
3,-37.864685,-49.414062,18.461609,0.97694397,3.4815369,8.897446,-0.08236694,-0.06112671,-0.06413269,21.796875,-21.1875,4.078125,1.0,907.0,20190721_104756_349
4,-36.991882,-50.312805,19.288635,1.079895,3.4695587,8.8567505,-0.07064819,-0.08670044,-0.06732178,21.796875,-21.1875,4.078125,1.0,907.0,20190721_104756_364
5,-38.902283,-48.825073,17.78717,1.1948242,3.3785858,8.686752,-0.05680847,-0.1580658,-0.08543396,21.796875,-21.1875,4.078125,1.0,907.0,20190721_104756_384
6,-38.68103,-50.96588,19.07196,1.4007263,3.4767456,8.55986,-0.063201904,-0.19215393,-0.11206055,21.796875,-21.1875,4.078125,1.0,907.0,20190721_104756_405
7,-38.68103,-52.548218,18.19458,1.3863525,3.5270233,8.456909,-0.06852722,-0.15487671,-0.13977051,21.84375,-21.140625,4.09375,1.0,907.0,20190721_104756_425
8,-37.290955,-50.63629,18.518066,1.3025665,3.584488,8.459305,-0.10473633,-0.057937622,-0.11419678,21.953125,-21.078125,4.1875,1.0,907.0,20190721_104756_445
9,-39.042664,-50.437927,19.346619,1.3672028,3.3929443,8.610138,-0.15374756,-0.04408264,-0.046020508,22.109375,-21.015625,4.34375,1.0,907.0,20190721_104756_464
10,-38.104248,-50.595093,17.868042,1.8771667,3.2780304,8.849564,-0.18463135,-0.06326294,-0.008743286,22.296875,-20.953125,4.484375,1.0,907.0,20190721_104756_484
11,-37.66632,-50.25177,18.339539,2.0687103,3.1080475,8.916595,-0.16226196,-0.11013794,-0.06625366,22.46875,-20.875,4.5625,1.0,907.0,20190721_104756_505
