frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-38.50708,-50.524902,22.122192,0.7614746,3.9436188,8.435364,0.1370697,0.12742615,0.2884674,3.390625,-19.421875,6.203125,1.0,855.0,20190721_104620_673
2,-39.05487,-49.006653,21.295166,0.5364227,3.7472992,8.394669,0.028411865,0.11038208,0.08181763,17.75,-25.59375,4.828125,1.0,855.0,20190721_104620_701
3,-39.13269,-51.46942,21.504211,0.6537323,3.7879944,8.389877,-0.11112976,0.032608032,0.09991455,17.75,-25.59375,4.828125,1.0,855.0,20190721_104620_717
4,-38.331604,-50.06714,21.50879,0.7327423,3.7808075,8.681976,-0.2389679,-0.013198853,0.12548828,17.75,-25.59375,4.828125,1.0,855.0,20190721_104620_738
5,-38.180542,-49.902344,21.359253,0.76387024,3.759262,8.892654,-0.2709198,-0.029174805,0.13400269,17.75,-25.59375,4.828125,1.0,855.0,20190721_104620_757
6,-38.505554,-50.515747,20.289612,0.76387024,3.6419525,9.07222,-0.23789978,-0.05366516,0.10523987,17.703125,-25.53125,4.828125,1.0,855.0,20190721_104620_778
7,-39.3692,-51.06201,20.414734,0.7878113,3.5366058,9.381073,-0.13670349,-0.027038574,0.06263733,17.578125,-25.296875,4.890625,1.0,855.0,20190721_104620_798
8,-39.292908,-50.18158,19.328308,0.87638855,3.5653381,9.203903,0.038009644,0.032608032,0.008300781,17.4375,-24.984375,4.984375,1.0,855.0,20190721_104620_818
9,-39.105225,-49.588013,21.002197,0.83569336,3.6491241,8.720276,0.12962341,0.083740234,-0.046020508,17.328125,-24.671875,5.078125,1.0,855.0,20190721_104620_839
10,-39.042664,-50.437927,19.346619,0.57232666,3.7281342,8.392273,0.051849365,0.10612488,-0.065200806,17.265625,-24.46875,5.171875,1.0,855.0,20190721_104620_857
11,-38.354492,-50.349426,19.682312,0.43107605,3.7784119,8.555084,-0.07064819,0.00491333,-0.039627075,17.234375,-24.421875,5.15625,1.0,855.0,20190721_104620_877
12,-37.605286,-51.11847,20.04242,0.45022583,3.7712402,8.81366,-0.11112976,-0.07923889,-0.00340271,17.234375,-24.546875,5.09375,1.0,855.0,20190721_104620_897
13,-38.51776,-49.07837,20.864868,0.52923584,3.7999573,8.866318,-0.098342896,-0.076049805,0.02748108,17.28125,-24.65625,4.953125,1.0,855.0,20190721_104620_919
