frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-38.420105,-49.517822,24.69635,1.1876373,4.5589294,8.969269,0.042266846,0.09440613,0.056243896,12.046875,-30.5,4.984375,1.0,881.0,20190721_104707_717
2,-38.208008,-50.201416,22.891235,0.89793396,4.7097626,7.6788025,-0.04295349,-0.0046691895,-0.057739258,11.8125,-30.984375,4.421875,1.0,881.0,20190721_104707_780
3,-36.131287,-49.786377,23.132324,0.76387024,4.7289124,7.9038544,-0.10473633,0.02835083,-0.033233643,13.65625,-25.703125,6.203125,1.0,881.0,20190721_104707_792
4,-37.272644,-50.382996,25.839233,0.79260254,4.707367,8.066666,-0.12710571,0.07841492,0.03387451,13.65625,-25.703125,6.203125,1.0,881.0,20190721_104707_812
5,-39.222717,-50.920105,24.691772,0.88357544,4.549347,8.02356,-0.123916626,0.107177734,0.059432983,13.65625,-25.703125,6.203125,1.0,881.0,20190721_104707_836
6,-37.246704,-50.0885,25.527954,0.8189392,4.54216,8.107361,-0.15907288,0.13594055,0.023223877,13.671875,-25.59375,6.15625,1.0,881.0,20190721_104707_851
7,-38.05847,-50.045776,24.572754,0.60824585,4.530197,8.353958,-0.16758728,0.088012695,0.0029754639,13.625,-25.4375,6.09375,1.0,881.0,20190721_104707_872
8,-37.306213,-49.21875,23.062134,0.6848602,4.5397797,8.409027,-0.16014099,0.06669617,0.025344849,13.53125,-25.28125,6.0,1.0,881.0,20190721_104707_892
9,-36.906433,-49.31488,23.693848,0.7303467,4.513443,8.344391,-0.15800476,0.059249878,0.016830444,13.484375,-25.09375,5.875,1.0,881.0,20190721_104707_912
10,-37.254333,-48.62976,21.981812,0.7231598,4.4655457,8.602966,-0.18463135,0.072021484,0.007247925,13.484375,-25.0,5.828125,1.0,881.0,20190721_104707_932
11,-38.482666,-50.234985,22.421265,0.74710083,4.4080963,8.911819,-0.10687256,0.02835083,-0.022583008,13.453125,-24.8125,5.765625,1.0,881.0,20190721_104707_953
12,-37.93335,-50.167847,23.208618,0.7542877,4.4128876,8.610138,0.02947998,-0.036621094,-0.056671143,13.421875,-24.640625,5.71875,1.0,881.0,20190721_104707_974
13,-37.61902,-49.694824,23.364258,0.6345825,4.5637207,8.14328,0.025222778,-0.034500122,-0.06625366,13.40625,-24.4375,5.65625,1.0,881.0,20190721_104707_994
14,-37.106323,-48.47412,23.664856,0.4262848,4.6259613,8.124115,-0.088760376,-0.047286987,-0.051345825,13.40625,-24.265625,5.59375,1.0,881.0,20190721_104708_016
15,-36.880493,-49.01581,22.467041,0.3496704,4.585266,8.521561,-0.1729126,-0.03982544,-0.024719238,13.46875,-24.25,5.59375,1.0,881.0,20190721_104708_034
16,-38.14392,-49.47357,23.181152,0.34487915,4.4679413,8.859146,-0.15374756,0.0070495605,-0.025787354,13.546875,-24.3125,5.59375,1.0,881.0,20190721_104708_051
17,-37.016296,-47.450256,22.880554,0.24911499,4.386551,8.756195,-0.063201904,0.044326782,-0.06413269,13.625,-24.265625,5.609375,1.0,881.0,20190721_104708_072
18,-37.34436,-49.66278,24.139404,-0.08607483,4.410492,8.368332,-0.021652222,0.060317993,-0.11740112,13.6875,-24.109375,5.640625,1.0,881.0,20190721_104708_092
19,-36.793518,-49.583435,22.790527,-0.66308594,4.712158,7.9948425,-0.06745911,0.029418945,-0.13337708,13.71875,-23.90625,5.640625,1.0,881.0,20190721_104708_114
20,-37.306213,-49.220276,23.36731,-1.0485382,4.8677826,7.839218,-0.15054321,-0.07710266,-0.033233643,13.765625,-23.8125,5.59375,1.0,881.0,20190721_104708_132
21,-36.306763,-50.24414,23.287964,-0.8594055,4.8007355,7.657257,-0.21766663,-0.17831421,0.12123108,13.875,-23.78125,5.484375,1.0,881.0,20190721_104708_152
22,-37.58087,-49.250793,22.286987,-0.50027466,4.690613,7.621338,-0.30288696,-0.18896484,0.21070862,14.015625,-23.75,5.375,1.0,881.0,20190721_104708_171
23,-37.61902,-49.6933,23.059082,-0.2967682,4.628357,7.8918915,-0.3912964,-0.14634705,0.22775269,14.125,-23.625,5.375,1.0,881.0,20190721_104708_192
24,-37.217712,-49.772644,20.637512,-0.17944336,4.62117,8.739426,-0.4189911,-0.056869507,0.21070862,14.09375,-23.40625,5.5625,1.0,881.0,20190721_104708_211
25,-36.868286,-50.445557,20.213318,-0.05734253,4.6810303,9.23024,-0.27624512,0.044326782,0.18301392,13.953125,-23.0625,5.84375,1.0,881.0,20190721_104708_233
26,-38.206482,-50.193787,21.36383,0.014480591,4.712158,8.971664,-0.107940674,0.13381958,0.1542511,13.75,-22.640625,6.125,1.0,881.0,20190721_104708_252
27,-38.42926,-48.06366,22.218323,-0.02381897,4.748062,8.423401,-0.055740356,0.08908081,0.12335205,13.453125,-21.890625,6.359375,1.0,881.0,20190721_104708_271
28,-38.505554,-50.517273,20.594788,-0.10044861,4.791168,8.090607,-0.10261536,-0.013198853,0.110580444,13.25,-21.578125,6.375,1.0,881.0,20190721_104708_293
29,-38.056946,-50.03357,21.97876,-0.19381714,4.7959595,8.081024,-0.17079163,-0.052612305,0.13720703,13.0625,-21.453125,6.3125,1.0,881.0,20190721_104708_312
30,-38.171387,-51.34735,22.309875,-0.18902588,4.712158,8.330017,-0.18676758,-0.043014526,0.17448425,12.90625,-21.375,6.28125,1.0,881.0,20190721_104708_332
31,-37.617493,-49.67804,20.158386,-0.15072632,4.688217,8.466492,-0.13349915,-0.045150757,0.186203,12.796875,-21.234375,6.34375,1.0,881.0,20190721_104708_353
32,-38.893127,-50.282288,21.028137,-0.10282898,4.7337036,8.3396,-0.063201904,-0.08137512,0.19580078,12.65625,-21.015625,6.46875,1.0,881.0,20190721_104708_373
33,-38.830566,-49.557495,22.08252,-0.06452942,4.774399,8.24144,-0.035491943,-0.10479736,0.22775269,12.46875,-20.78125,6.578125,1.0,881.0,20190721_104708_394
34,-39.46991,-50.645447,21.009827,0.11982727,4.8151093,8.164825,-0.018447876,-0.12504578,0.25758362,12.28125,-20.625,6.703125,1.0,881.0,20190721_104708_411
35,-39.41803,-50.06256,20.999146,0.2778473,4.9036865,8.107361,-0.015258789,-0.11972046,0.2607727,12.078125,-20.53125,6.875,1.0,881.0,20190721_104708_431
36,-38.48114,-50.231934,21.810913,0.3688202,5.0497437,8.193558,-0.031234741,-0.10374451,0.25758362,11.828125,-20.453125,7.09375,1.0,881.0,20190721_104708_451
37,-38.39264,-49.21112,21.78955,0.44303894,5.150299,8.39946,-0.021652222,-0.11439514,0.2554474,11.5625,-20.390625,7.328125,1.0,881.0,20190721_104708_473
38,-40.592957,-49.491882,20.471191,0.53881836,5.059311,8.636475,0.022018433,-0.1346283,0.26184082,11.296875,-20.328125,7.5625,1.0,881.0,20190721_104708_491
39,-40.1062,-50.154114,21.273804,0.7016144,4.949188,8.617325,0.08807373,-0.12397766,0.26716614,11.015625,-20.25,7.765625,1.0,881.0,20190721_104708_513
40,-40.019226,-49.139404,22.779846,0.8787842,4.870178,8.476074,0.09765625,-0.10800171,0.24372864,10.75,-20.1875,8.0,1.0,881.0,20190721_104708_530
41,-40.25879,-50.325012,22.644043,0.93385315,4.8366547,8.634094,0.03161621,-0.095214844,0.19792175,10.609375,-20.171875,8.125,1.0,881.0,20190721_104708_551
42,-39.030457,-48.719788,22.358704,1.0415955,4.719345,9.278122,-0.037628174,-0.014251709,0.1819458,10.34375,-20.203125,8.359375,1.0,881.0,20190721_104708_572
43,-41.531372,-49.331665,21.644592,1.3241119,4.695389,9.835983,-0.030166626,0.05178833,0.15318298,10.0625,-20.265625,8.59375,1.0,881.0,20190721_104708_592
44,-40.74402,-49.664307,22.146606,1.4605713,4.616394,10.159195,0.028411865,0.0922699,0.087142944,9.828125,-20.296875,8.78125,1.0,881.0,20190721_104708_612
45,-39.318848,-50.4776,20.097351,1.3791809,4.525406,10.173553,0.087005615,0.10185242,0.038131714,9.625,-20.25,8.90625,1.0,881.0,20190721_104708_633
46,-40.345764,-49.76349,23.542786,1.3767853,4.489502,10.0346985,0.09233093,0.06350708,0.026412964,9.4375,-20.171875,8.9375,1.0,881.0,20190721_104708_653
47,-40.248108,-51.766968,22.831726,1.4198761,4.2788086,9.993988,0.05078125,0.023025513,0.014694214,9.234375,-20.171875,8.859375,1.0,881.0,20190721_104708_672
48,-40.319824,-49.464417,22.009277,1.3863525,4.1088104,10.077789,0.0017852783,0.03793335,-0.03855896,9.203125,-20.21875,8.8125,1.0,881.0,20190721_104708_691
49,-39.41803,-50.057983,20.23468,1.1373596,3.960373,10.18074,-0.011001587,0.074157715,-0.1003418,9.140625,-20.328125,8.734375,1.0,881.0,20190721_104708_713
50,-40.34424,-49.757385,22.320557,1.0320129,3.8837585,10.1185,0.03694153,0.107177734,-0.14402771,9.109375,-20.390625,8.71875,1.0,881.0,20190721_104708_734
51,-39.656067,-49.664307,21.740723,0.94343567,3.7808075,9.831192,0.14134216,0.12742615,-0.16958618,9.125,-20.421875,8.6875,1.0,881.0,20190721_104708_753
52,-39.894104,-49.26758,22.636414,1.0152588,3.584488,9.206299,0.2766266,0.12528992,-0.16000366,9.1875,-20.421875,8.578125,1.0,881.0,20190721_104708_773
53,-38.458252,-49.952698,24.246216,1.3001709,3.3307037,8.306076,0.37249756,0.0922699,-0.14189148,9.328125,-20.453125,8.4375,1.0,881.0,20190721_104708_794
54,-40.62195,-49.80316,24.14093,1.7071838,3.1032562,7.432205,0.4108429,-0.01852417,-0.16107178,9.46875,-20.59375,8.234375,1.0,881.0,20190721_104708_812
55,-38.39264,-49.212646,22.094727,1.905899,3.074524,6.7426605,0.37142944,-0.09202576,-0.2260437,9.625,-20.875,8.03125,1.0,881.0,20190721_104708_833
56,-40.045166,-49.435425,23.54889,1.7909851,3.2780304,6.5247955,0.24679565,-0.073913574,-0.2771759,9.734375,-21.296875,7.859375,1.0,881.0,20190721_104708_854
57,-38.545227,-49.386597,24.076843,1.7430878,3.522232,7.0299683,0.14239502,0.046463013,-0.23243713,9.796875,-21.53125,7.796875,1.0,881.0,20190721_104708_874
58,-39.071655,-50.753784,24.084473,1.9992676,3.6515198,7.3986816,0.12109375,0.14979553,-0.119522095,9.96875,-22.015625,7.75,1.0,881.0,20190721_104708_891
59,-40.14435,-49.017334,23.686218,2.3081207,3.522232,7.4968414,0.05291748,0.17323303,-0.0140686035,10.21875,-22.453125,7.75,1.0,881.0,20190721_104708_912
60,-38.993835,-49.86267,21.166992,2.5714874,3.2421112,7.779358,-0.11326599,0.07841492,0.040267944,10.53125,-22.765625,7.6875,1.0,881.0,20190721_104708_934
61,-38.1073,-50.621033,22.753906,2.707962,3.031433,8.368332,-0.2624054,-0.07070923,0.012573242,10.75,-22.953125,7.53125,1.0,881.0,20190721_104708_953
62,-39.022827,-50.178528,25.904846,2.7773895,3.0697327,8.715485,-0.28157043,-0.23049927,-0.076919556,10.828125,-23.109375,7.3125,1.0,881.0,20190721_104708_972
63,-38.269043,-49.345398,23.01941,2.684021,3.280426,8.533524,-0.2240448,-0.36579895,-0.19302368,10.796875,-23.140625,7.140625,1.0,881.0,20190721_104708_991
64,-39.071655,-50.749207,23.321533,2.3775635,3.5916748,8.069061,-0.20594788,-0.4371643,-0.30593872,10.75,-22.84375,7.125,1.0,881.0,20190721_104709_012
65,-36.46698,-48.960876,22.180176,1.9537811,3.924469,7.7697754,-0.23789978,-0.39881897,-0.3698578,10.859375,-22.53125,7.296875,1.0,881.0,20190721_104709_033
66,-38.81836,-47.833252,23.719788,1.6329651,4.2476807,7.7889404,-0.28477478,-0.27204895,-0.36878967,11.125,-22.265625,7.5625,1.0,881.0,20190721_104709_051
