frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-41.560364,-48.1369,12.608337,0.7399292,2.5454102,9.505569,-0.088760376,-0.04408264,0.05517578,25.984375,-26.578125,0.234375,1.0,983.0,20190721_105034_755
2,-41.796875,-47.732544,11.976624,0.76387024,2.5669556,9.0147705,-0.0067443848,-0.07923889,-0.058807373,25.84375,-26.46875,0.59375,1.0,983.0,20190721_105034_811
3,-42.42401,-48.683167,12.733459,0.76626587,2.5789185,8.995605,-0.0056762695,-0.06965637,-0.06199646,25.84375,-26.46875,-0.59375,1.0,983.0,20190721_105034_820
4,-42.48352,-46.237183,12.213135,0.7327423,2.5669556,9.0195465,-0.009933472,-0.011062622,-0.06199646,40.859375,-14.90625,3.9375,1.0,983.0,20190721_105034_839
5,-42.96112,-48.606873,12.095642,0.7231598,2.5956879,9.038712,-0.013122559,-0.007858276,-0.060928345,40.859375,-14.90625,3.9375,1.0,983.0,20190721_105034_860
6,-42.770386,-46.417236,12.051392,0.7255554,2.6220245,9.026733,-0.015258789,-0.054733276,-0.05987549,40.90625,-14.90625,3.953125,1.0,983.0,20190721_105034_879
7,-41.3208,-46.95282,12.742615,0.84288025,2.660324,8.988434,-0.019515991,-0.08137512,-0.051345825,40.984375,-14.90625,3.953125,1.0,983.0,20190721_105034_900
8,-43.6615,-48.843384,12.220764,0.97694397,2.6507416,9.012375,-0.031234741,-0.036621094,-0.047088623,41.046875,-14.890625,3.953125,1.0,983.0,20190721_105034_921
9,-40.922546,-47.047424,13.3758545,0.9937134,2.636383,9.041107,-0.03656006,-0.020645142,-0.056671143,41.09375,-14.890625,3.96875,1.0,983.0,20190721_105034_940
10,-42.099,-48.068237,13.496399,0.98413086,2.648346,8.986038,-0.024841309,-0.08882141,-0.07585144,41.15625,-14.875,4.03125,1.0,983.0,20190721_105034_960
11,-42.884827,-47.729492,11.772156,1.0487823,2.7106018,8.8567505,-0.01739502,-0.12823486,-0.08010864,41.234375,-14.84375,4.09375,1.0,983.0,20190721_105034_978
12,-42.311096,-48.957825,12.898254,1.1469421,2.758484,8.835205,-0.028045654,-0.048339844,-0.063064575,41.375,-14.78125,4.125,1.0,983.0,20190721_105034_999
13,-41.947937,-47.90039,12.889099,1.1828461,2.7345428,8.926178,-0.037628174,0.059249878,-0.057739258,41.375,-14.78125,4.125,1.0,983.0,20190721_105035_019
