frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-40.592957,-49.490356,20.166016,0.9937134,4.5996246,8.8016815,0.0816803,-0.04196167,-0.11206055,24.453125,-24.203125,-0.375,1.0,933.0,20190721_104856_789
2,-39.08844,-47.842407,18.21289,1.111023,4.604416,8.107361,-0.07917786,-0.08882141,-0.051345825,24.71875,-24.375,-0.53125,1.0,933.0,20190721_104856_844
3,-40.803528,-50.36621,16.667175,1.1493378,4.5996246,8.205521,-0.07810974,-0.08988953,-0.05241394,24.71875,-24.375,-0.53125,1.0,933.0,20190721_104856_851
4,-39.6286,-49.354553,18.070984,1.3193207,4.635544,8.246231,-0.031234741,-0.050476074,-0.06732178,15.1875,-27.5,5.9375,1.0,933.0,20190721_104856_872
5,-40.226746,-48.42224,18.02063,1.3145294,4.6307526,8.040329,-0.01739502,-0.0014801025,-0.08010864,15.1875,-27.5,5.9375,1.0,933.0,20190721_104856_892
6,-38.179016,-49.891663,19.221497,1.3217163,4.652298,8.066666,-0.06852722,0.01876831,-0.060928345,15.234375,-27.484375,5.953125,1.0,933.0,20190721_104856_912
7,-38.75122,-48.661804,18.096924,1.3743896,4.659485,8.246231,-0.10154724,-0.03768921,-0.04283142,15.3125,-27.453125,5.96875,1.0,933.0,20190721_104856_937
8,-39.215088,-47.720337,19.424438,1.4079132,4.616394,8.253403,-0.098342896,-0.11651611,-0.04815674,15.40625,-27.4375,5.921875,1.0,933.0,20190721_104856_953
9,-38.75122,-48.6557,16.874695,1.3887482,4.640335,8.140884,-0.08769226,-0.13676453,-0.065200806,15.46875,-27.359375,5.875,1.0,933.0,20190721_104856_973
10,-40.12909,-50.42267,16.853333,1.3672028,4.690613,8.04512,-0.096221924,-0.10267639,-0.07371521,15.546875,-27.25,5.90625,1.0,933.0,20190721_104856_992
11,-40.104675,-50.138855,18.373108,1.2905884,4.7360992,8.006805,-0.12710571,-0.097351074,-0.06413269,15.640625,-27.140625,6.0,1.0,933.0,20190721_104857_012
12,-39.05182,-48.98987,18.089294,1.1684875,4.7360992,8.243835,-0.16758728,-0.064331055,-0.02684021,15.75,-27.0625,6.09375,1.0,933.0,20190721_104857_034
13,-40.01465,-49.116516,18.04657,1.111023,4.6139984,8.401855,-0.15907288,-0.04940796,0.011505127,15.875,-26.953125,6.15625,1.0,933.0,20190721_104857_052
14,-39.341736,-50.75531,17.507935,1.1780701,4.556534,8.291718,-0.1409607,-0.0046691895,0.0370636,15.984375,-26.8125,6.234375,1.0,933.0,20190721_104857_073
15,-39.56604,-50.20752,17.485046,1.269043,4.489502,8.157639,-0.15481567,-0.03236389,0.023223877,16.03125,-26.625,6.28125,1.0,933.0,20190721_104857_093
16,-39.900208,-47.795105,16.494751,1.2881927,4.482315,8.150452,-0.16972351,-0.062194824,-0.00340271,16.03125,-26.453125,6.328125,1.0,933.0,20190721_104857_115
17,-39.29138,-50.172424,17.497253,1.3289032,4.5086517,8.047501,-0.16119385,-0.048339844,-0.021514893,16.015625,-26.375,6.34375,1.0,933.0,20190721_104857_132
18,-40.41443,-49.01886,17.10968,1.2714386,4.5756836,7.9038544,-0.16333008,0.020889282,-0.05027771,16.0,-26.109375,6.40625,1.0,933.0,20190721_104857_152
19,-38.00049,-47.84088,17.654419,1.1373596,4.7217255,7.9086456,-0.17930603,0.097595215,-0.057739258,16.03125,-25.90625,6.46875,1.0,933.0,20190721_104857_172
20,-39.889526,-49.240112,17.445374,1.075119,4.810318,8.02356,-0.20062256,0.16896057,-0.020462036,16.09375,-25.734375,6.5,1.0,933.0,20190721_104857_193
21,-39.02588,-48.68927,16.252136,1.1804504,4.7360992,8.325241,-0.20806885,0.23181152,0.03387451,16.140625,-25.5625,6.4375,1.0,933.0,20190721_104857_216
22,-39.024353,-48.68622,15.794373,1.3025665,4.635544,8.598175,-0.19316101,0.29466248,0.054107666,16.171875,-25.453125,6.375,1.0,933.0,20190721_104857_234
23,-39.02588,-48.693848,17.320251,1.403122,4.6714478,8.787323,-0.15586853,0.30958557,0.05517578,16.1875,-25.25,6.203125,1.0,933.0,20190721_104857_254
24,-39.07776,-49.27826,17.332458,1.5132446,4.7025757,8.835205,-0.12817383,0.29466248,0.06477356,16.09375,-24.890625,5.890625,1.0,933.0,20190721_104857_272
25,-40.689087,-49.05548,17.097473,1.6233826,4.688217,8.962097,-0.10900879,0.2722931,0.059432983,15.984375,-24.65625,5.625,1.0,933.0,20190721_104857_292
26,-39.100647,-49.560547,15.505981,1.589859,4.5996246,9.127289,-0.06425476,0.22969055,0.025344849,15.84375,-24.46875,5.3125,1.0,933.0,20190721_104857_313
27,-39.923096,-48.077393,14.668274,1.4462128,4.635544,9.127289,0.018829346,0.1710968,-0.032165527,15.71875,-24.3125,5.046875,1.0,933.0,20190721_104857_334
28,-39.538574,-48.324585,16.523743,1.1158142,4.7049713,8.993225,0.07954407,0.14979553,-0.057739258,15.578125,-24.1875,4.78125,1.0,933.0,20190721_104857_354
29,-39.95056,-48.37799,16.505432,0.8739929,4.767227,8.986038,0.087005615,0.13807678,-0.032165527,15.484375,-24.09375,4.5625,1.0,933.0,20190721_104857_375
30,-38.137817,-49.43695,15.853882,0.77822876,4.6618805,9.100952,0.0625,0.14659119,0.014694214,15.46875,-24.109375,4.359375,1.0,933.0,20190721_104857_393
