frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-41.99066,-49.942017,16.142273,0.77822876,3.881363,8.842377,-0.23576355,-0.14741516,-0.2686615,13.421875,-28.09375,4.796875,1.0,956.0,20190721_104943_669
2,-41.16211,-48.243713,15.376282,1.0104675,3.723343,9.007584,-0.020584106,0.035812378,0.08607483,23.953125,-23.9375,4.46875,1.0,956.0,20190721_104943_729
3,-40.91339,-48.506165,16.76941,1.079895,3.7329254,9.055466,-0.013122559,0.0059814453,0.07221985,23.953125,-23.9375,4.46875,1.0,956.0,20190721_104943_746
4,-41.252136,-49.27063,16.46576,0.9865265,3.6946259,9.077011,0.003921509,-0.034500122,0.04559326,23.953125,-23.9375,4.46875,1.0,956.0,20190721_104943_766
5,-41.464233,-48.576355,16.43982,0.9075165,3.723343,9.03392,0.024154663,-0.06538391,0.02961731,23.953125,-23.9375,4.46875,1.0,956.0,20190721_104943_786
6,-41.038513,-48.373413,15.843201,0.8668213,3.7329254,8.998001,0.045455933,-0.043014526,0.030685425,23.921875,-23.921875,4.484375,1.0,956.0,20190721_104943_806
7,-41.627502,-48.887634,16.590881,0.8021698,3.7161713,8.993225,0.065704346,0.009185791,0.03387451,23.859375,-23.921875,4.53125,1.0,956.0,20190721_104943_826
8,-41.262817,-47.825623,15.8203125,0.79977417,3.704193,8.952515,0.089141846,0.017700195,0.0370636,23.828125,-23.9375,4.59375,1.0,956.0,20190721_104943_847
9,-41.215515,-50.419617,16.648865,0.7734375,3.6922302,8.775345,0.10298157,-0.021713257,0.028549194,23.8125,-23.96875,4.671875,1.0,956.0,20190721_104943_867
10,-41.651917,-49.179077,16.596985,0.76626587,3.7449036,8.571838,0.09553528,-0.062194824,0.02748108,23.75,-24.078125,4.6875,1.0,956.0,20190721_104943_886
11,-41.16211,-48.243713,15.376282,0.7399292,3.759262,8.464096,0.06996155,-0.05580139,0.036010742,23.703125,-24.171875,4.703125,1.0,956.0,20190721_104943_907
12,-41.58783,-48.44513,15.8203125,0.75668335,3.8095398,8.452133,0.044403076,-0.007858276,0.05731201,23.671875,-24.28125,4.734375,1.0,956.0,20190721_104943_927
13,-43.177795,-49.517822,15.617371,0.8237152,3.845459,8.454529,0.03694153,0.034744263,0.07861328,23.65625,-24.390625,4.8125,1.0,956.0,20190721_104943_947
14,-42.225647,-47.95227,15.777588,0.9194946,3.8622131,8.341995,0.034805298,0.0730896,0.087142944,23.625,-24.46875,4.890625,1.0,956.0,20190721_104943_966
15,-41.137695,-47.955322,16.134644,0.9673767,3.8358765,8.262985,-0.0024719238,0.0965271,0.08181763,23.546875,-24.5,4.921875,1.0,956.0,20190721_104943_986
16,-43.478394,-49.850464,16.679382,0.9889221,3.8550262,8.423401,-0.053604126,0.123168945,0.07221985,23.4375,-24.53125,4.90625,1.0,956.0,20190721_104944_006
17,-43.078613,-49.942017,16.548157,0.98413086,3.8286896,8.696335,-0.07064819,0.18067932,0.058380127,23.328125,-24.5625,4.875,1.0,956.0,20190721_104944_026
18,-42.32483,-47.531128,15.609741,0.9673767,3.9029083,8.904633,-0.025909424,0.19772339,-2.1362305E-4,23.203125,-24.546875,4.8125,1.0,956.0,20190721_104944_046
19,-42.46521,-49.14093,16.711426,0.8117523,3.9651642,8.830414,0.016693115,0.16363525,-0.03855896,23.15625,-24.515625,4.765625,1.0,956.0,20190721_104944_067
20,-42.314148,-48.97461,16.255188,0.77104187,4.0417786,8.713089,0.018829346,0.09866333,-0.04069519,23.046875,-24.4375,4.640625,1.0,956.0,20190721_104944_087
21,-42.03949,-48.939514,16.267395,0.82611084,4.020233,8.672394,-0.013122559,0.052856445,-0.027908325,22.96875,-24.375,4.453125,1.0,956.0,20190721_104944_106
22,-41.653442,-49.183655,17.666626,0.94343567,3.9795227,8.768158,-0.049346924,0.035812378,-0.018325806,22.9375,-24.359375,4.25,1.0,956.0,20190721_104944_127
23,-42.46521,-49.14093,16.711426,1.0966644,3.9316406,8.851959,-0.046157837,0.021957397,-0.034301758,22.953125,-24.390625,4.078125,1.0,956.0,20190721_104944_149
24,-40.963745,-47.505188,17.352295,1.1732788,3.8406677,8.823227,-0.014190674,0.034744263,-0.065200806,22.96875,-24.40625,3.984375,1.0,956.0,20190721_104944_166
25,-42.55066,-48.565674,14.707947,1.2307281,3.850235,8.658035,0.03161621,0.013442993,-0.11633301,23.0,-24.3125,3.890625,1.0,956.0,20190721_104944_186
26,-42.46521,-49.13788,16.099548,1.158905,3.881363,8.353958,0.06037903,-0.023849487,-0.17597961,23.015625,-24.296875,3.875,1.0,956.0,20190721_104944_206
27,-41.03546,-48.362732,13.70697,1.0703278,3.9771423,8.179184,0.035873413,-0.023849487,-0.20899963,23.09375,-24.28125,3.8125,1.0,956.0,20190721_104944_226
28,-41.96472,-49.650574,16.13617,1.0870819,4.1710663,8.298904,0.0071105957,0.046463013,-0.20155334,23.203125,-24.3125,3.734375,1.0,956.0,20190721_104944_247
29,-43.15033,-49.21875,14.237976,1.1230011,4.2476807,8.416214,0.01776123,0.1242218,-0.15893555,23.40625,-24.390625,3.671875,1.0,956.0,20190721_104944_267
30,-42.251587,-48.24524,16.241455,1.2570648,4.2716217,8.428192,0.03694153,0.14021301,-0.10354614,23.640625,-24.453125,3.609375,1.0,956.0,20190721_104944_286
31,-40.412903,-49.012756,15.888977,1.3743896,4.159088,8.284531,0.010299683,0.08694458,-0.05987549,23.859375,-24.484375,3.46875,1.0,956.0,20190721_104944_307
32,-41.552734,-49.601746,17.222595,1.5563507,4.159088,8.2127075,-0.06958008,-0.002532959,-0.018325806,24.015625,-24.515625,3.28125,1.0,956.0,20190721_104944_327
33,-40.625,-48.321533,16.3208,1.723938,4.0776978,8.3396,-0.15693665,-0.06112671,0.01576233,24.109375,-24.5625,3.078125,1.0,956.0,20190721_104944_346
34,-41.563416,-48.15674,16.577148,1.8173218,3.996292,8.528748,-0.20594788,-0.06112671,0.030685425,24.171875,-24.578125,2.953125,1.0,956.0,20190721_104944_366
35,-40.837097,-47.62726,16.140747,1.9298401,4.008255,8.686752,-0.21766663,-0.052612305,0.016830444,24.1875,-24.515625,2.921875,1.0,956.0,20190721_104944_385
36,-39.86206,-48.936462,14.845276,2.118988,4.04657,8.763367,-0.20594788,-0.076049805,-0.01512146,24.203125,-24.34375,2.984375,1.0,956.0,20190721_104944_406
37,-41.111755,-47.660828,15.670776,2.18602,3.972351,8.79689,-0.16758728,-0.12504578,-0.08329773,24.1875,-24.109375,3.0625,1.0,956.0,20190721_104944_426
38,-40.950012,-48.936462,15.403748,2.142929,3.9747467,8.701126,-0.11112976,-0.14848328,-0.17597961,24.1875,-23.859375,3.125,1.0,956.0,20190721_104944_446
39,-42.037964,-48.931885,14.741516,1.8747711,4.0920563,8.533524,-0.06852722,-0.127182,-0.26226807,24.21875,-23.625,3.203125,1.0,956.0,20190721_104944_465
40,-41.137695,-47.95227,15.67688,1.5228271,4.1926117,8.4617,-0.08343506,-0.06965637,-0.2718506,24.328125,-23.453125,3.28125,1.0,956.0,20190721_104944_486
41,-41.186523,-48.53058,14.619446,1.2834015,4.178253,8.6436615,-0.10687256,-0.01638794,-0.2367096,24.5625,-23.328125,3.359375,1.0,956.0,20190721_104944_506
