frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-38.684082,-52.56653,21.85669,-0.09565735,4.3625946,9.057861,-0.016326904,-0.34875488,0.011505127,38.234375,-22.46875,2.515625,1.0,1028.0,20190721_105211_873
2,-38.571167,-51.2558,22.135925,0.33291626,4.2189484,8.035538,-0.16758728,0.095458984,0.061569214,38.15625,-22.59375,2.234375,1.0,1028.0,20190721_105211_939
3,-39.00757,-51.597595,21.360779,0.28024292,4.2117615,8.121735,-0.19528198,0.0688324,0.049850464,38.15625,-22.59375,-2.234375,1.0,1028.0,20190721_105211_945
4,-39.808655,-51.412964,21.318054,0.32333374,4.2357025,8.49762,-0.25387573,0.02835083,0.03919983,36.515625,-25.25,-0.75,1.0,1028.0,20190721_105211_964
5,-39.372253,-52.651978,21.063232,0.42868042,4.173462,9.07222,-0.20487976,0.08908081,0.024291992,36.515625,-25.25,-0.75,1.0,1028.0,20190721_105211_987
6,-39.15863,-51.763916,21.968079,0.52923584,4.190216,8.993225,-0.08236694,0.11677551,-0.01939392,36.515625,-25.25,-0.75,1.0,1028.0,20190721_105212_005
7,-39.256287,-51.335144,20.274353,0.44543457,4.276413,8.538315,-0.04827881,0.08908081,-0.07585144,36.46875,-24.984375,-0.765625,1.0,1028.0,20190721_105212_027
8,-38.494873,-51.956177,20.17212,0.31375122,4.3745728,8.586197,-0.07810974,0.033676147,-0.09396362,36.40625,-24.71875,-0.8125,1.0,1028.0,20190721_105212_045
9,-38.5849,-52.981567,20.95642,0.37600708,4.396118,8.54071,-0.06639099,0.032608032,-0.07159424,36.375,-24.5625,-0.921875,1.0,1028.0,20190721_105212_065
10,-38.745117,-51.705933,21.22345,0.4190979,4.3889313,8.444946,-0.053604126,0.031555176,-0.074783325,36.421875,-24.515625,-1.0625,1.0,1028.0,20190721_105212_084
11,-39.645386,-52.68097,19.525146,0.39994812,4.4655457,8.365936,-0.046157837,-0.01638794,-0.086502075,36.515625,-24.4375,-1.15625,1.0,1028.0,20190721_105212_105
12,-39.18457,-52.056885,22.279358,0.46697998,4.5349884,8.279739,-0.034439087,-0.07284546,-0.07371521,36.59375,-24.34375,-1.21875,1.0,1028.0,20190721_105212_126
13,-40.20996,-52.911377,21.94519,0.6178131,4.532593,8.1336975,-0.023788452,-0.10374451,-0.043884277,36.65625,-24.28125,-1.296875,1.0,1028.0,20190721_105212_146
14,-39.057922,-52.17743,20.60852,0.8045654,4.5230103,7.9589233,-0.04508972,-0.099472046,0.0051116943,36.75,-24.21875,-1.34375,1.0,1028.0,20190721_105212_166
15,-38.381958,-50.646973,20.909119,1.2163696,4.477524,7.9637146,-0.11112976,-0.08670044,0.058380127,36.859375,-24.171875,-1.3125,1.0,1028.0,20190721_105212_185
