frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-39.76593,-50.949097,16.271973,0.72076416,3.1056519,9.156021,0.020965576,-0.24542236,0.28953552,37.859375,-21.875,2.609375,1.0,1005.0,20190721_105128_393
2,-38.430786,-52.799988,17.448425,0.4262848,3.2038116,8.732254,-0.014190674,0.011306763,-0.04283142,30.53125,-18.6875,4.296875,1.0,1006.0,20190721_105128_452
3,-38.94043,-50.839233,15.85083,0.41430664,3.1966248,8.890274,-0.055740356,0.033676147,-0.033233643,30.53125,-18.6875,4.296875,1.0,1006.0,20190721_105128_468
4,-39.02893,-51.864624,16.635132,0.40473938,3.177475,9.184753,-0.05999756,0.07736206,-0.021514893,30.53125,-18.6875,4.296875,1.0,1006.0,20190721_105128_489
5,-38.79242,-52.26288,16.044617,0.39994812,3.1200104,9.275726,-0.011001587,0.07736206,-0.008743286,30.53125,-18.6875,4.296875,1.0,1006.0,20190721_105128_509
6,-39.004517,-51.574707,16.934204,0.40473938,3.0769196,9.182358,0.032684326,0.02835083,-0.0055389404,30.5625,-18.65625,4.28125,1.0,1006.0,20190721_105128_528
7,-39.053345,-52.15149,15.571594,0.43347168,3.0936737,9.0147705,0.046524048,-0.009994507,-0.011932373,30.578125,-18.59375,4.203125,1.0,1006.0,20190721_105128_549
8,-39.39514,-52.929688,18.16864,0.5364227,3.1607056,9.009979,0.032684326,0.010238647,-0.01725769,30.578125,-18.546875,4.109375,1.0,1006.0,20190721_105128_568
9,-39.64386,-52.671814,17.692566,0.4885254,3.0888824,9.038712,0.030548096,0.029418945,-0.024719238,30.578125,-18.578125,4.0625,1.0,1006.0,20190721_105128_590
10,-39.605713,-52.227783,16.615295,0.3616333,3.067337,8.983643,0.022018433,0.0027923584,-0.033233643,30.578125,-18.625,4.046875,1.0,1006.0,20190721_105128_608
11,-37.678528,-51.976013,16.700745,0.3113556,3.1248016,8.907028,0.0028533936,-0.043014526,-0.027908325,30.59375,-18.671875,4.046875,1.0,1006.0,20190721_105128_628
12,-39.72931,-52.09961,16.453552,0.28981018,3.1750793,8.744217,-0.021652222,-0.059005737,-0.004470825,30.609375,-18.703125,4.015625,1.0,1006.0,20190721_105128_648
13,-39.75525,-52.391052,16.459656,0.407135,3.2732391,8.519165,-0.07597351,-0.10160828,0.026412964,30.640625,-18.734375,3.984375,1.0,1006.0,20190721_105128_669
14,-38.91449,-50.549316,16.30249,0.58670044,3.3211212,8.590988,-0.16014099,-0.09628296,0.04345703,30.6875,-18.75,4.0,1.0,1006.0,20190721_105128_690
15,-39.09149,-51.01013,17.22107,0.66571045,3.2828217,8.883087,-0.20381165,-0.059005737,0.03387451,30.703125,-18.75,4.03125,1.0,1006.0,20190721_105128_712
16,-39.530945,-51.361084,18.12439,0.6321869,3.249298,9.07222,-0.17185974,-0.020645142,-0.007675171,30.703125,-18.625,4.21875,1.0,1006.0,20190721_105128_728
17,-39.279175,-51.609802,16.921997,0.4262848,3.2660522,9.0985565,-0.10900879,0.039001465,-0.04069519,30.6875,-18.421875,4.328125,1.0,1006.0,20190721_105128_748
18,-39.45465,-52.06299,16.46576,0.25630188,3.2469025,8.940552,-0.077041626,0.074157715,-0.02897644,30.671875,-18.3125,4.375,1.0,1006.0,20190721_105128_769
19,-39.053345,-52.148438,15.113831,0.24432373,3.1678925,8.962097,-0.10900879,0.09333801,8.544922E-4,30.671875,-18.09375,4.40625,1.0,1006.0,20190721_105128_789
20,-39.530945,-51.361084,18.12439,0.29460144,3.074524,9.13208,-0.11433411,0.09120178,-0.0055389404,30.71875,-17.9375,4.390625,1.0,1006.0,20190721_105128_810
21,-39.00299,-51.568604,15.864563,0.26107788,3.1271973,9.036316,-0.077041626,0.04220581,-0.03111267,30.75,-17.84375,4.296875,1.0,1006.0,20190721_105128_828
22,-38.59253,-51.522827,17.410278,0.0025024414,3.1439514,8.9357605,-0.08982849,-0.0014801025,-0.02897644,30.75,-17.75,4.203125,1.0,1006.0,20190721_105128_848
23,-38.70392,-52.8244,15.1474,-0.21775818,3.146347,8.978851,-0.13031006,-0.06965637,0.011505127,30.734375,-17.609375,4.09375,1.0,1006.0,20190721_105128_868
24,-39.878845,-52.25525,14.772034,-0.2321167,3.115219,8.969269,-0.18569946,-0.076049805,0.09353638,30.75,-17.515625,4.03125,1.0,1006.0,20190721_105128_888
25,-39.479065,-52.349854,15.403748,-0.03579712,2.9619904,9.280518,-0.25494385,-0.012130737,0.14785767,30.796875,-17.421875,4.0,1.0,1006.0,20190721_105128_909
26,-39.215088,-50.87433,15.533447,0.17489624,2.8638306,9.756973,-0.21232605,0.060317993,0.11695862,30.8125,-17.28125,4.046875,1.0,1006.0,20190721_105128_929
27,-38.241577,-52.194214,16.526794,0.10784912,2.8422852,9.601349,-0.04508972,0.021957397,0.018966675,30.765625,-17.09375,4.15625,1.0,1006.0,20190721_105128_949
28,-39.479065,-52.349854,15.403748,-0.3111267,3.0649414,8.866318,0.059310913,-0.08988953,-0.074783325,30.640625,-16.84375,4.234375,1.0,1006.0,20190721_105128_970
29,-40.542603,-52.06299,16.567993,-0.64152527,3.4216766,8.239044,0.012435913,-0.16445923,-0.06838989,30.484375,-16.546875,4.234375,1.0,1006.0,20190721_105128_989
