frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-40.03296,-50.865173,21.141052,0.7686615,3.9747467,9.0746155,-0.31565857,-0.35301208,0.20005798,40.703125,-24.078125,-1.265625,1.0,1049.0,20190721_105255_284
2,-40.919495,-51.693726,19.593811,0.67048645,3.8837585,8.725067,0.034805298,0.03793335,-0.0140686035,23.5,-23.640625,4.578125,1.0,1049.0,20190721_105255_346
3,-40.794373,-51.81732,18.685913,0.85723877,3.8789673,8.629303,0.023086548,0.026229858,-0.009796143,23.5,-23.640625,4.578125,1.0,1049.0,20190721_105255_361
4,-39.920044,-52.711487,18.444824,0.92189026,3.814331,8.586197,-0.0024719238,0.025161743,-0.030044556,23.5,-23.640625,4.578125,1.0,1049.0,20190721_105255_382
5,-41.207886,-51.875305,19.432068,0.82611084,3.7688446,8.705917,0.012435913,0.036880493,-0.05027771,23.5,-23.640625,4.578125,1.0,1049.0,20190721_105255_400
6,-40.333557,-52.770996,19.494629,0.7686615,3.7832031,8.552689,0.073150635,0.06137085,-0.05241394,23.5,-23.65625,4.546875,1.0,1049.0,20190721_105255_420
7,-41.1438,-51.145935,19.41681,0.7399292,3.7257385,8.198349,0.07102966,0.123168945,-0.05027771,23.53125,-23.65625,4.5,1.0,1049.0,20190721_105255_441
8,-39.64386,-51.098633,20.402527,0.7518921,3.7161713,8.1887665,-0.0024719238,0.14979553,-0.057739258,23.578125,-23.6875,4.453125,1.0,1049.0,20190721_105255_460
9,-40.945435,-51.98517,19.599915,0.7016144,3.7305298,8.38269,-0.055740356,0.14126587,-0.07371521,23.578125,-23.6875,4.453125,1.0,1049.0,20190721_105255_481
10,-40.670776,-51.953125,20.375061,0.5675354,3.7496796,8.519165,-0.072784424,0.10398865,-0.084365845,23.625,-23.828125,4.28125,1.0,1049.0,20190721_105255_501
11,-40.7959,-51.82495,20.213318,0.4190979,3.7568665,8.574234,-0.06852722,0.057113647,-0.07797241,23.65625,-23.859375,4.109375,1.0,1049.0,20190721_105255_521
12,-40.844727,-52.39868,18.392944,0.37600708,3.7640533,8.535919,-0.05041504,0.046463013,-0.044952393,23.703125,-23.8125,3.921875,1.0,1049.0,20190721_105255_541
13,-41.293335,-51.3031,18.193054,0.39276123,3.7401123,8.483246,-0.046157837,0.06776428,-0.007675171,23.765625,-23.75,3.75,1.0,1049.0,20190721_105255_561
14,-40.670776,-51.953125,20.375061,0.46458435,3.6922302,8.571838,-0.049346924,0.07736206,0.0029754639,23.84375,-23.671875,3.640625,1.0,1049.0,20190721_105255_581
15,-39.431763,-51.786804,19.360352,0.46458435,3.7401123,8.602966,-0.039764404,0.07522583,-0.0140686035,23.90625,-23.609375,3.5625,1.0,1049.0,20190721_105255_600
16,-39.31732,-50.46997,18.571472,0.328125,3.814331,8.466492,-0.061065674,0.05178833,-0.025787354,23.921875,-23.5625,3.5,1.0,1049.0,20190721_105255_620
17,-40.96985,-52.270508,18.231201,0.26107788,3.8119354,8.38269,-0.10261536,0.017700195,-0.0055389404,23.890625,-23.5,3.40625,1.0,1049.0,20190721_105255_640
18,-40.99579,-52.563477,18.54248,0.31375122,3.7808075,8.550293,-0.13137817,0.039001465,0.023223877,23.890625,-23.453125,3.328125,1.0,1049.0,20190721_105255_661
19,-39.804077,-51.38855,16.586304,0.407135,3.735321,8.696335,-0.100479126,0.09333801,0.028549194,23.90625,-23.40625,3.265625,1.0,1049.0,20190721_105255_680
20,-40.96985,-52.272034,18.536377,0.35925293,3.7017975,8.614929,-0.06852722,0.1391449,0.013641357,23.90625,-23.296875,3.21875,1.0,1049.0,20190721_105255_700
21,-38.94348,-50.857544,19.514465,0.23234558,3.7281342,8.543106,-0.09089661,0.13700867,0.014694214,23.890625,-23.15625,3.203125,1.0,1049.0,20190721_105255_719
22,-40.94391,-51.98059,18.530273,0.19883728,3.7808075,8.705917,-0.15054321,0.121032715,0.034942627,23.84375,-23.03125,3.140625,1.0,1049.0,20190721_105255_740
23,-42.23175,-51.141357,18.907166,0.15812683,3.7688446,9.07222,-0.17823792,0.13594055,0.061569214,23.796875,-22.9375,3.015625,1.0,1049.0,20190721_105255_760
24,-39.52942,-51.356506,17.36145,0.17729187,3.6611023,9.287704,-0.15374756,0.16363525,0.0881958,23.75,-22.84375,2.875,1.0,1049.0,20190721_105255_780
25,-39.405823,-51.493835,19.049072,0.24671936,3.5198364,9.405014,-0.10687256,0.14447021,0.07861328,23.671875,-22.609375,2.703125,1.0,1049.0,20190721_105255_800
26,-39.61792,-50.79956,19.023132,0.27545166,3.5892792,9.297287,-0.03869629,0.058181763,0.024291992,23.5625,-22.40625,2.578125,1.0,1049.0,20190721_105255_819
27,-40.11841,-51.870728,18.261719,0.028839111,3.735321,8.926178,0.003921509,0.009185791,-0.0140686035,23.421875,-22.234375,2.453125,1.0,1049.0,20190721_105255_840
28,-41.06903,-50.273132,19.856262,-0.18902588,3.8741913,8.593384,-0.05041504,6.5612793E-4,0.024291992,23.328125,-22.109375,2.34375,1.0,1049.0,20190721_105255_861
29,-39.55536,-51.646423,16.90979,-0.07649231,3.8909454,8.660431,-0.17398071,0.0059814453,0.10951233,23.296875,-22.078125,2.28125,1.0,1049.0,20190721_105255_879
30,-39.341736,-50.761414,18.577576,0.28981018,3.7209625,9.110535,-0.2474823,0.021957397,0.14146423,23.296875,-22.078125,2.28125,1.0,1049.0,20190721_105255_900
31,-39.805603,-51.393127,17.349243,0.5244446,3.6203918,9.433746,-0.16758728,0.046463013,0.06263733,23.265625,-22.0,2.296875,1.0,1049.0,20190721_105255_920
32,-41.418457,-51.176453,18.336487,0.3784027,3.7832031,9.096161,-0.012069702,0.03793335,-0.05241394,23.140625,-21.78125,2.328125,1.0,1049.0,20190721_105255_940
33,-40.32898,-51.171875,17.166138,0.036026,4.003479,8.413818,0.049728394,-0.013198853,-0.10568237,22.984375,-21.5,2.359375,1.0,1049.0,20190721_105255_960
34,-40.405273,-50.46997,19.129944,-0.18902588,4.178253,7.997223,-0.03869629,-0.054733276,-0.08117676,22.921875,-21.328125,2.328125,1.0,1049.0,20190721_105255_980
35,-39.266968,-49.890137,19.322205,-0.25605774,4.245285,8.114548,-0.1686554,-0.019577026,-0.025787354,22.984375,-21.328125,2.28125,1.0,1049.0,20190721_105256_000
36,-40.219116,-51.454163,18.704224,-0.2321167,4.2261353,8.562256,-0.2432251,0.06669617,0.023223877,23.109375,-21.375,2.25,1.0,1049.0,20190721_105256_020
37,-40.394592,-51.90735,18.249512,-0.16029358,4.197403,9.009979,-0.21659851,0.099731445,0.04345703,23.203125,-21.328125,2.28125,1.0,1049.0,20190721_105256_040
38,-40.293884,-52.32544,18.112183,-0.09086609,4.178253,9.096161,-0.13031006,0.034744263,0.04559326,23.234375,-21.125,2.28125,1.0,1049.0,20190721_105256_059
39,-40.605164,-51.210022,17.459106,-0.03579712,4.135147,8.844772,-0.05253601,-0.057937622,0.030685425,23.21875,-21.0,2.25,1.0,1049.0,20190721_105256_079
40,-40.58075,-50.923157,18.522644,-0.05973816,4.099243,8.454529,-0.019515991,-0.13143921,0.008300781,23.15625,-20.71875,2.171875,1.0,1049.0,20190721_105256_100
41,-40.12909,-50.42267,16.853333,-0.09805298,4.0824738,8.229462,-0.051483154,-0.12930298,0.0029754639,23.09375,-20.53125,2.109375,1.0,1049.0,20190721_105256_121
42,-40.54413,-52.070618,18.093872,-0.1124115,4.063324,8.322845,-0.10900879,-0.06538391,0.008300781,23.0625,-20.4375,2.15625,1.0,1049.0,20190721_105256_140
43,-40.60669,-51.2146,18.528748,-0.07649231,4.0609283,8.650848,-0.13031006,0.023025513,0.012573242,23.0625,-20.421875,2.28125,1.0,1049.0,20190721_105256_160
44,-40.168762,-52.45056,17.510986,-0.13395691,4.068115,8.907028,-0.074920654,0.02835083,-0.010864258,23.09375,-20.375,2.421875,1.0,1049.0,20190721_105256_179
45,-40.4541,-51.045227,17.30957,-0.24888611,4.1327515,8.787323,0.01776123,-0.07923889,-0.021514893,23.109375,-20.265625,2.53125,1.0,1049.0,20190721_105256_201
46,-40.02838,-50.842285,16.714478,-0.260849,4.2836,8.404251,0.06037903,-0.20600891,-0.00340271,23.09375,-20.125,2.546875,1.0,1049.0,20190721_105256_220
47,-41.267395,-51.008606,17.729187,-0.17466736,4.420059,8.231857,0.027359009,-0.22624207,0.032806396,23.09375,-20.015625,2.5,1.0,1049.0,20190721_105256_241
48,-40.003967,-50.55542,17.778015,0.012084961,4.5230103,8.428192,-0.008865356,-0.14634705,0.059432983,23.125,-19.984375,2.53125,1.0,1049.0,20190721_105256_260
49,-41.56952,-51.342773,18.943787,0.0647583,4.475128,8.674789,0.009246826,-0.08242798,0.058380127,23.140625,-20.015625,2.59375,1.0,1049.0,20190721_105256_280
50,-40.031433,-50.854492,19.309998,0.03842163,4.513443,8.751404,0.044403076,-0.11439514,0.032806396,23.1875,-20.078125,2.8125,1.0,1049.0,20190721_105256_300
51,-40.142822,-52.157593,17.199707,-0.07888794,4.5637207,8.8016815,0.06782532,-0.15913391,0.018966675,23.1875,-20.109375,3.0625,1.0,1049.0,20190721_105256_320
52,-40.55481,-50.624084,17.14325,-0.03819275,4.573288,8.820831,0.073150635,-0.19215393,0.03173828,23.140625,-20.09375,3.234375,1.0,1049.0,20190721_105256_340
53,-40.855408,-50.958252,18.205261,0.08151245,4.518219,8.947723,0.061447144,-0.16552734,0.044525146,23.109375,-20.109375,3.34375,1.0,1049.0,20190721_105256_360
54,-41.18042,-51.568604,16.525269,0.19883728,4.410492,9.203903,0.046524048,-0.106933594,0.032806396,23.09375,-20.1875,3.578125,1.0,1049.0,20190721_105256_380
