frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-43.00995,-53.840637,19.241333,1.3743896,3.6036377,8.57663,-0.077041626,-0.02810669,-0.12591553,50.40625,-20.71875,2.03125,1.0,1097.0,20190721_105446_727
2,-42.68341,-53.216553,18.173218,1.668869,3.5366058,8.715485,-0.11538696,-0.012130737,0.051986694,11.28125,-23.65625,9.53125,1.0,1097.0,20190721_105446_787
3,-42.523193,-54.493713,18.211365,1.6952057,3.505478,8.739426,-0.11859131,-0.021713257,0.04345703,11.28125,-23.65625,9.53125,1.0,1097.0,20190721_105446_799
4,-42.422485,-54.908752,17.311096,1.6832428,3.4934998,8.732254,-0.11752319,-4.119873E-4,0.028549194,11.28125,-23.65625,9.53125,1.0,1097.0,20190721_105446_820
5,-41.584778,-54.65393,17.192078,1.6497192,3.4528046,8.689148,-0.12817383,0.04220581,0.01789856,11.28125,-23.65625,9.53125,1.0,1097.0,20190721_105446_839
6,-41.796875,-53.962708,17.774963,1.6497192,3.4552002,8.825623,-0.14628601,0.07522583,0.0061798096,11.28125,-23.578125,9.546875,1.0,1097.0,20190721_105446_859
7,-43.22357,-54.733276,19.099426,1.6401367,3.4336548,9.009979,-0.13137817,0.121032715,-0.0140686035,11.25,-23.4375,9.5625,1.0,1097.0,20190721_105446_879
8,-41.921997,-53.83911,18.37616,1.6329651,3.3618317,9.057861,-0.09729004,0.107177734,-0.053482056,11.25,-23.375,9.5625,1.0,1097.0,20190721_105446_899
9,-41.807556,-52.523804,18.045044,1.6832428,3.4168854,9.043503,-0.057876587,0.059249878,-0.1003418,11.234375,-23.21875,9.5,1.0,1097.0,20190721_105446_919
10,-42.019653,-53.411865,17.140198,1.5180359,3.5629425,8.828018,-0.037628174,0.021957397,-0.13763428,11.21875,-23.0625,9.40625,1.0,1097.0,20190721_105446_939
11,-42.259216,-53.016663,18.341064,1.2881927,3.5988464,8.789703,-0.058929443,0.0038452148,-0.14509583,11.234375,-22.921875,9.265625,1.0,1097.0,20190721_105446_960
12,-42.359924,-54.18091,17.601013,1.2953796,3.6467285,8.983643,-0.05041504,0.06137085,-0.12272644,11.3125,-22.84375,9.15625,1.0,1097.0,20190721_105446_980
13,-43.110657,-53.42102,19.073486,1.2498932,3.7137756,8.957306,-0.003540039,0.13487244,-0.10673523,11.4375,-22.828125,9.046875,1.0,1097.0,20190721_105446_999
14,-42.282104,-53.300476,16.819763,1.1541138,3.718567,8.828018,0.025222778,0.1199646,-0.107803345,11.59375,-22.796875,8.96875,1.0,1097.0,20190721_105447_019
15,-41.870117,-53.248596,17.295837,1.0631409,3.7640533,8.794495,0.027359009,0.09866333,-0.10673523,11.75,-22.75,8.890625,1.0,1097.0,20190721_105447_040
16,-41.43524,-54.496765,18.415833,1.0080719,3.7999573,8.7777405,0.012435913,0.14553833,-0.07585144,11.875,-22.75,8.734375,1.0,1097.0,20190721_105447_060
17,-41.39557,-54.05121,16.880798,1.0104675,3.766449,8.964493,0.008178711,0.18281555,-0.049209595,11.953125,-22.78125,8.546875,1.0,1097.0,20190721_105447_080
18,-41.722107,-53.094482,18.978882,1.0224457,3.7137756,9.065048,0.05505371,0.19134521,-0.039627075,12.046875,-22.828125,8.390625,1.0,1097.0,20190721_105447_100
19,-40.62195,-54.52881,17.539978,0.9362488,3.704193,9.045883,0.08381653,0.20518494,-0.03643799,12.140625,-22.875,8.234375,1.0,1097.0,20190721_105447_119
20,-40.434265,-53.93219,18.449402,0.8165436,3.6347656,9.182358,0.09339905,0.20944214,-0.009796143,12.15625,-22.875,8.140625,1.0,1097.0,20190721_105447_139
21,-41.734314,-54.815674,16.882324,0.77822876,3.541397,9.393051,0.11151123,0.18707275,0.0019226074,12.171875,-22.890625,7.921875,1.0,1097.0,20190721_105447_160
22,-40.59906,-54.2511,20.127869,0.6321869,3.5126648,9.381073,0.14985657,0.18495178,0.010437012,12.171875,-22.953125,7.703125,1.0,1097.0,20190721_105447_180
23,-40.933228,-53.419495,18.107605,0.407135,3.4336548,9.383469,0.16264343,0.17749023,0.028549194,12.125,-23.15625,7.25,1.0,1097.0,20190721_105447_199
24,-40.57007,-52.363586,18.405151,0.29460144,3.359436,9.364319,0.15838623,0.14447021,0.073287964,12.078125,-23.28125,7.0625,1.0,1097.0,20190721_105447_219
25,-41.08429,-53.58429,18.257141,0.29460144,3.2469025,9.268555,0.11790466,0.12742615,0.12548828,12.0,-23.4375,6.875,1.0,1097.0,20190721_105447_240
26,-41.11023,-53.88031,19.026184,0.23953247,3.1894379,9.333191,0.030548096,0.12210083,0.1776886,11.921875,-23.625,6.703125,1.0,1097.0,20190721_105447_260
27,-40.483093,-52.934265,19.33899,0.28501892,3.074524,9.539093,-0.05253601,0.099731445,0.24372864,11.796875,-23.796875,6.578125,1.0,1097.0,20190721_105447_280
28,-42.359924,-54.18396,18.363953,0.3113556,2.928482,9.737808,-0.09408569,0.06990051,0.2831421,11.625,-23.921875,6.5,1.0,1097.0,20190721_105447_299
29,-41.74652,-53.381348,18.222046,0.3496704,2.8446808,9.8647,-0.12498474,0.08055115,0.31297302,11.390625,-23.9375,6.453125,1.0,1097.0,20190721_105447_319
30,-42.948914,-54.69818,19.111633,0.37600708,2.7920074,10.116104,-0.121780396,0.121032715,0.33747864,11.109375,-23.859375,6.453125,1.0,1097.0,20190721_105447_340
31,-42.4942,-52.607727,16.793823,0.43107605,2.612442,10.163986,-0.055740356,0.1476593,0.3577118,10.78125,-23.71875,6.5,1.0,1097.0,20190721_105447_359
32,-42.67273,-54.65851,18.3609,0.5268402,2.3802032,9.8647,0.035873413,0.08908081,0.33215332,10.40625,-23.53125,6.5625,1.0,1097.0,20190721_105447_379
33,-42.19513,-52.282715,17.562866,0.38319397,2.2269745,9.431351,0.108306885,-0.054733276,0.26290894,10.0,-23.34375,6.59375,1.0,1097.0,20190721_105447_399
34,-42.895508,-52.519226,17.687988,0.12461853,2.1862793,8.885483,0.13388062,-0.21665955,0.21284485,9.578125,-23.21875,6.609375,1.0,1097.0,20190721_105447_419
35,-43.77289,-53.224182,20.10498,0.07673645,2.22937,8.562256,0.1136322,-0.35087585,0.186203,9.15625,-23.203125,6.65625,1.0,1097.0,20190721_105447_439
36,-44.54651,-52.7359,17.614746,0.09828186,2.3131714,8.361145,0.108306885,-0.38710022,0.15531921,8.84375,-23.28125,6.8125,1.0,1097.0,20190721_105447_459
37,-42.70935,-53.504944,17.721558,0.17010498,2.4999084,8.033142,0.09339905,-0.33277893,0.11376953,8.640625,-23.390625,7.125,1.0,1097.0,20190721_105447_479
38,-42.996216,-52.10724,19.047546,0.04800415,2.7489166,7.779358,0.0028533936,-0.22198486,0.06477356,8.5625,-23.453125,7.328125,1.0,1097.0,20190721_105447_499
39,-43.54706,-53.75824,17.533875,-0.22254944,2.9141083,8.066666,-0.17079163,-0.022781372,0.06263733,8.4375,-23.546875,7.796875,1.0,1097.0,20190721_105447_520
40,-42.533875,-53.053284,18.328857,-0.2967682,2.8997498,8.6436615,-0.23683167,0.20306396,0.10630798,8.359375,-23.640625,8.25,1.0,1097.0,20190721_105447_540
41,-42.869568,-52.227783,17.681885,-0.18902588,2.7608795,9.079407,-0.1963501,0.4182434,0.13613892,8.3125,-23.6875,8.71875,1.0,1097.0,20190721_105447_560
42,-43.406677,-52.153015,17.501831,-0.18423462,2.6962433,9.108139,-0.13882446,0.5002594,0.12123108,8.28125,-23.546875,8.84375,1.0,1097.0,20190721_105447_580
43,-43.769836,-53.207397,16.748047,-0.2033844,2.7632751,9.129684,-0.1409607,0.37882996,0.07861328,8.234375,-23.40625,8.828125,1.0,1097.0,20190721_105447_600
44,-43.382263,-51.867676,18.565369,-0.3183136,2.830307,9.184753,-0.1452179,0.16044617,0.056243896,7.96875,-23.015625,8.46875,1.0,1097.0,20190721_105447_620
45,-43.434143,-52.453613,19.033813,-0.17227173,2.9500275,9.091385,-0.10580444,-0.031295776,0.07221985,7.84375,-22.90625,8.265625,1.0,1097.0,20190721_105447_639
46,-42.970276,-51.812744,18.58368,-0.05255127,2.9667816,8.804077,-0.02911377,-0.1346283,0.06477356,7.515625,-22.640625,7.609375,1.0,1097.0,20190721_105447_660
