frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-42.634583,-54.22058,18.351746,0.8165436,3.311554,8.473679,-0.015258789,0.025161743,0.011505127,34.21875,-16.984375,4.515625,1.0,1157.0,20190721_105759_091
2,-41.64734,-53.807068,19.152832,0.8117523,3.3091583,8.516769,-0.034439087,0.029418945,0.011505127,39.203125,-20.953125,2.734375,1.0,1157.0,20190721_105759_095
3,-40.872192,-54.281616,19.047546,0.84765625,3.2588806,8.868713,-0.072784424,0.017700195,0.004043579,39.203125,-20.953125,2.734375,1.0,1157.0,20190721_105759_114
4,-41.923523,-53.848267,20.20874,0.9003296,3.213379,8.904633,-0.041885376,-0.031295776,-0.01725769,39.203125,-20.953125,2.734375,1.0,1157.0,20190721_105759_135
5,-42.39807,-54.623413,18.678284,0.8739929,3.2636566,8.737045,-0.03656006,-0.04408264,-0.032165527,39.203125,-20.953125,2.734375,1.0,1157.0,20190721_105759_157
6,-41.836548,-54.41284,20.072937,0.8524475,3.2157745,8.729858,-0.086639404,-0.033432007,-0.03111267,39.203125,-20.875,2.703125,1.0,1157.0,20190721_105759_175
7,-41.986084,-54.57611,19.917297,0.90512085,3.2062073,8.933365,-0.10580444,-0.022781372,-0.04069519,39.234375,-20.796875,2.734375,1.0,1157.0,20190721_105759_196
8,-41.46118,-54.797363,20.25299,0.97694397,3.2469025,8.916595,-0.08982849,-0.011062622,-0.05027771,39.28125,-20.75,2.765625,1.0,1157.0,20190721_105759_215
9,-42.549133,-54.789734,19.285583,0.96258545,3.208603,8.847168,-0.10900879,-0.07070923,-0.07797241,39.328125,-20.640625,2.78125,1.0,1157.0,20190721_105759_236
10,-40.896606,-54.563904,17.222595,1.0511627,3.1583252,9.254181,-0.09196472,-0.09309387,-0.10461426,39.375,-20.53125,2.796875,1.0,1157.0,20190721_105759_256
11,-41.19873,-54.89807,18.589783,1.1565094,3.2828217,9.2901,0.022018433,-0.07923889,-0.13656616,39.4375,-20.4375,2.78125,1.0,1157.0,20190721_105759_275
12,-42.185974,-55.311584,17.788696,1.1804504,3.4025269,9.067444,0.12748718,-0.064331055,-0.15893555,39.5625,-20.3125,2.84375,1.0,1157.0,20190721_105759_295
13,-41.986084,-54.570007,18.696594,1.1660919,3.5605469,8.672394,0.16796875,-0.06326294,-0.13977051,39.703125,-20.234375,2.890625,1.0,1157.0,20190721_105759_315
14,-41.07361,-55.02777,18.751526,1.2163696,3.625183,8.322845,0.10618591,-0.07710266,-0.06732178,39.890625,-20.28125,2.921875,1.0,1157.0,20190721_105759_337
15,-39.822388,-53.14026,20.13855,1.4486084,3.546173,8.361145,-0.014190674,-0.06858826,0.014694214,40.078125,-20.4375,2.921875,1.0,1157.0,20190721_105759_355
16,-40.135193,-55.19409,18.798828,1.6353607,3.419281,8.602966,-0.13243103,0.012374878,0.06689453,40.234375,-20.640625,2.9375,1.0,1157.0,20190721_105759_377
17,-41.560364,-54.37317,19.322205,1.8197021,3.3785858,9.179962,-0.20062256,0.083740234,0.089263916,40.3125,-20.734375,3.0,1.0,1157.0,20190721_105759_396
18,-41.796875,-53.96881,18.995667,1.9130859,3.335495,9.598953,-0.1377716,0.064575195,0.08287048,40.296875,-20.703125,3.078125,1.0,1157.0,20190721_105759_413
19,-41.921997,-53.834534,17.61322,1.9585724,3.2397156,9.543884,-0.026977539,-0.036621094,0.06263733,40.21875,-20.53125,3.078125,1.0,1157.0,20190721_105759_436
20,-41.43524,-54.49524,18.110657,2.0423737,3.2349396,9.105743,0.038009644,-0.209198,0.032806396,40.21875,-20.53125,3.078125,1.0,1157.0,20190721_105759_454
21,-41.496277,-53.634644,17.475891,2.1477203,3.3307037,8.61972,0.033737183,-0.3348999,-0.007675171,40.015625,-20.171875,3.0,1.0,1157.0,20190721_105759_474
22,-40.74707,-54.40674,18.44635,2.2075653,3.5006866,8.337204,7.171631E-4,-0.34555054,-0.06625366,39.953125,-20.140625,3.078125,1.0,1157.0,20190721_105759_494
23,-41.3208,-53.182983,18.389893,2.099823,3.6156158,8.155243,-0.0024719238,-0.26353455,-0.11100769,39.953125,-20.140625,3.078125,1.0,1157.0,20190721_105759_514
24,-41.671753,-54.092407,18.089294,1.984909,3.7640533,8.138489,-0.011001587,-0.059005737,-0.11633301,40.046875,-20.21875,3.6875,1.0,1157.0,20190721_105759_536
25,-40.40985,-53.645325,19.206238,1.8915405,3.79039,8.160034,-0.035491943,0.1157074,-0.08757019,40.125,-20.21875,3.875,1.0,1157.0,20190721_105759_555
26,-41.445923,-53.05481,18.22815,1.9777222,3.7329254,8.227066,-0.07385254,0.12954712,-0.06945801,40.296875,-20.21875,4.15625,1.0,1157.0,20190721_105759_575
27,-41.584778,-54.655457,17.497253,2.071106,3.7568665,8.456909,-0.121780396,0.08161926,-0.088638306,40.453125,-20.21875,4.265625,1.0,1157.0,20190721_105759_597
28,-39.624023,-55.558777,18.832397,2.051941,3.7401123,8.710709,-0.13989258,0.074157715,-0.098220825,40.5625,-20.203125,4.15625,1.0,1157.0,20190721_105759_615
29,-41.07361,-55.026245,18.44635,1.984909,3.6419525,8.820831,-0.107940674,0.10505676,-0.10140991,40.609375,-20.15625,4.0,1.0,1157.0,20190721_105759_634
30,-40.646362,-54.821777,17.544556,2.0040588,3.6706848,8.911819,-0.072784424,0.175354,-0.10354614,40.6875,-20.03125,3.859375,1.0,1157.0,20190721_105759_654
31,-39.83307,-54.856873,16.973877,2.0543365,3.7496796,9.206299,-0.05041504,0.19772339,-0.098220825,40.78125,-19.890625,3.734375,1.0,1157.0,20190721_105759_674
32,-39.720154,-53.546143,17.4057,2.0423737,3.6347656,9.464874,0.034805298,0.097595215,-0.09182739,40.890625,-19.765625,3.609375,1.0,1157.0,20190721_105759_694
33,-40.922546,-54.86145,18.296814,2.130951,3.6275787,9.218277,0.14772034,-0.015319824,-0.11100769,40.984375,-19.671875,3.40625,1.0,1157.0,20190721_105759_714
34,-41.39557,-54.05121,16.880798,1.9801178,3.6347656,8.883087,0.1839447,-0.021713257,-0.12698364,41.0625,-19.609375,3.15625,1.0,1157.0,20190721_105759_735
35,-39.79492,-52.838135,18.301392,1.779007,3.680252,8.765762,0.16157532,-0.01638794,-0.10673523,41.140625,-19.609375,2.96875,1.0,1157.0,20190721_105759_755
36,-41.64734,-53.80249,18.388367,1.6593018,3.6203918,8.79689,0.13174438,-0.054733276,-0.06199646,41.25,-19.734375,2.90625,1.0,1157.0,20190721_105759_773
