frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-45.30182,-55.155945,20.233154,0.55078125,3.3067627,9.261368,-0.04508972,-0.3902893,-0.065200806,24.0625,-20.40625,3.421875,1.0,1075.0,20190721_105357_802
2,-44.21234,-55.152893,19.367981,0.5675354,3.3067627,8.907028,0.0071105957,-0.099472046,-0.06199646,24.3125,-20.375,3.609375,1.0,1075.0,20190721_105357_859
3,-43.188477,-55.88379,19.282532,0.5962677,3.2732391,8.897446,0.0017852783,-0.10267639,-0.058807373,49.53125,-19.515625,3.96875,1.0,1075.0,20190721_105357_866
4,-44.68689,-54.351807,19.937134,0.65133667,3.2205658,8.883087,-0.007797241,-0.06645203,-0.072647095,49.53125,-19.515625,3.96875,1.0,1075.0,20190721_105357_886
5,-42.82379,-54.821777,18.510437,0.5938721,3.2780304,8.73465,0.012435913,-0.052612305,-0.096084595,49.53125,-19.515625,3.96875,1.0,1075.0,20190721_105357_907
6,-44.200134,-56.585693,17.72461,0.5052948,3.3450623,8.669998,0.0028533936,-0.040893555,-0.09715271,49.578125,-19.515625,4.0,1.0,1075.0,20190721_105357_926
7,-43.678284,-56.819153,20.350647,0.52204895,3.2469025,8.808868,-0.003540039,-0.019577026,-0.06945801,49.6875,-19.53125,4.046875,1.0,1075.0,20190721_105357_946
8,-43.652344,-56.523132,19.581604,0.5938721,3.1918335,8.835205,0.0071105957,-0.0057373047,-0.065200806,49.859375,-19.546875,4.0625,1.0,1075.0,20190721_105357_969
9,-43.937683,-55.119324,19.837952,0.6321869,3.1631012,8.811264,0.0017852783,-4.119873E-4,-0.08117676,49.859375,-19.546875,4.0625,1.0,1075.0,20190721_105357_988
10,-43.447876,-54.185486,18.92395,0.5675354,3.1678925,8.873505,-0.011001587,0.008117676,-0.096084595,50.0,-19.5625,4.0625,1.0,1075.0,20190721_105358_006
11,-43.338013,-56.04248,18.362427,0.59147644,3.208603,8.890274,-0.012069702,0.024093628,-0.08224487,50.03125,-19.5625,4.046875,1.0,1075.0,20190721_105358_026
12,-44.337463,-55.026245,19.511414,0.70880127,3.177475,8.799286,-0.0046081543,6.5612793E-4,-0.058807373,50.125,-19.578125,4.03125,1.0,1075.0,20190721_105358_046
13,-43.800354,-56.678772,18.051147,0.838089,3.1319885,8.693939,-0.022720337,-0.015319824,-0.05455017,50.21875,-19.578125,3.984375,1.0,1075.0,20190721_105358_068
14,-43.27545,-55.317688,19.111633,0.9506073,3.1271973,8.823227,-0.03656006,0.0070495605,-0.08224487,50.328125,-19.578125,3.9375,1.0,1075.0,20190721_105358_087
15,-43.78662,-54.953003,19.535828,0.9889221,3.2038116,9.0147705,-0.020584106,0.11782837,-0.1237793,50.40625,-19.578125,3.890625,1.0,1075.0,20190721_105358_106
16,-42.72461,-55.247498,19.441223,0.94104004,3.3091583,8.969269,0.011367798,0.12849426,-0.14935303,50.453125,-19.5625,3.875,1.0,1075.0,20190721_105358_126
17,-42.549133,-54.79431,20.048523,0.9577942,3.450409,8.705917,0.016693115,0.0027923584,-0.14189148,50.53125,-19.53125,3.875,1.0,1075.0,20190721_105358_147
18,-42.948914,-54.699707,19.41681,1.0511627,3.5198364,8.437759,-0.044021606,-0.09309387,-0.086502075,50.65625,-19.5,3.75,1.0,1075.0,20190721_105358_168
19,-41.862488,-54.708862,20.843506,1.2355194,3.5557556,8.636475,-0.13243103,-0.056869507,-0.020462036,50.78125,-19.515625,3.546875,1.0,1075.0,20190721_105358_187
20,-42.037964,-55.16205,20.539856,1.4940948,3.5318146,8.940552,-0.15054321,0.039001465,0.021087646,50.9375,-19.546875,3.421875,1.0,1075.0,20190721_105358_206
