frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-47.82715,-54.48456,21.928406,1.0128632,4.439209,8.49762,0.22975159,0.14021301,-0.15467834,34.625,-26.078125,2.59375,1.0,1186.0,20190721_105910_446
2,-48.501587,-54.421997,20.674133,1.2522888,4.427246,8.167221,-0.11538696,0.056045532,0.09140015,28.90625,-27.5625,6.203125,1.0,1187.0,20190721_105910_502
3,-48.002625,-54.93164,20.251465,1.4055176,4.3937225,8.334808,-0.15907288,0.03793335,0.077545166,28.90625,-27.5625,6.203125,1.0,1187.0,20190721_105910_515
4,-48.013306,-53.494263,20.826721,1.4294586,4.3625946,8.535919,-0.16546631,6.5612793E-4,0.01789856,28.90625,-27.5625,6.203125,1.0,1187.0,20190721_105910_536
5,-48.553467,-55.015564,22.517395,1.3552399,4.379364,8.562256,-0.12284851,-0.029174805,-0.035369873,28.90625,-27.5625,6.203125,1.0,1187.0,20190721_105910_555
6,-47.82715,-54.47998,20.86029,1.2977753,4.4416046,8.423401,-0.08557129,-0.031295776,-0.06625366,28.8125,-27.359375,6.203125,1.0,1187.0,20190721_105910_575
7,-47.439575,-54.71649,20.883179,1.2881927,4.4631653,8.255798,-0.08343506,-0.03236389,-0.08757019,28.8125,-27.171875,6.21875,1.0,1187.0,20190721_105910_596
8,-48.22693,-54.3869,20.68634,1.2618561,4.525406,8.253403,-0.10687256,-0.024917603,-0.10673523,28.875,-27.046875,6.234375,1.0,1187.0,20190721_105910_615
9,-49.01581,-54.06494,22.31903,1.0607452,4.506256,8.341995,-0.11326599,-0.031295776,-0.12059021,28.984375,-26.953125,6.234375,1.0,1187.0,20190721_105910_637
10,-47.390747,-54.14276,22.703552,0.95539856,4.5637207,8.365936,-0.107940674,-0.03768921,-0.109939575,29.09375,-26.859375,6.203125,1.0,1187.0,20190721_105910_656
11,-46.713257,-54.188538,20.753479,0.9194946,4.5828705,8.368332,-0.10687256,-0.008926392,-0.08543396,29.234375,-26.765625,6.171875,1.0,1187.0,20190721_105910_675
12,-47.299194,-53.10669,19.78302,0.92189026,4.5110474,8.397064,-0.100479126,0.017700195,-0.06199646,29.390625,-26.65625,6.15625,1.0,1187.0,20190721_105910_696
13,-47.82715,-54.478455,20.553589,0.95539856,4.4487915,8.380295,-0.086639404,0.014511108,-0.055603027,29.53125,-26.546875,6.125,1.0,1187.0,20190721_105910_716
14,-47.213745,-53.67737,20.716858,0.9506073,4.4416046,8.385086,-0.08024597,0.021957397,-0.07159424,29.578125,-26.484375,6.109375,1.0,1187.0,20190721_105910_736
15,-47.113037,-54.093933,20.12024,0.85484314,4.482315,8.370728,-0.074920654,0.025161743,-0.08757019,29.703125,-26.328125,6.046875,1.0,1187.0,20190721_105910_757
16,-47.30072,-53.11432,21.156311,0.7686615,4.501465,8.318054,-0.08024597,0.015563965,-0.08543396,29.765625,-26.234375,6.0,1.0,1187.0,20190721_105910_775
17,-45.625305,-54.190063,20.651245,0.8021698,4.5637207,8.262985,-0.08982849,-0.009994507,-0.076919556,29.84375,-26.15625,5.9375,1.0,1187.0,20190721_105910_795
18,-47.288513,-54.548645,19.970703,0.80696106,4.611603,8.24144,-0.09301758,-0.0046691895,-0.072647095,29.84375,-26.15625,5.9375,1.0,1187.0,20190721_105910_817
19,-46.60034,-52.882385,22.10083,0.838089,4.707367,8.3013,-0.100479126,0.044326782,-0.053482056,29.953125,-26.078125,5.875,1.0,1187.0,20190721_105910_835
20,-47.81494,-55.915833,19.979858,0.8883667,4.695389,8.500015,-0.12498474,0.10185242,-0.032165527,30.046875,-26.0,5.8125,1.0,1187.0,20190721_105910_856
21,-46.977234,-55.65796,19.096375,1.0344086,4.690613,8.79689,-0.11645508,0.1391449,-0.02684021,30.1875,-25.859375,5.765625,1.0,1187.0,20190721_105910_875
22,-47.41516,-54.429626,21.64154,1.1253967,4.659485,8.945328,-0.06425476,0.17962646,-0.04283142,30.265625,-25.75,5.71875,1.0,1187.0,20190721_105910_897
23,-45.599365,-53.89099,19.119263,1.1182098,4.6499023,8.993225,-0.012069702,0.1987915,-0.08010864,30.28125,-25.625,5.609375,1.0,1187.0,20190721_105910_915
24,-46.83838,-54.063416,21.202087,0.9673767,4.585266,9.055466,0.02947998,0.19239807,-0.119522095,30.296875,-25.5,5.46875,1.0,1187.0,20190721_105910_934
25,-46.713257,-54.188538,20.753479,0.79260254,4.5996246,9.156021,0.08274841,0.16044617,-0.14189148,30.296875,-25.40625,5.296875,1.0,1187.0,20190721_105910_954
26,-46.113586,-55.114746,19.735718,0.49331665,4.4320374,8.988434,0.11151123,0.13275146,-0.12059021,30.328125,-25.375,5.0625,1.0,1187.0,20190721_105910_975
27,-47.07794,-55.24597,20.761108,0.4190979,4.2261353,8.825623,0.056106567,0.111450195,-0.07052612,30.390625,-25.40625,4.8125,1.0,1187.0,20190721_105910_996
28,-46.20056,-54.551697,20.17517,0.41670227,4.02742,8.933365,-0.026977539,0.06990051,-0.060928345,30.5,-25.484375,4.5625,1.0,1187.0,20190721_105911_016
29,-46.176147,-54.260254,20.169067,0.30418396,3.881363,9.079407,-0.055740356,0.03048706,-0.08757019,30.609375,-25.625,4.359375,1.0,1187.0,20190721_105911_035
30,-46.93756,-53.63617,19.66095,0.09828186,3.8789673,9.043503,-0.04083252,-0.013198853,-0.11312866,30.671875,-25.71875,4.1875,1.0,1187.0,20190721_105911_054
31,-45.724487,-53.76587,19.720459,-0.14593506,3.9747467,8.904633,-0.05041504,-0.071777344,-0.09928894,30.71875,-25.734375,4.0625,1.0,1187.0,20190721_105911_076
32,-46.124268,-53.675842,20.158386,-0.23690796,4.0776978,9.041107,-0.110061646,-0.099472046,-0.023651123,30.859375,-25.65625,3.953125,1.0,1187.0,20190721_105911_096
33,-46.95282,-55.371094,20.159912,-0.13635254,3.9747467,9.196732,-0.14628601,-0.08137512,0.07435608,30.921875,-25.640625,3.921875,1.0,1187.0,20190721_105911_115
34,-46.27533,-53.84369,20.765686,0.07673645,3.8071442,9.208694,-0.1643982,-0.052612305,0.15531921,31.0625,-25.59375,3.921875,1.0,1187.0,20190721_105911_136
35,-46.76361,-54.769897,20.306396,0.328125,3.6682892,9.287704,-0.17504883,-0.03024292,0.18833923,31.140625,-25.515625,3.984375,1.0,1187.0,20190721_105911_154
36,-46.473694,-52.999878,20.124817,0.49092102,3.541397,9.335587,-0.12817383,-0.040893555,0.17341614,31.078125,-25.25,4.15625,1.0,1187.0,20190721_105911_178
37,-46.20056,-54.545593,19.107056,0.5076904,3.426468,9.144058,-0.026977539,-0.08882141,0.14360046,30.921875,-25.046875,4.296875,1.0,1187.0,20190721_105911_196
