frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-43.598938,-54.34723,18.614197,0.6178131,3.1798706,9.041107,-0.058929443,0.0730896,-0.01939392,8.890625,-27.0,-7.421875,1.0,1125.0,20190721_105659_429
2,-42.70935,-53.504944,17.721558,0.3616333,3.2540894,8.871109,-0.024841309,0.050720215,-0.01939392,40.921875,-18.765625,5.25,1.0,1125.0,20190721_105659_448
3,-43.637085,-54.785156,18.623352,0.24432373,3.3235168,8.653244,-0.06958008,0.029418945,0.03387451,40.921875,-18.765625,5.25,1.0,1125.0,20190721_105659_468
4,-43.29834,-55.6015,17.590332,0.18685913,3.3091583,8.729858,-0.15586853,0.041137695,0.0839386,40.921875,-18.765625,5.25,1.0,1125.0,20190721_105659_488
5,-44.06128,-54.978943,17.38739,0.11982727,3.31633,9.079407,-0.2155304,0.10505676,0.108444214,40.9375,-18.734375,5.171875,1.0,1125.0,20190721_105659_508
6,-43.484497,-54.60968,16.337585,0.07673645,3.3857727,9.412201,-0.19955444,0.15298462,0.11802673,40.90625,-18.671875,5.15625,1.0,1125.0,20190721_105659_526
7,-44.309998,-54.718018,16.300964,0.10545349,3.3666077,9.294891,-0.1377716,0.11250305,0.1308136,40.828125,-18.484375,5.140625,1.0,1125.0,20190721_105659_549
8,-45.298767,-55.140686,17.332458,0.16052246,3.3977356,8.899841,-0.13989258,-0.0036010742,0.124420166,40.6875,-18.25,5.078125,1.0,1125.0,20190721_105659_568
9,-45.596313,-53.875732,16.218567,0.17250061,3.4934998,8.763367,-0.19316101,-0.07710266,0.089263916,40.546875,-18.0,4.96875,1.0,1125.0,20190721_105659_587
10,-43.52112,-53.466797,17.529297,0.05757141,3.608429,8.938156,-0.21446228,0.01876831,0.07115173,40.390625,-17.8125,4.875,1.0,1125.0,20190721_105659_608
11,-42.832947,-53.372192,16.79535,-0.05015564,3.6515198,9.036316,-0.19848633,0.17642212,0.0881958,40.25,-17.65625,4.90625,1.0,1125.0,20190721_105659_627
12,-44.033813,-54.681396,16.313171,0.05996704,3.6826477,9.0147705,-0.18463135,0.22010803,0.110580444,40.15625,-17.4375,5.015625,1.0,1125.0,20190721_105659_648
13,-43.08014,-53.10669,14.640808,0.2778473,3.663498,8.921387,-0.15693665,0.1157074,0.07647705,40.09375,-17.1875,5.03125,1.0,1125.0,20190721_105659_667
14,-43.9209,-53.367615,16.285706,0.32572937,3.6275787,8.6436615,-0.12284851,0.010238647,0.01789856,39.984375,-16.953125,4.890625,1.0,1125.0,20190721_105659_688
15,-44.883728,-53.49579,16.549683,0.3209381,3.6682892,8.490433,-0.10900879,0.0059814453,-0.025787354,39.828125,-16.734375,4.6875,1.0,1125.0,20190721_105659_707
16,-44.04602,-53.24707,17.49878,0.21798706,3.723343,8.543106,-0.09089661,0.10505676,-0.043884277,39.71875,-16.53125,4.578125,1.0,1125.0,20190721_105659_730
17,-44.15741,-52.963257,15.501404,0.012084961,3.7472992,8.703522,-0.05680847,0.18707275,-0.030044556,39.703125,-16.390625,4.5625,1.0,1125.0,20190721_105659_747
18,-43.795776,-53.497314,16.447449,-0.15072632,3.742508,8.725067,-0.024841309,0.12954712,0.0051116943,39.71875,-16.265625,4.546875,1.0,1125.0,20190721_105659_767
19,-43.307495,-52.568054,16.601562,-0.20100403,3.6730652,8.8567505,-0.037628174,0.047531128,0.056243896,39.765625,-16.15625,4.4375,1.0,1125.0,20190721_105659_786
20,-43.043518,-52.671814,15.394592,-0.1124115,3.608429,9.103348,-0.021652222,-0.009994507,0.096725464,39.78125,-16.09375,4.234375,1.0,1125.0,20190721_105659_807
21,-44.721985,-54.766846,15.519714,-0.0262146,3.5701141,9.009979,0.030548096,-0.06645203,0.110580444,39.75,-16.0625,4.078125,1.0,1125.0,20190721_105659_828
22,-44.12079,-54.112244,15.684509,0.11503601,3.6203918,8.775345,0.040130615,-0.13783264,0.108444214,39.6875,-16.015625,4.03125,1.0,1125.0,20190721_105659_847
23,-44.070435,-53.529358,15.672302,0.27305603,3.7401123,8.602966,0.02947998,-0.24328613,0.0796814,39.640625,-16.0,4.03125,1.0,1125.0,20190721_105659_866
24,-43.90869,-54.804993,15.405273,0.4190979,3.8957367,8.464096,0.01776123,-0.29122925,0.05517578,39.53125,-15.984375,4.09375,1.0,1125.0,20190721_105659_887
25,-44.918823,-52.337646,14.840698,0.4262848,4.008255,8.555084,0.0071105957,-0.22517395,0.03387451,39.40625,-16.015625,4.234375,1.0,1125.0,20190721_105659_907
26,-44.670105,-52.600098,16.079712,0.40234375,4.0657196,8.859146,0.016693115,-0.10267639,0.030685425,39.328125,-16.046875,4.453125,1.0,1125.0,20190721_105659_928
27,-44.958496,-54.36554,15.498352,0.54119873,4.0848694,9.189545,0.040130615,-0.046218872,0.05091858,39.296875,-16.078125,4.78125,1.0,1125.0,20190721_105659_947
28,-44.73419,-53.33252,16.705322,0.8093567,4.0369873,9.402618,0.058242798,-0.14634705,0.038131714,39.28125,-16.09375,5.09375,1.0,1125.0,20190721_105659_967
29,-45.24536,-52.96936,17.129517,0.96258545,3.960373,9.496002,0.06889343,-0.27098083,-0.013000488,39.28125,-16.09375,5.296875,1.0,1125.0,20190721_105659_986
30,-45.121765,-53.09906,17.596436,1.0056763,3.8741913,9.699509,0.057174683,-0.29229736,-0.04815674,39.234375,-16.109375,5.390625,1.0,1125.0,20190721_105700_008
31,-45.59784,-53.881836,17.288208,1.0655365,3.7616577,9.955688,0.0859375,-0.209198,-0.065200806,39.1875,-16.15625,5.484375,1.0,1125.0,20190721_105700_028
32,-44.12079,-54.110718,15.3793335,1.1541138,3.6443481,9.991592,0.15625,-0.111190796,-0.08224487,39.203125,-16.234375,5.703125,1.0,1125.0,20190721_105700_046
33,-44.898987,-55.229187,16.74347,1.0583496,3.4599915,9.744995,0.17008972,-0.06538391,-0.098220825,39.265625,-16.3125,6.0,1.0,1125.0,20190721_105700_066
34,-43.971252,-53.952026,16.297913,0.9673767,3.3618317,9.874283,0.09553528,-0.0036010742,-0.088638306,39.375,-16.375,6.28125,1.0,1125.0,20190721_105700_086
35,-45.111084,-54.544067,18.241882,0.6752777,3.1439514,10.314819,0.04333496,0.13381958,-0.07159424,39.46875,-16.515625,6.4375,1.0,1125.0,20190721_105700_106
36,-43.922424,-53.378296,18.118286,0.5172577,2.916504,10.685913,0.028411865,0.26696777,-0.01939392,39.578125,-16.71875,6.515625,1.0,1125.0,20190721_105700_126
37,-44.223022,-53.70636,18.417358,0.51008606,2.648346,10.800842,0.045455933,0.3287506,0.0093688965,39.6875,-16.90625,6.53125,1.0,1125.0,20190721_105700_147
38,-44.960022,-54.37622,17.634583,0.6968231,2.4161224,10.566208,0.098724365,0.269104,0.0093688965,39.765625,-17.0,6.453125,1.0,1125.0,20190721_105700_167
39,-43.795776,-53.497314,16.447449,1.0487823,2.2557068,9.912598,0.15943909,0.12742615,-0.035369873,39.78125,-17.0625,6.078125,1.0,1125.0,20190721_105700_186
40,-44.459534,-53.303528,17.938232,1.4174805,2.1288147,9.146454,0.17008972,-0.076049805,-0.11312866,39.71875,-17.109375,5.71875,1.0,1125.0,20190721_105700_207
41,-44.148254,-54.418945,18.589783,1.8412628,2.0833282,8.684372,0.13388062,-0.2518158,-0.20048523,39.65625,-17.203125,5.421875,1.0,1125.0,20190721_105700_227
42,-44.935608,-54.083252,17.323303,2.1596832,2.0881042,8.624512,0.14666748,-0.24435425,-0.2931671,39.65625,-17.390625,5.25,1.0,1125.0,20190721_105700_247
43,-43.97278,-53.959656,17.671204,2.1572876,2.1599426,8.483246,0.24998474,-0.07070923,-0.4028778,39.765625,-17.59375,5.265625,1.0,1125.0,20190721_105700_268
44,-42.634583,-54.219055,18.04657,1.8891449,2.399353,8.191162,0.33522034,0.1391449,-0.4731903,40.015625,-17.765625,5.453125,1.0,1125.0,20190721_105700_290
45,-42.170715,-51.9989,19.084167,1.5180359,2.698639,7.889496,0.31071472,0.18814087,-0.4454956,40.375,-17.96875,5.625,1.0,1125.0,20190721_105700_309
46,-42.59491,-52.191162,17.388916,1.3289032,2.8135529,7.841614,0.17648315,0.10612488,-0.30381775,40.828125,-18.28125,5.59375,1.0,1125.0,20190721_105700_329
47,-42.858887,-53.668213,17.564392,1.5156403,2.8039703,8.148071,0.010299683,0.025161743,-0.11419678,41.328125,-18.703125,5.296875,1.0,1125.0,20190721_105700_348
48,-41.571045,-52.931213,19.134521,1.8484344,2.5837097,8.571838,-0.10900879,-0.045150757,0.0029754639,41.5625,-18.921875,5.109375,1.0,1125.0,20190721_105700_368
49,-41.659546,-52.371216,20.33844,2.2123566,2.423294,8.847168,-0.12710571,-0.14741516,-0.010864258,42.125,-19.359375,4.6875,1.0,1125.0,20190721_105700_390
50,-43.371582,-53.303528,17.684937,2.2841797,2.4448395,8.634094,-0.065322876,-0.30613708,-0.12910461,42.265625,-19.40625,4.59375,1.0,1125.0,20190721_105700_408
51,-43.084717,-53.129578,19.372559,2.0687103,2.6004639,8.107361,-0.026977539,-0.43504333,-0.2644043,42.296875,-19.3125,4.625,1.0,1125.0,20190721_105700_427
52,-41.783142,-52.241516,19.871521,1.7885895,2.9859314,7.7434387,-0.06213379,-0.39349365,-0.34429932,42.328125,-19.171875,4.765625,1.0,1125.0,20190721_105700_448
53,-41.37268,-53.770447,19.16504,1.4773407,3.3522491,7.7530212,-0.11538696,-0.2283783,-0.34962463,42.515625,-19.09375,5.03125,1.0,1125.0,20190721_105700_468
54,-40.660095,-53.39203,19.952393,1.269043,3.541397,7.9038544,-0.13882446,-0.06538391,-0.2963562,42.890625,-19.09375,5.390625,1.0,1125.0,20190721_105700_487
55,-40.40985,-53.645325,19.206238,1.1517334,3.5246277,7.9565277,-0.14735413,0.0017242432,-0.22711182,43.109375,-19.078125,5.5625,1.0,1125.0,20190721_105700_508
56,-41.085815,-53.593445,20.089722,1.0583496,3.39534,8.140884,-0.18890381,0.035812378,-0.17279053,43.578125,-19.03125,5.796875,1.0,1125.0,20190721_105700_527
57,-39.157104,-51.748657,19.067383,0.9601898,3.3450623,8.595779,-0.2155304,0.0922699,-0.1472168,44.0,-18.921875,5.84375,1.0,1125.0,20190721_105700_546
58,-41.293335,-51.304626,18.49823,0.91230774,3.419281,8.854355,-0.18995667,0.09440613,-0.11740112,44.578125,-18.640625,5.6875,1.0,1125.0,20190721_105700_567
59,-39.855957,-51.982117,18.429565,0.9075165,3.5030823,8.744217,-0.16758728,0.05178833,-0.060928345,44.578125,-18.640625,5.6875,1.0,1125.0,20190721_105700_586
60,-40.768433,-51.519775,17.611694,1.0511627,3.462387,8.746613,-0.18569946,0.032608032,0.020019531,44.75,-18.4375,5.5625,1.0,1125.0,20190721_105700_606
61,-41.72058,-53.08838,17.758179,1.3360748,3.4288635,9.11293,-0.17504883,0.10398865,0.05731201,44.90625,-18.203125,5.40625,1.0,1125.0,20190721_105700_628
62,-40.818787,-52.104187,17.623901,1.4390259,3.4097137,9.455292,-0.055740356,0.15405273,0.0093688965,45.015625,-18.015625,5.296875,1.0,1125.0,20190721_105700_647
63,-40.29541,-52.32849,18.722534,1.3193207,3.443222,9.2901,0.07635498,0.175354,-0.032165527,45.0625,-17.828125,5.234375,1.0,1125.0,20190721_105700_668
64,-40.33203,-52.764893,18.426514,1.1996155,3.4934998,9.146454,0.08061218,0.15405273,-0.011932373,45.0,-17.609375,5.1875,1.0,1125.0,20190721_105700_689
65,-40.908813,-53.129578,18.408203,1.1876373,3.4839325,9.440933,0.020965576,0.14021301,0.02961731,44.9375,-17.4375,5.078125,1.0,1125.0,20190721_105700_708
66,-41.445923,-53.056335,18.533325,1.0679321,3.3881683,9.962875,0.010299683,0.18495178,0.05091858,44.921875,-17.453125,4.890625,1.0,1125.0,20190721_105700_729
67,-41.38336,-52.32849,18.97583,0.9530029,3.3330994,10.324387,0.0816803,0.21476746,0.049850464,44.921875,-17.546875,4.6875,1.0,1125.0,20190721_105700_747
68,-41.74652,-53.381348,18.222046,0.8715973,3.3546448,10.288483,0.19885254,0.18281555,0.03173828,44.890625,-17.609375,4.53125,1.0,1125.0,20190721_105700_768
69,-40.670776,-51.950073,19.610596,0.75668335,3.498291,9.816818,0.24465942,0.08694458,0.024291992,44.8125,-17.625,4.390625,1.0,1125.0,20190721_105700_789
70,-40.794373,-51.820374,19.143677,0.6465454,3.5605469,9.443329,0.16371155,-0.04196167,0.046661377,44.71875,-17.65625,4.1875,1.0,1125.0,20190721_105700_812
71,-40.368652,-51.618958,19.006348,0.56993103,3.5198364,9.460083,-0.014190674,-0.07710266,0.12335205,44.625,-17.796875,3.96875,1.0,1125.0,20190721_105700_828
72,-40.394592,-51.911926,19.317627,0.5747223,3.3522491,9.984421,-0.20594788,0.012374878,0.21603394,44.53125,-18.1875,3.78125,1.0,1125.0,20190721_105700_848
73,-40.57007,-52.36969,19.473267,0.5364227,2.9931183,10.729019,-0.2943573,0.18174744,0.27035522,44.484375,-18.375,3.828125,1.0,1125.0,20190721_105700_867
74,-40.293884,-52.32544,18.112183,0.45022583,2.7920074,11.224609,-0.22085571,0.30851746,0.2511902,44.375,-18.375,3.953125,1.0,1125.0,20190721_105700_887
75,-40.768433,-51.524353,18.374634,0.2419281,2.6555328,10.966034,-0.057876587,0.2882843,0.19792175,44.15625,-18.140625,4.015625,1.0,1125.0,20190721_105700_908
76,-41.79535,-50.801086,19.987488,0.02406311,2.5525818,10.195114,0.07635498,0.06564331,0.13827515,43.828125,-17.796875,3.9375,1.0,1125.0,20190721_105700_931
77,-40.73181,-51.091003,19.43512,-0.15072632,2.461609,9.36911,0.16903687,-0.16020203,0.11590576,43.5,-17.515625,3.703125,1.0,1125.0,20190721_105700_947
78,-41.207886,-51.875305,19.432068,-0.18902588,2.4017487,8.5095825,0.2617035,-0.2880249,0.14039612,43.21875,-17.40625,3.453125,1.0,1125.0,20190721_105700_966
79,-41.54358,-51.05133,18.937683,-0.10522461,2.2892303,7.633316,0.29579163,-0.29762268,0.20645142,43.03125,-17.46875,3.40625,1.0,1125.0,20190721_105700_986
80,-40.18097,-51.019287,19.459534,0.16291809,2.205429,7.0658875,0.23400879,-0.21772766,0.26397705,42.90625,-17.640625,3.59375,1.0,1125.0,20190721_105701_008
81,-41.333008,-51.75476,20.796204,0.28263855,2.16951,6.905472,0.09979248,-0.08670044,0.28741455,42.796875,-17.90625,3.9375,1.0,1125.0,20190721_105701_027
82,-41.76941,-50.509644,19.98291,0.28024292,2.2437286,7.0946198,-0.061065674,0.0496521,0.3161621,42.609375,-18.234375,4.328125,1.0,1125.0,20190721_105701_046
