frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-43.725586,-54.231262,21.047974,1.269043,3.8239136,8.49762,-0.20381165,0.22436523,0.004043579,57.390625,-22.5625,0.796875,1.0,1241.0,20190721_110143_738
2,-44.099426,-53.84369,20.10498,1.2451019,3.6754608,8.579025,-0.022720337,0.06137085,0.042388916,57.1875,-22.375,0.6875,1.0,1242.0,20190721_110143_800
3,-44.187927,-54.862976,19.821167,1.2355194,3.6922302,8.588593,-0.03337097,0.07841492,0.03919983,25.796875,-23.5,6.671875,1.0,1242.0,20190721_110143_810
4,-44.563293,-54.48456,20.861816,1.2115784,3.6922302,8.7226715,-0.041885376,0.12210083,0.042388916,25.796875,-23.5,6.671875,1.0,1242.0,20190721_110143_830
5,-44.93866,-54.10309,21.292114,1.1828461,3.6682892,8.8016815,-0.03337097,0.1434021,0.04559326,25.796875,-23.5,6.671875,1.0,1242.0,20190721_110143_850
6,-44.914246,-53.816223,22.050476,1.1182098,3.6036377,8.839981,-0.019515991,0.09440613,0.03387451,25.796875,-23.5,6.671875,1.0,1242.0,20190721_110143_870
7,-44.74945,-55.078125,19.187927,1.0894775,3.601242,8.8567505,-0.014190674,0.044326782,0.021087646,25.734375,-23.453125,6.59375,1.0,1242.0,20190721_110143_890
8,-44.673157,-52.62451,20.811462,1.0607452,3.639557,8.873505,0.0028533936,0.02835083,0.011505127,25.640625,-23.40625,6.46875,1.0,1242.0,20190721_110143_910
9,-45.088196,-54.266357,21.136475,0.9793396,3.656311,8.792099,0.019897461,0.06990051,0.025344849,25.578125,-23.359375,6.359375,1.0,1242.0,20190721_110143_930
10,-44.25049,-54.01001,20.71228,0.9649811,3.6156158,8.696335,0.013504028,0.08694458,0.04878235,25.53125,-23.34375,6.296875,1.0,1242.0,20190721_110143_950
11,-43.875122,-54.393005,20.43457,0.97694397,3.6227875,8.732254,-0.003540039,0.076293945,0.04345703,25.5,-23.328125,6.265625,1.0,1242.0,20190721_110143_970
12,-45.036316,-53.67737,20.056152,0.8692169,3.6706848,8.739426,0.0071105957,0.07948303,0.01789856,25.46875,-23.34375,6.234375,1.0,1242.0,20190721_110143_990
13,-43.725586,-54.23584,21.810913,0.6393738,3.6922302,8.660431,0.018829346,0.074157715,0.0061798096,25.421875,-23.359375,6.15625,1.0,1242.0,20190721_110144_010
14,-45.062256,-53.96881,20.062256,0.55796814,3.7472992,8.5048065,0.0049743652,0.064575195,0.0370636,25.3125,-23.359375,6.0625,1.0,1242.0,20190721_110144_030
15,-45.20111,-55.57251,19.789124,0.54119873,3.7568665,8.550293,-0.055740356,0.09440613,0.0605011,25.265625,-23.359375,5.984375,1.0,1242.0,20190721_110144_050
16,-44.073486,-53.54767,19.335938,0.48135376,3.7161713,8.8567505,-0.098342896,0.1902771,0.06796265,25.234375,-23.375,5.921875,1.0,1242.0,20190721_110144_070
17,-45.11261,-54.55475,20.379639,0.34727478,3.6347656,9.0937805,-0.088760376,0.25312805,0.05517578,25.1875,-23.375,5.859375,1.0,1242.0,20190721_110144_090
18,-44.961548,-54.385376,19.467163,0.23953247,3.6682892,9.100952,-0.022720337,0.17855835,0.01576233,25.109375,-23.3125,5.796875,1.0,1242.0,20190721_110144_110
19,-44.187927,-54.862976,19.821167,0.06715393,3.7472992,8.720276,0.06037903,0.0059814453,-0.020462036,24.984375,-23.203125,5.640625,1.0,1242.0,20190721_110144_130
20,-44.422913,-52.877808,20.37201,-0.03579712,3.9100952,8.16243,0.087005615,-0.12504578,-0.021514893,24.875,-23.09375,5.40625,1.0,1242.0,20190721_110144_149
21,-44.563293,-54.48456,20.861816,-0.05734253,4.0657196,7.820053,0.030548096,-0.076049805,0.021087646,24.8125,-23.046875,5.21875,1.0,1242.0,20190721_110144_170
22,-43.000793,-55.285645,19.88678,0.014480591,4.1997986,7.7697754,-0.09408569,0.08161926,0.08287048,24.8125,-23.109375,5.171875,1.0,1242.0,20190721_110144_189
23,-44.073486,-53.55072,19.793701,0.036026,4.209366,8.169617,-0.2112732,0.21051025,0.122283936,24.859375,-23.21875,5.28125,1.0,1242.0,20190721_110144_210
24,-45.27588,-54.859924,19.464111,0.17010498,4.20459,8.528748,-0.25494385,0.24034119,0.14253235,24.859375,-23.25,5.375,1.0,1242.0,20190721_110144_230
25,-44.81201,-54.22058,19.317627,0.26107788,4.233322,8.715485,-0.26345825,0.19134521,0.1350708,24.765625,-23.15625,5.359375,1.0,1242.0,20190721_110144_250
26,-45.236206,-54.42047,19.14978,0.36642456,4.259659,8.794495,-0.26879883,0.10612488,0.12867737,24.59375,-22.921875,5.203125,1.0,1242.0,20190721_110144_270
27,-45.62378,-54.174805,17.599487,0.5124817,4.3099365,8.851959,-0.24215698,0.03793335,0.09353638,24.40625,-22.625,5.015625,1.0,1242.0,20190721_110144_290
28,-44.223022,-53.70636,18.417358,0.4765625,4.317108,8.693939,-0.18676758,-0.0014801025,0.058380127,24.203125,-22.296875,4.859375,1.0,1242.0,20190721_110144_310
29,-45.97473,-53.50952,19.702148,0.36642456,4.3027496,8.516769,-0.15481567,-0.019577026,0.038131714,24.046875,-21.984375,4.796875,1.0,1242.0,20190721_110144_330
30,-45.915222,-55.95398,19.76471,0.42149353,4.2836,8.466492,-0.13563538,-0.03024292,0.038131714,23.984375,-21.828125,4.78125,1.0,1242.0,20190721_110144_349
31,-44.810486,-54.216003,18.249512,0.50289917,4.307541,8.387482,-0.11326599,-0.014251709,0.042388916,23.875,-21.484375,4.8125,1.0,1242.0,20190721_110144_370
32,-45.713806,-55.20935,20.214844,0.5244446,4.293167,8.327637,-0.100479126,6.5612793E-4,0.040267944,23.859375,-21.390625,4.828125,1.0,1242.0,20190721_110144_390
33,-45.09735,-52.81067,18.353271,0.49092102,4.2476807,8.3396,-0.096221924,0.013442993,0.030685425,23.828125,-21.21875,4.875,1.0,1242.0,20190721_110144_410
34,-44.961548,-54.38385,19.161987,0.4358673,4.264435,8.476074,-0.096221924,0.0059814453,0.008300781,23.796875,-21.0625,4.90625,1.0,1242.0,20190721_110144_430
35,-45.62378,-54.182434,19.125366,0.40234375,4.312317,8.593384,-0.08557129,-0.047286987,-0.018325806,23.765625,-20.9375,4.9375,1.0,1242.0,20190721_110144_450
36,-45.336914,-54.000854,19.28711,0.2922058,4.379364,8.583817,-0.05467224,-0.13569641,-0.035369873,23.71875,-20.8125,4.9375,1.0,1242.0,20190721_110144_469
37,-45.724487,-53.762817,19.262695,0.25630188,4.415268,8.41861,-0.04295349,-0.18469238,-0.023651123,23.703125,-20.703125,4.9375,1.0,1242.0,20190721_110144_489
38,-46.710205,-54.170227,17.089844,0.25390625,4.427246,8.394669,-0.05999756,-0.17085266,-0.0140686035,23.703125,-20.609375,4.953125,1.0,1242.0,20190721_110144_510
39,-45.425415,-55.018616,18.544006,0.27305603,4.4320374,8.5646515,-0.074920654,-0.127182,0.0019226074,23.765625,-20.515625,5.03125,1.0,1242.0,20190721_110144_530
