frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-46.736145,-54.460144,16.636658,0.9075165,3.0625458,9.017166,-0.0014038086,-0.024917603,-0.009796143,33.03125,-27.046875,5.09375,1.0,1212.0,20190721_110054_516
2,-47.210693,-53.66516,18.426514,0.79260254,3.050583,9.000397,-0.03869629,-0.03236389,-0.10887146,32.953125,-27.453125,5.265625,1.0,1213.0,20190721_110054_574
3,-48.760986,-54.296875,17.453003,0.7878113,3.067337,9.0147705,-0.04083252,-0.03236389,-0.11633301,50.5,-18.484375,4.375,1.0,1213.0,20190721_110054_580
4,-48.620605,-52.685547,16.351318,0.7231598,3.129593,9.127289,-0.034439087,-0.021713257,-0.12591553,50.5,-18.484375,4.375,1.0,1213.0,20190721_110054_600
5,-48.197937,-54.071045,15.948486,0.6944275,3.1200104,9.194336,-0.008865356,0.015563965,-0.119522095,50.5,-18.484375,4.375,1.0,1213.0,20190721_110054_618
6,-47.109985,-54.074097,16.151428,0.6896515,3.0864868,9.2326355,0.018829346,0.013442993,-0.11526489,50.5,-18.484375,4.375,1.0,1213.0,20190721_110054_638
7,-48.399353,-54.826355,17.48352,0.6968231,3.0003052,9.136871,0.057174683,-0.017456055,-0.11845398,50.71875,-18.453125,4.34375,1.0,1213.0,20190721_110054_657
8,-47.109985,-54.078674,17.22107,0.8117523,3.0601501,8.885483,0.100860596,0.048599243,-0.12805176,50.859375,-18.453125,4.28125,1.0,1213.0,20190721_110054_678
9,-47.200012,-55.101013,17.240906,0.8668213,3.0888824,8.660431,0.09446716,0.083740234,-0.13549805,51.0,-18.484375,4.21875,1.0,1213.0,20190721_110054_699
10,-48.046875,-53.9093,16.409302,0.91230774,3.1128235,8.646057,0.056106567,0.07841492,-0.14509583,51.125,-18.578125,4.1875,1.0,1213.0,20190721_110054_720
11,-47.64862,-54.005432,17.346191,0.94104004,3.1511383,8.708313,0.023086548,0.046463013,-0.15467834,51.265625,-18.703125,4.078125,1.0,1213.0,20190721_110054_738
