frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,-25.8,-17.34,-11.639999,0.23463176,3.5553896,9.332599,-0.0580322,0.2125811,-0.040927973,359.06512,-20.848896,1.4403244,1.0,48465.0,20190721_110454_560
2,-25.859999,-16.98,-10.74,0.36391866,3.739743,8.949526,-0.26816985,-0.38423425,-0.062308256,113.307884,-22.661625,2.3285959,1.0,48465.0,20190721_110454_680
3,-26.16,-17.279999,-10.92,0.4213795,3.6487634,9.083601,-0.2687807,-0.39645153,-0.06291912,113.65125,-21.863268,2.656031,1.0,48465.0,20190721_110454_691
4,-25.92,-17.1,-10.86,0.45010993,3.643975,9.054871,-0.2742785,-0.40133846,-0.06414085,114.331055,-21.896719,2.8458123,1.0,48465.0,20190721_110454_703
5,-26.46,-17.46,-10.92,0.45968673,3.6750996,9.045294,-0.29993483,-0.3817908,-0.06352998,114.27249,-22.085817,2.9094248,1.0,48465.0,20190721_110454_710
6,-26.22,-17.58,-11.16,0.50757074,3.7014358,9.0237465,-0.3231477,-0.3481932,-0.055588737,114.17465,-22.271051,3.21938,1.0,48465.0,20190721_110454_720
7,-26.099998,-17.52,-11.16,0.60812724,3.6990416,9.124303,-0.35002577,-0.258396,-0.052534413,114.168304,-22.023735,3.813018,1.0,48465.0,20190721_110454_732
8,-26.46,-17.4,-11.58,0.641646,3.6942532,9.25359,-0.3567453,-0.20891592,-0.048258353,114.39866,-21.715239,3.966778,1.0,48465.0,20190721_110454_741
9,-26.279999,-17.279999,-11.28,0.7015011,3.691859,9.349358,-0.34208453,-0.1563815,-0.040927973,113.70294,-21.493084,4.2912917,1.0,48465.0,20190721_110454_751
10,-26.16,-17.16,-10.74,0.6823475,3.7684734,9.31105,-0.30787608,-0.12217305,-0.035430185,114.0855,-21.981495,4.191328,1.0,48465.0,20190721_110454_762
11,-26.16,-17.34,-10.92,0.6919243,3.8259344,9.260772,-0.267559,-0.10140363,-0.015882496,113.96578,-22.391031,4.2729564,1.0,48465.0,20190721_110454_772
12,-26.039999,-17.1,-9.96,0.8619126,3.8355112,9.263166,-0.2406809,-0.11789699,0.007941248,113.5549,-22.405348,5.3158464,1.0,48465.0,20190721_110454_782
13,-26.34,-17.279999,-10.38,1.0534488,3.8762126,9.205706,-0.19364429,-0.1337795,0.02687807,113.68009,-22.701328,6.528222,1.0,48465.0,20190721_110454_793
14,-26.58,-16.92,-10.5,1.1707647,3.9025488,9.186552,-0.15393804,-0.1337795,0.01282817,113.31372,-22.850647,7.262687,1.0,48465.0,20190721_110454_803
15,-26.82,-16.44,-10.62,1.2425907,3.9480386,9.081207,-0.1020145,-0.15088372,6.1086525E-4,112.28607,-23.303116,7.791364,1.0,48465.0,20190721_110454_812
16,-26.88,-16.68,-11.099999,1.3096284,3.9264908,8.92319,-0.059253927,-0.13744467,-0.026267206,110.75861,-23.526508,8.349017,1.0,48465.0,20190721_110454_821
17,-26.4,-16.74,-11.099999,1.3144168,3.8762126,8.724471,-0.028710667,-0.100792766,-0.054367006,110.73628,-23.71818,8.568201,1.0,48465.0,20190721_110454_831
18,-26.519999,-16.74,-10.86,1.3024458,3.857059,8.631097,-0.018936822,-0.08735373,-0.08124508,111.18295,-23.840849,8.581065,1.0,48465.0,20190721_110454_841
19,-26.16,-17.22,-10.559999,1.2425907,3.7924154,8.616732,-0.02076942,-0.06841691,-0.10629055,111.29795,-23.538908,8.206111,1.0,48465.0,20190721_110454_852
20,-26.22,-17.52,-10.44,1.1204864,3.7325604,8.710106,-0.030543262,-0.037873644,-0.13927728,113.15749,-23.026888,7.3303084,1.0,48465.0,20190721_110454_864
21,-26.46,-17.46,-10.5,1.0295067,3.6894648,8.827422,-0.03848451,-0.035430185,-0.1600467,114.09416,-22.54524,6.651967,1.0,48465.0,20190721_110454_874
22,-26.279999,-17.88,-10.32,0.9648633,3.6367924,8.901642,-0.032986723,-0.02321288,-0.16615535,114.01436,-22.105778,6.1863017,1.0,48465.0,20190721_110454_883
23,-26.039999,-17.58,-10.08,0.91697925,3.643975,8.880095,-0.007941248,0.007330383,-0.1685988,115.2867,-22.20469,5.894938,1.0,48465.0,20190721_110454_900
24,-25.92,-17.699999,-10.38,0.89303726,3.6296098,8.822633,6.1086525E-4,0.025045475,-0.16554448,115.09593,-22.22228,5.836841,1.0,48465.0,20190721_110454_905
25,-25.92,-17.699999,-10.38,0.90500826,3.6248214,8.827422,0.028099801,0.04520403,-0.16493362,115.09593,-22.22228,5.836841,1.0,48465.0,20190721_110454_908
26,-25.56,-17.88,-10.44,0.8858546,3.6104562,8.707711,0.039095376,0.05375614,-0.1704314,115.13418,-22.41673,5.8090034,1.0,48465.0,20190721_110454_915
27,-25.8,-17.699999,-10.62,0.8355764,3.5817258,8.599973,0.058643065,0.07819075,-0.17348573,115.722694,-22.515614,5.5489006,1.0,48465.0,20190721_110454_923
28,-25.92,-17.64,-10.62,0.81402856,3.560178,8.48984,0.048258353,0.10323623,-0.17592919,114.948135,-22.657057,5.4769006,1.0,48465.0,20190721_110454_934
29,-25.98,-17.34,-10.26,0.7086837,3.58412,8.48984,0.032375857,0.10995574,-0.18081611,114.87795,-22.816628,4.7716303,1.0,48465.0,20190721_110454_943
30,-26.16,-17.22,-9.66,0.5746084,3.6224272,8.602366,0.0067195175,0.112399206,-0.18020524,114.589264,-22.79021,3.8214567,1.0,48465.0,20190721_110454_953
31,-26.039999,-17.58,-9.54,0.49081135,3.6391866,8.805874,-0.009773844,0.108123146,-0.16798794,114.63305,-22.422464,3.1902804,1.0,48465.0,20190721_110454_964
32,-25.92,-17.88,-9.9,0.47644615,3.5936968,8.925584,-0.01282817,0.09407325,-0.14049901,115.5307,-21.902779,3.0555282,1.0,48465.0,20190721_110454_975
33,-25.859999,-17.88,-9.78,0.45489833,3.5865142,9.009381,0.0,0.08674286,-0.11911872,116.20816,-21.681849,2.8905256,1.0,48465.0,20190721_110454_985
34,-26.039999,-17.88,-10.2,0.40462008,3.6870706,8.966286,0.016493361,0.119729586,-0.09590584,116.51336,-22.33269,2.5838306,1.0,48465.0,20190721_110454_994
35,-25.859999,-17.76,-10.559999,0.3854665,3.7325604,8.930372,0.03481932,0.15577064,-0.069027774,115.66834,-22.664248,2.4715497,1.0,48465.0,20190721_110455_004
36,-25.68,-17.58,-10.559999,0.39504328,3.7612908,8.896853,0.03970624,0.15699236,-0.045814894,115.1356,-22.896767,2.5424013,1.0,48465.0,20190721_110455_015
37,-25.38,-17.52,-10.679999,0.4333505,3.8235402,8.947132,0.029932396,0.15088372,-0.026267206,114.77957,-23.11485,2.772493,1.0,48465.0,20190721_110455_026
38,-25.019999,-17.699999,-11.219999,0.46686932,3.8642416,9.0237465,0.036651913,0.1563815,-6.1086525E-4,114.71258,-23.154339,2.9611938,1.0,48465.0,20190721_110455_037
39,-24.96,-17.46,-10.98,0.47644615,3.9264908,9.119514,0.04153884,0.15882497,0.017715093,114.9843,-23.265717,2.9898012,1.0,48465.0,20190721_110455_046
40,-25.5,-17.58,-10.8,0.47884035,3.904943,9.229648,0.04642576,0.14110987,0.032375857,114.7199,-22.905315,2.96983,1.0,48465.0,20190721_110455_058
41,-25.439999,-17.34,-10.679999,0.48841715,3.940856,9.397242,0.06291912,0.14110987,0.049480084,114.76435,-22.723696,2.9752889,1.0,48465.0,20190721_110455_066
42,-25.619999,-17.1,-9.78,0.51954174,4.0318356,9.526528,0.10934488,0.13927728,0.07513642,114.524376,-22.908278,3.1210532,1.0,48465.0,20190721_110455_079
43,-26.279999,-17.16,-9.96,0.59136784,4.0701427,9.572019,0.1459968,0.12217305,0.09712757,114.329216,-22.99653,3.535133,1.0,48465.0,20190721_110455_086
44,-25.98,-16.92,-9.96,0.6584055,4.0414124,9.579201,0.18081611,0.099571034,0.100792766,113.62841,-22.826496,3.931597,1.0,48465.0,20190721_110455_096
45,-26.4,-17.039999,-10.139999,0.7445967,4.0294414,9.610326,0.20830505,0.09162979,0.099571034,113.47774,-22.686283,4.4305406,1.0,48465.0,20190721_110455_104
46,-26.22,-17.039999,-10.62,0.7589619,4.0318356,9.674969,0.226631,0.08674286,0.093462385,113.37006,-22.560467,4.4854617,1.0,48465.0,20190721_110455_117
47,-25.74,-17.279999,-10.8,0.80924016,4.0222588,9.742006,0.23335053,0.10567969,0.081855945,113.21597,-22.365154,4.7485704,1.0,48465.0,20190721_110455_125
48,-25.74,-17.52,-10.679999,0.81163436,3.98874,9.7084875,0.24801129,0.12889257,0.06352998,114.12098,-22.264288,4.779192,1.0,48465.0,20190721_110455_135
49,-25.56,-18.06,-10.92,0.7254431,3.9839516,9.65821,0.24740042,0.15760323,0.02565634,114.88475,-22.359102,4.2956305,1.0,48465.0,20190721_110455_147
50,-25.74,-18.18,-11.04,0.59615624,4.0294414,9.627085,0.22968534,0.16249016,0.0012217305,115.94925,-22.672846,3.5435164,1.0,48465.0,20190721_110455_156
51,-25.619999,-18.18,-10.44,0.50757074,4.010288,9.655815,0.18387043,0.14172074,-0.025045475,115.72195,-22.526281,3.009068,1.0,48465.0,20190721_110455_172
52,-25.38,-18.24,-10.26,0.51235914,3.8666358,9.78989,0.16371189,0.12950343,-0.040317107,116.5661,-21.303154,3.1535487,1.0,48465.0,20190721_110455_179
53,-25.38,-18.24,-10.26,0.5410896,3.8355112,9.821015,0.0983493,0.06963864,-0.07269296,116.5661,-21.303154,3.1535487,1.0,48465.0,20190721_110455_181
54,-25.5,-17.94,-10.32,0.533907,3.7349546,9.9790325,0.05131268,0.021380283,-0.100792766,117.38421,-20.4932,3.0625796,1.0,48465.0,20190721_110455_190
55,-25.5,-17.76,-9.84,0.5602432,3.526659,10.30225,-0.004886922,-0.028099801,-0.13500121,117.145164,-18.871153,3.112719,1.0,48465.0,20190721_110455_197
56,-25.5,-17.76,-9.84,0.5363012,3.3686419,10.553641,-0.050701816,-0.052534413,-0.16676621,118.0616,-17.681246,2.9090712,1.0,48465.0,20190721_110455_204
57,-25.38,-17.94,-9.9,0.4165911,3.1124623,10.912771,-0.06719518,-0.051923547,-0.18753563,118.81352,-15.907885,2.1862066,1.0,48465.0,20190721_110455_218
58,-25.74,-17.94,-10.38,0.272939,2.9352913,11.09473,-0.070249505,-0.029932396,-0.18936823,120.06988,-14.81473,1.409243,1.0,48465.0,20190721_110455_224
59,-25.619999,-17.94,-10.139999,0.17477672,2.717419,11.123461,-0.050701816,0.005497787,-0.17470746,119.92833,-13.726594,0.9001691,1.0,48465.0,20190721_110455_237
60,-25.8,-18.0,-10.5,0.15322891,2.540248,10.979809,-0.025045475,0.051923547,-0.14660765,120.491806,-13.025043,0.7995158,1.0,48465.0,20190721_110455_246
61,-25.92,-18.119999,-10.92,0.045489833,2.4971523,10.783484,-0.009773844,0.08246681,-0.11911872,120.67786,-13.03816,0.2417376,1.0,48465.0,20190721_110455_255
62,-25.8,-18.119999,-10.679999,-0.047884032,2.4827871,10.512939,-0.0036651916,0.108123146,-0.087964594,120.52891,-13.287826,-0.26125854,1.0,48465.0,20190721_110455_266
63,-25.68,-18.42,-10.679999,-0.11252748,2.468422,10.323798,6.1086525E-4,0.1301143,-0.04153884,120.56138,-13.4465475,-0.6250995,1.0,48465.0,20190721_110455_276
64,-25.32,-18.42,-10.32,-0.23702596,2.4588451,10.139444,0.007330383,0.14538592,-0.007941248,121.14876,-13.627725,-1.33933,1.0,48465.0,20190721_110455_288
65,-25.38,-18.18,-10.62,-0.38307226,2.4851813,9.921572,0.04642576,0.17959438,0.03481932,121.58183,-14.052242,-2.2111511,1.0,48465.0,20190721_110455_295
66,-25.38,-18.18,-10.44,-0.51954174,2.4779987,9.629479,0.08552113,0.19058995,0.07086037,120.82859,-14.411101,-3.0885575,1.0,48465.0,20190721_110455_305
67,-25.5,-18.06,-10.38,-0.533907,2.4612393,9.205706,0.1423316,0.19242255,0.12461651,120.59523,-14.944562,-3.3192997,1.0,48465.0,20190721_110455_325
68,-25.68,-17.699999,-10.5,-0.47405192,2.4971523,8.1881695,0.22785273,0.14538592,0.21991149,119.124306,-16.93401,-3.3132882,1.0,48465.0,20190721_110455_336
69,-25.68,-17.699999,-10.5,-0.4213795,2.5139117,7.800309,0.22968534,0.10445796,0.23945917,118.35826,-17.838797,-3.0922058,1.0,48465.0,20190721_110455_346
70,-25.32,-17.58,-10.0199995,-0.4165911,2.5594015,7.541735,0.19975294,0.03970624,0.23090707,118.46044,-18.719019,-3.1617107,1.0,48465.0,20190721_110455_361
71,-25.32,-17.58,-10.8,-0.50278234,2.5689783,7.489063,0.11301007,-0.10567969,0.18936823,117.50947,-18.893799,-3.840938,1.0,48465.0,20190721_110455_375
