frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,13.259999,-32.7,-3.84,-0.107739076,2.908955,9.181764,-0.25289822,0.05009095,0.009162978,359.2851,-17.12121,-0.6593613,1.0,46582.0,20190721_103759_809
2,12.24,-31.5,-2.3999999,-0.1364695,2.8275523,9.330204,-0.029932396,0.059864793,0.002443461,201.9066,-16.72589,-0.82375586,1.0,46582.0,20190721_103759_910
3,12.42,-31.679998,-2.76,-0.11252748,2.837129,9.222465,-0.029321533,0.06291912,0.002443461,202.46855,-16.947708,-0.64927244,1.0,46582.0,20190721_103759_915
4,12.78,-31.56,-3.24,-0.14604631,2.896984,9.169792,-0.034208454,0.07452556,-0.002443461,202.80214,-17.249535,-0.68540955,1.0,46582.0,20190721_103759_926
5,12.719999,-31.439999,-3.06,-0.107739076,2.8802247,9.222465,-0.049480084,0.09285152,-0.004276057,203.65218,-17.568893,-0.88007045,1.0,46582.0,20190721_103759_935
6,12.66,-31.8,-2.8799999,-0.09816227,2.825158,9.251195,-0.0421497,0.09040806,-0.007941248,203.51427,-17.269283,-0.622763,1.0,46582.0,20190721_103759_944
7,12.48,-31.5,-2.82,-0.088585466,2.8275523,9.176975,-0.045814894,0.08674286,-0.014049901,203.18898,-17.007788,-0.66948915,1.0,46582.0,20190721_103759_956
8,12.179999,-31.08,-2.76,-0.076614454,2.837129,9.13388,-0.047647487,0.095294975,-0.01282817,202.99792,-17.33787,-0.5702255,1.0,46582.0,20190721_103759_965
9,12.179999,-31.26,-2.76,-0.093373865,2.8419175,9.160215,-0.0580322,0.112399206,-0.0067195175,202.84486,-17.272322,-0.5680753,1.0,46582.0,20190721_103759_977
10,12.42,-31.56,-2.76,-0.076614454,2.8060043,9.217676,-0.07147124,0.09101892,-0.004886922,202.68762,-17.125614,-0.49340743,1.0,46582.0,20190721_103759_986
11,12.54,-31.439999,-2.9399998,-0.1436521,2.765303,9.260772,-0.07513642,0.06963864,-0.007330383,202.9452,-16.7511,-0.6536756,1.0,46582.0,20190721_103759_996
12,12.48,-31.679998,-3.06,-0.23702596,2.7269957,9.356541,-0.070249505,0.05681047,0.009162978,203.26874,-16.492132,-1.075823,1.0,46582.0,20190721_103800_009
13,12.54,-31.8,-3.06,-0.21547815,2.693477,9.334992,-0.05009095,0.03176499,0.028710667,202.93184,-15.995064,-1.3907567,1.0,46582.0,20190721_103800_024
14,12.48,-31.199999,-3.24,-0.19153613,2.7509377,9.244013,-0.03970624,0.020158553,0.045814894,203.18057,-16.553307,-1.1747841,1.0,46582.0,20190721_103800_029
15,12.48,-31.199999,-3.24,-0.12928689,2.7844565,9.150639,-0.028710667,6.1086525E-4,0.07880162,203.18057,-16.553307,-1.1747841,1.0,46582.0,20190721_103800_035
16,12.48,-31.439999,-2.9399998,-0.07182605,2.858677,9.0429,-0.029321533,0.0030543262,0.09285152,203.04468,-17.30905,-0.6636186,1.0,46582.0,20190721_103800_046
17,12.48,-31.679998,-2.58,0.009576807,2.8993783,8.937555,-0.043982297,-0.004886922,0.0983493,202.99602,-17.793526,-0.22825025,1.0,46582.0,20190721_103800_054
18,12.42,-31.619999,-2.76,0.093373865,2.9017725,8.846576,-0.065973446,0.004886922,0.09101892,202.8469,-18.008444,0.24632306,1.0,46582.0,20190721_103800_064
19,12.66,-32.04,-2.22,0.16519992,2.8874073,8.690952,-0.080634214,0.015271631,0.08124508,202.82904,-18.259361,0.87493116,1.0,46582.0,20190721_103800_074
20,12.9,-32.52,-2.6399999,0.17956513,2.896984,8.578424,-0.10995574,0.026267206,0.059864793,202.98419,-18.545633,1.141943,1.0,46582.0,20190721_103800_083
21,12.78,-32.28,-2.8799999,0.17956513,2.954445,8.571242,-0.14538592,0.02076942,0.03970624,203.28638,-18.863565,1.1563396,1.0,46582.0,20190721_103800_094
22,12.599999,-32.28,-2.82,0.1436521,2.930503,8.7053175,-0.17592919,-0.029321533,0.009162978,203.35016,-18.853434,1.2382779,1.0,46582.0,20190721_103800_103
23,12.719999,-32.52,-3.12,0.07182605,2.9400797,8.89446,-0.20341812,-0.11056661,-0.018936822,203.22765,-18.508509,0.7824485,1.0,46582.0,20190721_103800_115
24,12.599999,-31.8,-3.3,-0.011971008,2.822764,9.248801,-0.22052236,-0.1826487,-0.047036625,203.28209,-17.66864,0.31782255,1.0,46582.0,20190721_103800_127
25,12.96,-32.04,-3.6599998,-0.1412579,2.7269957,9.416395,-0.22479841,-0.27488935,-0.06414085,203.54942,-16.580238,-0.39691436,1.0,46582.0,20190721_103800_135
26,13.139999,-32.28,-3.84,-0.29209262,2.681506,9.595961,-0.2180789,-0.2919936,-0.069027774,203.86229,-15.9361,-1.2540549,1.0,46582.0,20190721_103800_145
27,12.36,-32.46,-4.08,-0.36152446,2.6312277,9.639056,-0.20525073,-0.2706133,-0.050701816,203.83029,-15.347809,-2.0424051,1.0,46582.0,20190721_103800_156
28,12.36,-32.82,-4.08,-0.29448682,2.528277,9.660604,-0.19058995,-0.23823744,-0.017104227,202.1113,-15.118784,-2.0905201,1.0,46582.0,20190721_103800_166
29,12.36,-33.3,-4.02,-0.20350714,2.504335,9.6845455,-0.20769419,-0.21380283,0.009162978,201.71362,-14.607124,-1.6480119,1.0,46582.0,20190721_103800_177
30,12.599999,-32.94,-4.2,-0.0023942017,2.5330653,9.921572,-0.22357668,-0.19303341,0.03176499,201.22511,-14.522504,-0.6025493,1.0,46582.0,20190721_103800_188
31,12.9,-32.579998,-4.38,0.17477672,2.516306,10.093954,-0.22785273,-0.19364429,0.04520403,201.95833,-14.304356,0.34370032,1.0,46582.0,20190721_103800_197
32,12.719999,-32.34,-4.2,0.3184288,2.5019407,10.354922,-0.22052236,-0.19975294,0.044593163,202.76077,-13.890617,1.2502799,1.0,46582.0,20190721_103800_208
33,12.36,-31.8,-4.2599998,0.37349546,2.5067291,10.46745,-0.18387043,-0.17959438,0.030543262,202.65973,-13.507157,1.9986308,1.0,46582.0,20190721_103800_220
