frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,14.58,-35.88,0.0,-0.48841715,3.5410242,9.28232,-0.09712757,0.09773844,-0.29077184,0.29552042,-20.854477,-3.0117345,1.0,46815.0,20190721_104115_408
2,13.86,-36.42,0.17999999,-0.50996494,3.845088,8.374918,-0.12522738,0.009162978,0.07391469,203.43256,-24.744745,-3.426448,1.0,46815.0,20190721_104115_516
3,13.98,-36.48,-0.42,-0.59136784,3.8402996,8.439561,-0.14049901,0.002443461,0.058643065,203.00336,-24.414389,-4.008181,1.0,46815.0,20190721_104115_524
4,13.799999,-36.12,-0.12,-0.7326257,3.8714242,8.595184,-0.15454891,-0.01282817,0.032986723,203.26749,-24.170029,-4.87229,1.0,46815.0,20190721_104115_536
5,13.559999,-35.82,-0.48,-0.8451532,3.845088,8.710106,-0.1704314,-0.048258353,0.014660766,203.07181,-23.720009,-5.542317,1.0,46815.0,20190721_104115_548
6,13.44,-35.64,-0.65999997,-0.9935937,3.8283286,8.863335,-0.18692477,-0.10751228,-0.0012217305,202.93033,-23.231009,-6.3961077,1.0,46815.0,20190721_104115_558
7,13.38,-35.579998,-0.42,-1.0223241,3.7900212,8.966286,-0.18753563,-0.13194689,-6.1086525E-4,202.50465,-22.78099,-6.5048246,1.0,46815.0,20190721_104115_568
8,13.44,-35.399998,-0.59999996,-1.0486604,3.787627,9.083601,-0.1863139,-0.14294247,6.1086525E-4,202.34366,-22.500006,-6.585815,1.0,46815.0,20190721_104115_576
9,13.74,-35.579998,-0.29999998,-1.0271125,3.8498764,9.241618,-0.19486602,-0.15943582,0.01160644,202.38365,-22.491495,-6.3411927,1.0,46815.0,20190721_104115_585
10,13.74,-35.76,-0.17999999,-0.89782566,3.8139634,9.397242,-0.18325958,-0.15088372,0.021380283,202.50035,-21.999624,-5.457401,1.0,46815.0,20190721_104115_597
11,13.679999,-35.76,0.0,-0.7661445,3.7900212,9.485827,-0.17470746,-0.11728613,0.010995574,202.33492,-21.71489,-4.6177154,1.0,46815.0,20190721_104115_605
12,13.86,-35.94,0.0,-0.7254431,3.7708676,9.531317,-0.16371189,-0.07391469,-0.009162978,202.39069,-21.528877,-4.353012,1.0,46815.0,20190721_104115_617
13,13.559999,-35.82,-0.59999996,-0.80205756,3.7541082,9.461885,-0.14660765,0.002443461,-0.029321533,202.78264,-21.571033,-4.8452134,1.0,46815.0,20190721_104115_627
14,13.62,-36.0,-0.59999996,-0.90740246,3.7588966,9.330204,-0.13500121,0.047036625,-0.05009095,202.54181,-21.849957,-5.5548773,1.0,46815.0,20190721_104115_642
15,14.28,-35.88,-0.9,-1.0534488,3.6894648,9.172187,-0.12522738,0.07452556,-0.051923547,203.83662,-21.755003,-6.862316,1.0,46815.0,20190721_104115_647
16,14.28,-35.88,-0.9,-1.0989386,3.6703112,9.131485,-0.12217305,0.11301007,-0.04337143,203.83662,-21.755003,-6.862316,1.0,46815.0,20190721_104115_650
17,14.46,-36.0,-0.84,-1.2018893,3.6607344,9.052477,-0.124005646,0.12950343,-0.032375857,203.57683,-21.844532,-7.563014,1.0,46815.0,20190721_104115_655
18,14.58,-35.76,-0.53999996,-1.2545617,3.6703112,9.016563,-0.1160644,0.14905111,-0.008552114,203.62848,-21.958397,-7.9214497,1.0,46815.0,20190721_104115_664
19,15.0,-35.64,-0.59999996,-1.2689269,3.6846764,8.920795,-0.10140363,0.13927728,0.028710667,203.86343,-22.240314,-8.095456,1.0,46815.0,20190721_104115_679
20,14.58,-35.46,-1.0799999,-1.2880806,3.7301662,8.846576,-0.076358154,0.12522738,0.06352998,204.60179,-22.648867,-8.284311,1.0,46815.0,20190721_104115_688
21,14.16,-35.34,-1.3199999,-1.2808979,3.809175,8.827422,-0.053145275,0.10995574,0.10323623,204.06628,-23.1249,-8.256206,1.0,46815.0,20190721_104115_696
22,13.98,-35.34,-1.0799999,-1.1755531,3.8043866,8.765172,-0.027488936,0.09285152,0.1386664,203.36583,-23.276611,-7.6384473,1.0,46815.0,20190721_104115_707
23,13.74,-35.1,-1.38,-1.0031705,3.763685,8.655039,-0.0012217305,0.058643065,0.15454891,202.97804,-23.362577,-6.611121,1.0,46815.0,20190721_104115_716
24,13.86,-35.52,-1.02,-0.94570965,3.7852328,8.554482,0.008552114,0.040317107,0.14966199,203.09341,-23.740232,-6.308473,1.0,46815.0,20190721_104115_724
25,13.86,-35.399998,-0.84,-0.94092125,3.8474822,8.468291,0.0036651916,0.013439035,0.14110987,203.19412,-24.302233,-6.340208,1.0,46815.0,20190721_104115_739
26,13.679999,-35.52,-0.96,-0.92895025,3.8402996,8.523358,-0.029321533,-0.023823744,0.122783914,203.31534,-24.126543,-6.219366,1.0,46815.0,20190721_104115_750
27,13.679999,-35.82,-1.02,-0.92655605,3.8139634,8.652645,-0.04337143,-0.04642576,0.11484267,202.9758,-23.667057,-6.112165,1.0,46815.0,20190721_104115_757
28,13.139999,-35.64,-1.38,-0.93134445,3.7660792,8.846576,-0.059253927,-0.07513642,0.1020145,202.7447,-22.946062,-6.009797,1.0,46815.0,20190721_104115_767
29,13.2,-35.7,-1.38,-0.92176765,3.7014358,9.02614,-0.054367006,-0.09468412,0.09040806,201.91399,-22.193302,-5.830935,1.0,46815.0,20190721_104115_778
