frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,11.88,-31.019999,-2.1,-0.33758244,3.5745432,9.569624,-0.27488935,-0.30298916,-0.34513888,0.32827282,-20.47051,-2.0203555,1.0,47424.0,20190721_104942_495
2,8.88,-30.84,-3.84,-0.59855044,3.3997664,8.848969,0.01038471,0.08552113,0.12767084,198.22827,-21.030521,-3.8931413,1.0,47424.0,20190721_104942_737
3,8.82,-30.96,-3.84,-0.59376204,3.3925838,8.827422,0.015882496,0.092240654,0.13072516,197.45502,-20.977705,-3.846376,1.0,47424.0,20190721_104942_741
4,8.88,-30.539999,-4.02,-0.62249243,3.394978,8.738836,0.019547688,0.09040806,0.12583824,197.28575,-21.181736,-4.0742693,1.0,47424.0,20190721_104942_748
5,8.88,-30.599998,-4.44,-0.62728083,3.406949,8.643068,0.020158553,0.1020145,0.12705997,197.60422,-21.461107,-4.150814,1.0,47424.0,20190721_104942_759
6,8.94,-30.06,-4.56,-0.5315128,3.3973722,8.537724,0.015882496,0.1001819,0.12767084,197.3972,-21.66085,-3.5621483,1.0,47424.0,20190721_104942_775
7,9.059999,-30.24,-4.3199997,-0.47884035,3.4141316,8.487445,-0.026267206,0.070249505,0.13194689,198.05646,-21.881092,-3.2293744,1.0,47424.0,20190721_104942_781
8,8.94,-30.72,-4.08,-0.45968673,3.4476504,8.564059,-0.047647487,0.056199603,0.14049901,198.31525,-21.899778,-3.0725808,1.0,47424.0,20190721_104942_791
9,8.82,-30.359999,-4.2599998,-0.36152446,3.4715924,8.686164,-0.07269296,0.034208454,0.13927728,197.60571,-21.768013,-2.3834543,1.0,47424.0,20190721_104942_801
10,9.24,-30.779999,-4.2599998,-0.29927522,3.5051112,8.868123,-0.09101892,-0.004276057,0.12767084,197.78296,-21.555351,-1.9332618,1.0,47424.0,20190721_104942_812
11,9.059999,-30.72,-4.38,-0.24660277,3.5362358,8.944737,-0.09896017,-0.015271631,0.10629055,198.42346,-21.56355,-1.5792719,1.0,47424.0,20190721_104942_821
12,8.7,-30.42,-4.08,-0.23942018,3.526659,9.0237465,-0.10567969,0.01038471,0.08552113,198.28952,-21.340223,-1.5199419,1.0,47424.0,20190721_104942_831
13,8.5199995,-30.72,-3.8999999,-0.2801216,3.4955344,9.150639,-0.106901415,0.01160644,0.073303826,197.79579,-20.897636,-1.7535478,1.0,47424.0,20190721_104942_841
14,8.16,-30.72,-3.6,-0.2777274,3.4883518,9.210494,-0.095294975,-0.007941248,0.06658431,197.067,-20.735495,-1.7271986,1.0,47424.0,20190721_104942_853
15,8.34,-30.539999,-3.54,-0.25617957,3.5051112,9.23683,-0.07452556,-0.018936822,0.06536258,196.27368,-20.772688,-1.5891168,1.0,47424.0,20190721_104942_859
16,8.76,-30.42,-3.54,-0.19393034,3.5003228,9.186552,-0.05497787,-0.031154128,0.065973446,196.65262,-20.853813,-1.2097299,1.0,47424.0,20190721_104942_871
17,8.7,-30.42,-3.72,-0.076614454,3.490746,9.129091,-0.0421497,-0.050701816,0.064751714,197.46967,-20.924992,-0.48080748,1.0,47424.0,20190721_104942_883
18,8.639999,-30.24,-3.84,0.031124622,3.5170822,9.01417,-0.031154128,-0.059253927,0.047036625,197.50566,-21.314167,0.19769506,1.0,47424.0,20190721_104942_894
19,8.58,-30.24,-3.84,0.06703765,3.5242648,8.930372,-0.030543262,-0.06291912,0.015882496,197.82585,-21.53517,0.4298046,1.0,47424.0,20190721_104942_900
20,8.34,-30.539999,-4.14,0.062249243,3.5075054,8.911219,-0.042760566,-0.06291912,-0.013439035,197.88104,-21.483803,0.3988535,1.0,47424.0,20190721_104942_911
21,8.22,-30.42,-3.84,0.059855044,3.5051112,8.939949,-0.053145275,-0.07513642,-0.05009095,197.31616,-21.408587,0.3838202,1.0,47424.0,20190721_104942_922
22,8.099999,-30.48,-4.2,0.033518825,3.4739866,9.01417,-0.06352998,-0.08246681,-0.07696902,197.13834,-21.075945,0.21293047,1.0,47424.0,20190721_104942_935
