frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,7.8599997,-32.82,-2.8799999,0.3878607,3.1627405,9.246407,-0.12889257,0.15577064,-0.17165314,359.42242,-18.867891,2.402053,1.0,47679.0,20190721_105254_270
2,8.34,-33.059998,-1.8,0.23223756,2.9831753,8.990228,-0.081855945,0.019547688,-0.02321288,195.25493,-18.56637,1.4805164,1.0,47679.0,20190721_105254_377
3,8.34,-33.059998,-1.86,0.23702596,3.0238767,8.985439,-0.08124508,0.014660766,-0.009773844,195.22067,-18.566368,1.4805162,1.0,47679.0,20190721_105254_384
4,8.46,-32.76,-2.34,0.22744916,3.0597897,8.971074,-0.07391469,0.02076942,6.1086525E-4,195.2503,-18.8275,1.4523437,1.0,47679.0,20190721_105254_394
5,8.7,-32.76,-2.6399999,0.260968,3.13401,8.937555,-0.07696902,0.01282817,0.016493361,195.63329,-19.315811,1.6724607,1.0,47679.0,20190721_105254_406
6,8.34,-33.0,-2.82,0.24899697,3.193865,8.9279785,-0.08857546,-0.0030543262,0.032375857,196.2722,-19.67696,1.5975307,1.0,47679.0,20190721_105254_415
7,8.46,-32.7,-2.82,0.30645782,3.241749,9.030929,-0.10567969,-0.017104227,0.0421497,195.46823,-19.735577,1.9432838,1.0,47679.0,20190721_105254_425
8,8.4,-32.64,-2.6399999,0.35913026,3.229778,9.186552,-0.122783914,-0.02565634,0.05009095,195.86444,-19.35659,2.2389133,1.0,47679.0,20190721_105254_437
9,8.28,-32.64,-2.52,0.35434186,3.2441432,9.349358,-0.11911872,-0.029321533,0.06291912,195.82726,-19.123026,2.170143,1.0,47679.0,20190721_105254_444
10,8.46,-32.7,-2.6399999,0.37828386,3.2513258,9.459491,-0.09712757,-0.009773844,0.070249505,195.49402,-18.954754,2.2896302,1.0,47679.0,20190721_105254_453
11,8.46,-32.82,-3.0,0.45968673,3.241749,9.406818,-0.062308256,-0.0036651916,0.07574729,195.66992,-18.993818,2.7979047,1.0,47679.0,20190721_105254_463
12,8.4,-33.239998,-2.9399998,0.48841715,3.2992098,9.246407,-0.045814894,0.0030543262,0.073303826,195.82925,-19.611696,3.0237029,1.0,47679.0,20190721_105254_475
13,8.16,-33.239998,-3.06,0.50757074,3.323152,9.141062,-0.03970624,0.007330383,0.0720821,195.62297,-19.950119,3.178222,1.0,47679.0,20190721_105254_484
14,8.22,-33.48,-3.06,0.50038815,3.371036,9.066842,-0.057421334,0.014049901,0.06963864,195.34476,-20.366528,3.1588864,1.0,47679.0,20190721_105254_495
15,8.28,-33.48,-3.3,0.5482722,3.4165258,9.02614,-0.06841691,0.007330383,0.06719518,195.28334,-20.697235,3.4758298,1.0,47679.0,20190721_105254_504
16,8.34,-33.239998,-3.6599998,0.5746084,3.4524388,9.016563,-0.086132,0.01038471,0.05497787,195.57361,-20.913427,3.6466308,1.0,47679.0,20190721_105254_514
17,8.88,-33.18,-3.4199998,0.59615624,3.4284968,9.143456,-0.12034045,-0.01160644,0.03481932,195.97256,-20.514748,3.730365,1.0,47679.0,20190721_105254_525
18,8.88,-33.0,-3.24,0.62967503,3.41892,9.291897,-0.14294247,-0.045814894,0.016493361,196.82051,-20.158175,3.876886,1.0,47679.0,20190721_105254_536
19,8.88,-33.0,-2.8799999,0.6536171,3.3925838,9.634268,-0.13744467,-0.047036625,6.1086525E-4,196.86229,-19.35806,3.8811743,1.0,47679.0,20190721_105254_544
20,8.34,-32.82,-2.82,0.6440403,3.3638535,9.782708,-0.09712757,-0.048258353,-0.0036651916,196.70096,-18.937807,3.7665985,1.0,47679.0,20190721_105254_556
21,7.98,-32.52,-3.12,0.58657944,3.4045548,9.801862,0.004276057,-0.0421497,-0.0036651916,195.85141,-19.122118,3.425079,1.0,47679.0,20190721_105254_567
22,7.8599997,-32.76,-3.12,0.5363012,3.4691982,9.615114,0.06047566,-0.056199603,-0.0061086523,195.411,-19.811472,3.192442,1.0,47679.0,20190721_105254_575
23,7.68,-32.64,-3.24,0.51714754,3.5051112,9.414001,0.1001819,-0.059864793,-0.009162978,195.09639,-20.393532,3.1443253,1.0,47679.0,20190721_105254_585
24,7.9199996,-32.46,-3.1799998,0.5267244,3.5003228,9.205706,0.11178834,-0.07941248,-0.015882496,194.87704,-20.787613,3.2747831,1.0,47679.0,20190721_105254_596
25,8.4,-33.0,-3.06,0.5770026,3.442862,9.095572,0.10934488,-0.06658431,-0.03176499,195.3608,-20.694803,3.629481,1.0,47679.0,20190721_105254_605
26,8.639999,-32.64,-3.3,0.5746084,3.371036,9.095572,0.093462385,-0.064751714,-0.056199603,196.06949,-20.298735,3.6148286,1.0,47679.0,20190721_105254_614
27,9.0,-32.76,-3.3,0.51954174,3.301604,9.13388,0.084910266,-0.07391469,-0.07269296,196.8064,-19.843906,3.2556543,1.0,47679.0,20190721_105254_625
28,8.76,-32.88,-3.3,0.4165911,3.3063924,9.313444,0.0842994,-0.08246681,-0.081855945,197.40237,-19.52749,2.561168,1.0,47679.0,20190721_105254_636
29,8.46,-32.76,-3.24,0.37588966,3.265691,9.569624,0.105068825,-0.12522738,-0.08552113,196.7105,-18.828735,2.249258,1.0,47679.0,20190721_105254_645
30,8.16,-32.88,-3.4199998,0.34476504,3.2441432,9.651027,0.15454891,-0.17348573,-0.08307768,196.0934,-18.568842,2.045966,1.0,47679.0,20190721_105254_655
31,7.7999997,-33.12,-3.1799998,0.21547815,3.2992098,9.586384,0.22235495,-0.204029,-0.07941248,195.67899,-18.986788,1.2875427,1.0,47679.0,20190721_105254_664
32,7.9199996,-33.3,-3.12,0.06703765,3.359065,9.380483,0.29016098,-0.2321288,-0.07880162,194.92087,-19.701534,0.40943053,1.0,47679.0,20190721_105254_674
33,7.8599997,-33.12,-3.06,0.04309563,3.3375173,9.085996,0.3286455,-0.26816985,-0.059864793,194.81445,-20.169653,0.27147138,1.0,47679.0,20190721_105254_685
34,7.9199996,-33.36,-2.6399999,0.079008654,3.3063924,8.755595,0.33169982,-0.26389378,-0.044593163,194.68951,-20.687086,0.5169226,1.0,47679.0,20190721_105254_695
35,7.9199996,-32.82,-2.46,0.07182605,3.2920272,8.50181,0.30115658,-0.22540927,-0.030543262,194.78633,-21.166855,0.48383135,1.0,47679.0,20190721_105254_706
36,8.04,-32.88,-2.52,0.12210429,3.3039982,8.403648,0.24251351,-0.16554448,-0.027488936,194.89008,-21.460735,0.83228356,1.0,47679.0,20190721_105254_715
37,7.8599997,-33.0,-2.52,0.12689269,3.3399115,8.477868,0.15821409,-0.09407325,-0.025045475,195.24553,-21.500128,0.8575271,1.0,47679.0,20190721_105254_727
38,8.099999,-33.0,-2.6399999,0.050278235,3.3662477,8.628703,0.07819075,-0.002443461,-0.026267206,195.04684,-21.311548,0.3338953,1.0,47679.0,20190721_105254_737
39,8.04,-33.0,-3.0,0.05746084,3.3854012,8.772355,0.009162978,0.080634214,-0.023823744,195.22789,-21.101692,0.37542117,1.0,47679.0,20190721_105254_745
40,8.4,-32.579998,-2.8799999,0.02633622,3.406949,8.860941,-0.029321533,0.13194689,-0.018936822,195.24095,-21.03073,0.16925727,1.0,47679.0,20190721_105254_755
41,8.7,-32.34,-2.7,-0.088585466,3.4332852,8.987833,-0.048258353,0.16676621,-0.008552114,196.1943,-20.905539,-0.56482637,1.0,47679.0,20190721_105254_765
42,8.58,-32.219997,-2.6399999,-0.12449849,3.4261026,9.054871,-0.05009095,0.18081611,0.01038471,196.5564,-20.723366,-0.78776604,1.0,47679.0,20190721_105254_776
43,8.88,-32.64,-2.04,-0.10055647,3.4261026,9.090784,-0.029321533,0.19914207,0.04153884,196.20602,-20.64899,-0.63325137,1.0,47679.0,20190721_105254_789
44,8.58,-33.0,-2.58,-0.05746084,3.4284968,8.9519205,0.007330383,0.21930063,0.07086037,196.37971,-20.955807,-0.36794314,1.0,47679.0,20190721_105254_796
45,8.04,-33.239998,-2.58,0.0047884034,3.4691982,8.683769,0.03481932,0.21074851,0.08735373,195.76085,-21.776905,0.031600647,1.0,47679.0,20190721_105254_808
46,8.04,-33.239998,-2.6399999,0.050278235,3.5577838,8.3868885,0.05375614,0.19425514,0.11056661,194.83965,-22.986765,0.34350845,1.0,47679.0,20190721_105254_815
