frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,11.04,-32.46,-6.66,1.1133038,3.9504328,8.432379,-0.1600467,0.35430184,-0.31581733,358.58026,-24.912668,7.521106,1.0,47818.0,20190721_105445_576
2,9.96,-37.38,-2.6399999,1.2785037,3.976769,8.468291,-0.15393804,-0.045814894,-0.04642576,196.68967,-24.907688,8.585473,1.0,47818.0,20190721_105445_825
3,10.2,-37.44,-3.0,1.1971009,3.952827,8.640674,-0.1441642,-0.059253927,-0.056199603,197.58572,-24.377283,7.8878765,1.0,47818.0,20190721_105445_833
4,9.9,-36.66,-3.12,1.1683705,3.9264908,8.647857,-0.10323623,-0.057421334,-0.07574729,197.8017,-24.22557,7.6943927,1.0,47818.0,20190721_105445_844
5,9.78,-36.6,-3.12,1.091756,3.8786068,8.576031,-0.055588737,-0.032375857,-0.08002335,197.81476,-24.162943,7.254976,1.0,47818.0,20190721_105445_856
6,9.54,-36.84,-3.0,0.9528923,3.845088,8.465898,-0.029932396,-0.018325957,-0.081855945,197.77533,-24.291359,6.4219565,1.0,47818.0,20190721_105445_868
7,9.3,-36.54,-2.8799999,0.8331822,3.8402996,8.425196,-0.02565634,-0.023823744,-0.06841691,197.2043,-24.39896,5.647874,1.0,47818.0,20190721_105445_877
8,9.66,-36.6,-3.3,0.8738836,3.8115692,8.475474,-0.03970624,-0.040317107,-0.054367006,196.48515,-24.101423,5.886595,1.0,47818.0,20190721_105445_885
9,9.719999,-36.36,-3.48,0.93134445,3.8235402,8.487445,-0.056199603,-0.077579886,-0.04886922,197.107,-24.123152,6.262426,1.0,47818.0,20190721_105445_895
10,9.599999,-36.0,-3.1799998,1.0390835,3.8786068,8.655039,-0.07513642,-0.057421334,-0.0421497,197.32167,-23.986076,6.8460093,1.0,47818.0,20190721_105445_906
11,9.54,-36.42,-3.24,1.1875241,3.8259344,8.834604,-0.09773844,-0.05131268,-0.048258353,197.09192,-23.229218,7.6555495,1.0,47818.0,20190721_105445_918
12,9.719999,-36.42,-2.8799999,1.2689269,3.7852328,8.995016,-0.096516706,-0.03604105,-0.06658431,196.91661,-22.620808,8.029818,1.0,47818.0,20190721_105445_926
13,10.08,-36.6,-2.7,1.2737153,3.7972038,9.112331,-0.09773844,0.012217305,-0.09040806,197.14926,-22.425587,7.9571166,1.0,47818.0,20190721_105445_937
14,10.08,-36.48,-2.9399998,1.2617443,3.799598,9.181764,-0.07941248,0.087964594,-0.11362094,197.53462,-22.294115,7.825925,1.0,47818.0,20190721_105445_947
15,10.08,-36.3,-2.9399998,1.13964,3.7565024,9.220071,-0.06352998,0.14660765,-0.13439035,197.8873,-22.016008,7.0464935,1.0,47818.0,20190721_105445_960
16,9.84,-36.3,-3.36,0.9672575,3.7828386,9.370906,-0.05131268,0.20219639,-0.14477506,198.02493,-21.877705,5.893059,1.0,47818.0,20190721_105445_972
17,9.78,-36.12,-3.54,0.7445967,3.739743,9.469068,-0.017715093,0.22296582,-0.1301143,197.79814,-21.49094,4.49619,1.0,47818.0,20190721_105445_978
18,9.9,-36.059998,-3.6599998,0.58897364,3.7301662,9.488221,0.015271631,0.22785273,-0.100792766,197.52812,-21.424093,3.5518138,1.0,47818.0,20190721_105445_990
19,10.2,-36.059998,-3.6,0.5554548,3.7110126,9.437943,0.06169739,0.19914207,-0.043982297,197.41064,-21.455961,3.4055977,1.0,47818.0,20190721_105446_001
20,10.679999,-35.82,-2.9399998,0.641646,3.6727054,9.423578,0.08124508,0.16982053,-0.0012217305,197.62325,-21.247742,3.8954833,1.0,47818.0,20190721_105446_009
21,10.74,-35.82,-2.52,0.7589619,3.6727054,9.483433,0.08857546,0.14049901,0.029321533,198.22389,-21.108685,4.575575,1.0,47818.0,20190721_105446_020
22,10.8,-35.94,-2.1,0.8762778,3.727772,9.636662,0.087964594,0.100792766,0.052534413,198.20348,-21.068813,5.195817,1.0,47818.0,20190721_105446_030
23,10.5,-36.239998,-1.86,0.91219085,3.809175,9.957485,0.08674286,0.04886922,0.0580322,198.31732,-20.854689,5.2340827,1.0,47818.0,20190721_105446_041
24,10.32,-36.78,-1.86,0.8643068,3.8379054,10.160992,0.12156218,0.009162978,0.07147124,197.75171,-20.623772,4.8618283,1.0,47818.0,20190721_105446_050
25,10.0199995,-37.079998,-2.34,0.8331822,3.8115692,10.400413,0.1704314,-0.0012217305,0.080634214,197.16023,-20.067982,4.5802684,1.0,47818.0,20190721_105446_062
26,10.139999,-37.14,-2.1599998,0.91458505,3.7445314,10.3692875,0.24495697,-0.01160644,0.10751228,196.38509,-19.784504,5.0407515,1.0,47818.0,20190721_105446_071
27,10.26,-36.899998,-1.9799999,0.9911995,3.727772,10.259154,0.3115413,0.01282817,0.119729586,196.45189,-19.883768,5.5192595,1.0,47818.0,20190721_105446_078
28,10.32,-36.36,-2.04,1.1180922,3.7445314,9.9550905,0.344528,0.03359759,0.116675265,196.56213,-20.495365,6.4082685,1.0,47818.0,20190721_105446_091
29,10.38,-36.12,-1.62,1.1755531,3.7349546,9.689334,0.3463606,0.08124508,0.09712757,197.11755,-20.939919,6.9172287,1.0,47818.0,20190721_105446_100
30,10.0199995,-36.239998,-1.5,1.352724,3.608062,9.476251,0.31948254,0.084910266,0.06719518,196.99017,-20.652763,8.124045,1.0,47818.0,20190721_105446_111
31,9.9,-36.3,-1.4399999,1.3934253,3.4835634,9.516952,0.20158553,0.037873644,0.0036651916,196.67587,-19.909203,8.329778,1.0,47818.0,20190721_105446_122
32,9.66,-36.54,-1.1999999,1.3982137,3.3494883,9.775525,0.095294975,-0.009773844,-0.056199603,196.52142,-18.73634,8.139927,1.0,47818.0,20190721_105446_134
33,9.54,-36.66,-1.3199999,1.3024458,3.2034419,10.113108,0.056199603,-0.017715093,-0.080634214,195.90736,-17.17215,7.194626,1.0,47818.0,20190721_105446_140
34,9.54,-36.66,-1.3199999,1.2856863,3.1723173,10.184934,-0.013439035,-0.045814894,-0.12522738,195.90736,-17.17215,7.194626,1.0,47818.0,20190721_105446_142
35,9.42,-36.3,-1.4399999,1.0151415,3.0454245,10.594342,-0.05681047,-0.049480084,-0.16126843,196.01717,-15.968368,5.473396,1.0,47818.0,20190721_105446_148
36,9.78,-36.18,-1.62,0.6727707,2.89459,10.924743,-0.08857546,-0.047647487,-0.18753563,195.9648,-14.813109,3.5239465,1.0,47818.0,20190721_105446_160
37,9.719999,-36.059998,-1.62,0.45489833,2.6982653,11.161768,-0.076358154,-0.01160644,-0.1685988,196.2742,-13.579196,2.3337953,1.0,47818.0,20190721_105446_170
38,9.9,-35.94,-1.1999999,0.36870706,2.5498247,11.166556,-0.02565634,0.035430185,-0.11056661,195.88768,-12.855917,1.891172,1.0,47818.0,20190721_105446_181
39,10.139999,-35.579998,-1.26,0.40940848,2.4181437,10.929531,0.040317107,0.08552113,-0.036651913,195.88806,-12.467017,2.1453485,1.0,47818.0,20190721_105446_191
40,9.96,-35.46,-1.26,0.5315128,2.4229321,10.536881,0.1001819,0.15760323,0.04520403,196.23541,-12.933987,2.8876421,1.0,47818.0,20190721_105446_201
41,9.9,-35.46,-1.14,0.62009823,2.4899697,10.127473,0.1337795,0.22724187,0.100792766,196.01967,-13.788089,3.5037956,1.0,47818.0,20190721_105446_214
42,9.599999,-35.46,-1.14,0.641646,2.6072857,9.552865,0.13255776,0.2846632,0.13439035,195.56572,-15.23339,3.84269,1.0,47818.0,20190721_105446_222
43,9.599999,-36.0,-1.4399999,0.45729253,2.6862943,9.064447,0.12095132,0.3378085,0.15149458,195.71964,-16.487638,2.8880596,1.0,47818.0,20190721_105446_240
44,9.719999,-36.059998,-1.3199999,0.19153613,2.6719291,8.822633,0.12217305,0.3567453,0.15943582,196.0898,-16.845161,1.2436717,1.0,47818.0,20190721_105446_252
45,10.0199995,-36.48,-1.3199999,0.0047884034,2.6743233,8.552089,0.13622294,0.32925636,0.1740966,196.1178,-17.365038,0.03194844,1.0,47818.0,20190721_105446_259
46,10.2,-36.3,-1.1999999,-0.20111294,2.6048915,8.35337,0.15454891,0.2742785,0.18997909,196.4804,-17.314684,-1.379352,1.0,47818.0,20190721_105446_271
47,10.0199995,-36.18,-0.96,-0.40222588,2.6024973,8.161834,0.16432275,0.18387043,0.22785273,196.79922,-17.665398,-2.8213396,1.0,47818.0,20190721_105446_280
48,10.139999,-35.64,-0.65999997,-0.47405192,2.5761611,7.979874,0.17898351,0.086132,0.25778514,196.28119,-17.86222,-3.3992913,1.0,47818.0,20190721_105446_291
49,10.2,-35.76,-0.78,-0.45968673,2.5210943,7.884106,0.18081611,-0.005497787,0.28588495,196.52878,-17.704283,-3.3368638,1.0,47818.0,20190721_105446_301
50,9.96,-35.76,-0.84,-0.47884035,2.5091233,7.833828,0.16737708,-0.080634214,0.29993483,196.62904,-17.729107,-3.4972367,1.0,47818.0,20190721_105446_309
51,10.08,-36.0,-0.71999997,-0.40940848,2.5234885,7.800309,0.1423316,-0.15821409,0.30298916,196.06564,-17.903814,-3.0049434,1.0,47818.0,20190721_105446_321
52,9.66,-36.3,-0.78,-0.34237084,2.5067291,7.821857,0.11484267,-0.19364429,0.30970868,196.17644,-17.753376,-2.506034,1.0,47818.0,20190721_105446_330
