frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,8.7,-35.94,-5.94,0.12449849,2.3918076,9.349358,0.12217305,0.13439035,0.04337143,359.99377,-14.263088,0.6475138,1.0,48127.0,20190721_110053_527
2,9.84,-36.239998,-5.94,0.6679823,2.4468741,9.14585,-0.15515977,-0.13072516,-0.08857546,197.01608,-14.940305,4.177275,1.0,48127.0,20190721_110053_642
3,9.66,-36.059998,-6.54,0.59615624,2.480393,9.323022,-0.16187929,-0.13805555,-0.08674286,197.12325,-14.86943,3.6588748,1.0,48127.0,20190721_110053_652
4,9.42,-36.0,-6.3599997,0.521936,2.456451,9.519346,-0.172264,-0.14782938,-0.09407325,197.02568,-14.448673,3.1383975,1.0,48127.0,20190721_110053_665
5,9.24,-35.76,-6.48,0.4357447,2.44448,9.610326,-0.16798794,-0.1704314,-0.08674286,196.50385,-14.257048,2.5960445,1.0,48127.0,20190721_110053_675
6,9.179999,-36.059998,-6.7799997,0.40462008,2.504335,9.610326,-0.15027285,-0.19058995,-0.070249505,196.15175,-14.593265,2.4109619,1.0,48127.0,20190721_110053_685
7,9.3,-36.42,-6.54,0.41180268,2.5067291,9.598354,-0.13805555,-0.20097467,-0.03848451,195.92107,-14.622361,2.4573696,1.0,48127.0,20190721_110053_695
8,9.42,-36.48,-7.14,0.5363012,2.56419,9.555259,-0.14660765,-0.17837265,-0.009773844,195.73645,-14.999046,3.212371,1.0,48127.0,20190721_110053_707
9,9.12,-36.6,-7.56,0.59136784,2.621651,9.662998,-0.16432275,-0.15943582,0.010995574,196.27753,-15.152714,3.5023704,1.0,48127.0,20190721_110053_716
10,9.3,-36.42,-7.3799996,0.7493851,2.6910827,9.792285,-0.17104226,-0.14660765,0.02076942,195.75705,-15.323741,4.376052,1.0,48127.0,20190721_110053_727
11,9.12,-36.059998,-7.44,0.8738836,2.7246015,9.859323,-0.17470746,-0.12889257,0.012217305,196.30139,-15.390501,5.0649858,1.0,48127.0,20190721_110053_738
12,8.88,-35.7,-7.56,0.8619126,2.801216,9.888053,-0.1600467,-0.11301007,0.009773844,196.52448,-15.760239,4.981728,1.0,48127.0,20190721_110053_746
13,9.12,-35.82,-7.56,0.8714894,2.80361,9.89763,-0.1337795,-0.07880162,-0.0036651916,196.33812,-15.755399,5.0319843,1.0,48127.0,20190721_110053_757
14,8.7,-35.76,-7.62,0.92176765,2.801216,9.873688,-0.11484267,-0.09468412,0.002443461,196.61061,-15.773511,5.332785,1.0,48127.0,20190721_110053_768
15,8.94,-36.0,-7.9199996,0.94810385,2.8083985,9.797073,-0.06719518,-0.095294975,0.0061086523,196.0632,-15.925179,5.527848,1.0,48127.0,20190721_110053_778
16,8.94,-36.239998,-7.74,0.9983821,2.896984,9.533711,-0.022602014,-0.09468412,0.007330383,196.41077,-16.815592,5.978295,1.0,48127.0,20190721_110053_791
17,8.94,-36.12,-7.62,1.0893618,2.9161377,9.224859,0.021991149,-0.06414085,0.004276057,196.3652,-17.429018,6.734936,1.0,48127.0,20190721_110053_798
