frame,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orien_x,orien_y,orien_z,step_detect,step_count,timestamp
1,6.8999996,-37.2,-4.62,-1.0989386,3.0621839,9.009381,0.02076942,0.095294975,-0.16126843,2.0330086,-18.770212,-7.10436,1.0,47917.0,20190721_105658_348
2,6.48,-37.079998,-4.2599998,-0.8595184,3.3997664,9.229648,-0.2302962,0.03848451,0.05497787,189.81567,-20.141466,-5.320377,1.0,47917.0,20190721_105658_464
3,6.72,-37.079998,-4.44,-0.81402856,3.442862,9.406818,-0.2284636,0.028710667,0.05009095,190.12407,-20.033642,-4.9464145,1.0,47917.0,20190721_105658_474
4,6.7799997,-37.079998,-4.3199997,-0.7062895,3.3806129,9.591172,-0.22479841,0.005497787,0.03970624,190.44102,-19.367558,-4.2116213,1.0,47917.0,20190721_105658_483
5,6.66,-37.38,-4.62,-0.6488287,3.3303347,9.691729,-0.21319197,-0.009773844,0.02076942,190.72517,-18.924587,-3.829874,1.0,47917.0,20190721_105658_493
6,6.48,-37.26,-4.62,-0.61052144,3.3087866,9.718064,-0.19730948,-0.004886922,0.0067195175,190.50478,-18.768042,-3.5940647,1.0,47917.0,20190721_105658_505
7,6.2999997,-37.2,-4.3199997,-0.63206923,3.2321723,9.828198,-0.19120082,0.020158553,-0.010995574,190.37515,-18.169033,-3.6797683,1.0,47917.0,20190721_105658_512
8,6.06,-37.32,-4.44,-0.7182605,3.2154129,9.91439,-0.18875736,0.054367006,-0.029932396,190.1518,-17.924717,-4.144034,1.0,47917.0,20190721_105658_521
9,6.06,-36.899998,-4.62,-0.78050977,3.2273839,10.014946,-0.17654006,0.08735373,-0.028099801,189.58989,-17.81132,-4.4561768,1.0,47917.0,20190721_105658_532
10,6.18,-37.079998,-4.56,-0.89303726,3.205836,9.957485,-0.13194689,0.122783914,-0.029932396,189.73569,-17.77923,-5.12464,1.0,47917.0,20190721_105658_543
11,6.12,-36.96,-4.92,-0.9959879,3.2752678,9.854534,-0.08552113,0.16982053,-0.014660766,189.76564,-18.297636,-5.7710123,1.0,47917.0,20190721_105658_553
12,6.48,-37.26,-5.1,-1.079785,3.2920272,9.655815,-0.04642576,0.20280726,0.009162978,189.5842,-18.717627,-6.380673,1.0,47917.0,20190721_105658_564
13,6.2999997,-37.38,-4.74,-1.0223241,3.2944214,9.454702,0.0036651916,0.21197024,0.044593163,189.74623,-19.107447,-6.171205,1.0,47917.0,20190721_105658_575
14,6.3599997,-37.2,-4.7999997,-0.866701,3.3207579,9.165004,0.03726278,0.18997909,0.06536258,189.31438,-19.83558,-5.402008,1.0,47917.0,20190721_105658_585
15,6.2999997,-37.32,-4.62,-0.80205756,3.4117374,8.844181,0.05131268,0.15393804,0.069027774,189.80656,-21.015823,-5.181885,1.0,47917.0,20190721_105658_594
16,6.06,-36.84,-4.44,-0.7565677,3.4500446,8.66701,0.042760566,0.1001819,0.05009095,189.84068,-21.630995,-4.9889574,1.0,47917.0,20190721_105658_606
17,6.42,-36.3,-3.78,-1.0271125,3.502717,8.623915,-0.017104227,0.004886922,-0.004886922,190.67255,-21.964867,-6.7919235,1.0,47917.0,20190721_105658_625
18,6.54,-36.0,-3.54,-1.2689269,3.5290532,8.808268,-0.040317107,-0.0720821,-0.02076942,190.86821,-21.63122,-8.197682,1.0,47917.0,20190721_105658_634
19,6.54,-36.12,-3.48,-1.9081788,3.6296098,9.095572,-0.03726278,-0.14294247,-6.1086525E-4,191.73807,-21.33315,-11.848329,1.0,47917.0,20190721_105658_643
